datetime,o,h,l,c,v
2021-11-04 01:00:00,0.02300000,16.79999000,0.02300000,3.30427000,253270565.00000000
2021-11-05 01:00:00,3.30427000,3.42565000,2.50000000,2.59758000,63669516.00000000
2021-11-06 01:00:00,2.59824000,2.83468000,2.17800000,2.20000000,30882202.00000000
2021-11-07 01:00:00,2.20000000,2.36450000,2.05000000,2.07632000,16428814.00000000
2021-11-08 01:00:00,2.07578000,2.07633000,1.81173000,1.91982000,21982518.00000000
2021-11-09 01:00:00,1.92116000,2.10402000,1.85000000,1.85301000,16667851.00000000
2021-11-10 01:00:00,1.85301000,2.26200000,1.85000000,1.96255000,28448768.00000000
2021-11-11 01:00:00,1.96688000,2.02999000,1.86500000,1.88187000,8345513.00000000
2021-11-12 01:00:00,1.88187000,1.89098000,1.68492000,1.77922000,10459569.00000000
2021-11-13 01:00:00,1.77922000,2.85000000,1.76000000,2.29207000,113516656.00000000
2021-11-14 01:00:00,2.29571000,2.31440000,2.06150000,2.13265000,22783103.00000000
2021-11-15 01:00:00,2.13265000,2.34590000,1.96000000,1.97645000,15613112.00000000
2021-11-16 01:00:00,1.97649000,2.06548000,1.76000000,1.90935000,11709627.00000000
2021-11-17 01:00:00,1.90717000,2.67000000,1.90082000,2.25166000,56051536.00000000
2021-11-18 01:00:00,2.25166000,2.57500000,2.08600000,2.40728000,42465942.00000000
2021-11-19 01:00:00,2.40504000,3.02541000,2.27244000,2.51025000,63976144.00000000
2021-11-20 01:00:00,2.51043000,3.77197000,2.43000000,3.32997000,110639996.00000000
2021-11-21 01:00:00,3.32702000,4.57819000,3.01000000,3.13820000,130081761.00000000
2021-11-22 01:00:00,3.14697000,3.43400000,2.75000000,2.86990000,51712315.00000000
2021-11-23 01:00:00,2.86530000,3.63996000,2.86530000,3.37357000,62962023.00000000
2021-11-24 01:00:00,3.37361000,4.50000000,3.25000000,4.16525000,71015319.00000000
2021-11-25 01:00:00,4.16522000,4.89000000,3.55000000,3.91483000,76277746.00000000
2021-11-26 01:00:00,3.91669000,4.39000000,3.03000000,3.28190000,49902786.00000000
2021-11-27 01:00:00,3.28223000,3.42000000,2.95011000,3.10383000,22737711.00000000
2021-11-28 01:00:00,3.10382000,3.76530000,2.80000000,3.64082000,57874414.00000000
2021-11-29 01:00:00,3.64082000,4.17243000,3.45425000,3.45495000,48570612.00000000
2021-11-30 01:00:00,3.45670000,3.67500000,3.22475000,3.62940000,26463323.00000000
2021-12-01 01:00:00,3.62407000,3.89100000,3.47415000,3.48833000,17177645.00000000
