datetime,o,h,l,c,v
2021-11-10 01:00:00,43.66000000,120.00000000,43.66000000,73.82000000,6140557.61000000
2021-11-11 01:00:00,73.87000000,86.76000000,55.06000000,55.31000000,3948818.81000000
2021-11-12 01:00:00,55.38000000,64.94000000,50.00000000,54.65000000,2126466.36000000
2021-11-13 01:00:00,54.60000000,63.58000000,48.00000000,55.57000000,2193469.09000000
2021-11-14 01:00:00,55.58000000,62.49000000,53.20000000,56.21000000,1322151.69000000
2021-11-15 01:00:00,56.22000000,60.15000000,50.05000000,55.77000000,1803171.58000000
2021-11-16 01:00:00,55.75000000,55.94000000,47.91000000,48.17000000,1789182.35000000
2021-11-17 01:00:00,48.21000000,50.60000000,45.45000000,48.16000000,1310706.19000000
2021-11-18 01:00:00,48.14000000,50.94000000,40.05000000,41.31000000,1438354.24000000
2021-11-19 01:00:00,41.33000000,51.20000000,38.39000000,47.84000000,1513024.78000000
2021-11-20 01:00:00,47.80000000,49.69000000,44.51000000,46.78000000,832173.96000000
2021-11-21 01:00:00,46.78000000,46.83000000,41.39000000,42.06000000,983085.28000000
2021-11-22 01:00:00,42.06000000,47.13000000,39.86000000,40.97000000,1534197.42000000
2021-11-23 01:00:00,40.92000000,53.00000000,40.46000000,50.80000000,2288542.92000000
2021-11-24 01:00:00,50.80000000,51.21000000,45.84000000,49.17000000,1153521.29000000
2021-11-25 01:00:00,49.22000000,73.00000000,48.30000000,68.31000000,4015128.37000000
2021-11-26 01:00:00,68.24000000,77.00000000,55.10000000,59.51000000,3708353.65000000
2021-11-27 01:00:00,59.52000000,84.00000000,59.10000000,73.45000000,3728749.65000000
2021-11-28 01:00:00,73.45000000,76.69000000,65.00000000,76.15000000,2685887.30000000
2021-11-29 01:00:00,76.14000000,82.75000000,69.50000000,70.21000000,2039843.68000000
2021-11-30 01:00:00,70.21000000,78.12000000,66.00000000,70.34000000,1577952.69000000
