datetime,o,h,l,c,v
2020-09-04 02:00:00,43.15000000,49.00000000,34.50000000,42.16700000,36214.15500000
2020-09-05 02:00:00,42.00000000,43.99800000,29.32000000,32.49000000,88954.41200000
2020-09-06 02:00:00,32.55800000,39.80000000,30.04000000,38.03700000,63410.65400000
2020-09-07 02:00:00,37.89800000,38.37800000,30.50000000,35.20300000,56712.36000000
2020-09-08 02:00:00,35.30400000,36.17200000,30.27000000,31.33700000,66993.42600000
2020-09-09 02:00:00,31.30000000,37.00000000,30.16800000,33.80600000,67385.97700000
2020-09-10 02:00:00,33.86300000,36.50000000,31.75700000,33.10200000,54819.77600000
2020-09-11 02:00:00,33.01800000,33.01800000,30.70800000,31.76900000,67289.68700000
2020-09-12 02:00:00,31.77600000,36.99900000,31.00000000,35.15900000,74448.87600000
2020-09-13 02:00:00,35.15900000,42.20000000,34.50000000,39.32800000,160435.94400000
2020-09-14 02:00:00,39.33000000,43.43100000,38.05800000,40.00000000,110986.51000000
2020-09-15 02:00:00,40.16200000,43.05000000,37.66000000,39.33300000,76766.15100000
2020-09-16 02:00:00,39.26400000,42.64400000,37.44900000,42.35000000,77460.00800000
2020-09-17 02:00:00,42.32200000,50.28400000,42.18500000,47.15100000,131580.24100000
2020-09-18 02:00:00,47.19300000,48.99900000,41.60000000,44.69000000,69716.90400000
2020-09-19 02:00:00,44.69000000,47.64700000,43.68800000,43.75500000,57711.77900000
2020-09-20 02:00:00,43.78400000,44.76800000,36.79000000,39.73500000,62122.83300000
2020-09-21 02:00:00,39.69200000,40.40000000,31.00000000,31.66300000,92349.79400000
2020-09-22 02:00:00,31.78000000,33.91200000,30.80000000,33.19200000,48427.37500000
2020-09-23 02:00:00,33.20600000,36.25300000,30.84500000,32.46500000,70763.05600000
2020-09-24 02:00:00,32.67500000,37.20000000,32.00100000,36.61300000,54056.49500000
2020-09-25 02:00:00,36.61400000,37.59300000,35.49000000,36.84800000,40474.01100000
2020-09-26 02:00:00,36.84700000,37.04800000,35.00000000,35.87900000,23805.30800000
2020-09-27 02:00:00,35.84400000,36.20700000,32.60000000,34.28000000,34443.90900000
2020-09-28 02:00:00,34.38000000,36.51800000,32.20000000,33.71300000,47709.84700000
2020-09-29 02:00:00,33.69900000,35.71000000,33.50400000,35.51200000,22647.45500000
2020-09-30 02:00:00,35.51500000,35.76900000,33.51500000,33.80000000,18988.81500000
2020-10-01 02:00:00,33.95200000,35.99700000,32.54100000,34.13400000,43628.34100000
2020-10-02 02:00:00,34.13400000,34.30400000,30.46800000,32.26000000,47957.78700000
2020-10-03 02:00:00,32.26000000,33.40000000,31.56500000,32.35100000,11866.40000000
2020-10-04 02:00:00,32.33300000,33.12700000,31.06900000,31.99600000,16839.58000000
2020-10-05 02:00:00,31.98200000,33.10900000,31.26100000,31.72800000,17350.79700000
