datetime,o,h,l,c,v
2021-05-10 02:00:00,0.00001412,0.00005000,0.00001412,0.00003466,95302311917668.00
2021-05-11 02:00:00,0.00003468,0.00003799,0.00002780,0.00003042,64512785938482.00
2021-05-12 02:00:00,0.00003040,0.00003150,0.00001752,0.00001821,86909144958765.00
2021-05-13 02:00:00,0.00001817,0.00002357,0.00001530,0.00002102,91254881005748.00
2021-05-14 02:00:00,0.00002103,0.00002224,0.00001816,0.00001840,40927854276575.00
2021-05-15 02:00:00,0.00001841,0.00001897,0.00001501,0.00001553,43727275531961.00
2021-05-16 02:00:00,0.00001552,0.00001962,0.00001237,0.00001784,61634752660696.00
2021-05-17 02:00:00,0.00001783,0.00001808,0.00001408,0.00001651,60156822115985.00
2021-05-18 02:00:00,0.00001650,0.00001800,0.00001517,0.00001560,27976612440989.00
2021-05-19 02:00:00,0.00001562,0.00001580,0.00000630,0.00000907,90539301007324.00
2021-05-20 02:00:00,0.00000907,0.00001219,0.00000800,0.00000964,67205967066890.00
2021-05-21 02:00:00,0.00000964,0.00001035,0.00000655,0.00000820,54603903901459.00
2021-05-22 02:00:00,0.00000821,0.00000983,0.00000672,0.00000842,46318180421814.00
2021-05-23 02:00:00,0.00000842,0.00000965,0.00000694,0.00000809,60549130370846.00
2021-05-24 02:00:00,0.00000808,0.00001208,0.00000773,0.00001065,66920838464554.00
2021-05-25 02:00:00,0.00001065,0.00001115,0.00000876,0.00000939,43096086882356.00
2021-05-26 02:00:00,0.00000938,0.00001050,0.00000914,0.00000949,29880109514903.00
2021-05-27 02:00:00,0.00000949,0.00000950,0.00000850,0.00000879,21377807919679.00
2021-05-28 02:00:00,0.00000879,0.00000885,0.00000750,0.00000790,22969674539465.00
2021-05-29 02:00:00,0.00000791,0.00000821,0.00000730,0.00000789,15473428469390.00
2021-05-30 02:00:00,0.00000790,0.00000813,0.00000752,0.00000786,12847617230998.00
2021-05-31 02:00:00,0.00000785,0.00000998,0.00000769,0.00000928,29008796041217.00
2021-06-01 02:00:00,0.00000928,0.00000943,0.00000828,0.00000882,23622771954244.00
2021-06-02 02:00:00,0.00000883,0.00001049,0.00000857,0.00000944,37410145146900.00
2021-06-03 02:00:00,0.00000943,0.00001040,0.00000929,0.00000982,25310047082545.00
2021-06-04 02:00:00,0.00000981,0.00000984,0.00000828,0.00000879,27586732208422.00
2021-06-05 02:00:00,0.00000880,0.00000912,0.00000810,0.00000842,15138731370984.00
2021-06-06 02:00:00,0.00000842,0.00000863,0.00000833,0.00000853,8718852058711.00
2021-06-07 02:00:00,0.00000852,0.00000872,0.00000750,0.00000774,14317490957225.00
2021-06-08 02:00:00,0.00000774,0.00000787,0.00000630,0.00000715,32407835420356.00
2021-06-09 02:00:00,0.00000716,0.00000760,0.00000683,0.00000738,21333278224709.00
2021-06-10 02:00:00,0.00000739,0.00000743,0.00000678,0.00000684,15982745660312.00
2021-06-11 02:00:00,0.00000684,0.00000690,0.00000601,0.00000621,16654567843743.00
2021-06-12 02:00:00,0.00000621,0.00000655,0.00000551,0.00000628,28186259522494.00
2021-06-13 02:00:00,0.00000627,0.00000715,0.00000605,0.00000685,20763576566343.00
2021-06-14 02:00:00,0.00000684,0.00000721,0.00000667,0.00000709,17240978312423.00
2021-06-15 02:00:00,0.00000708,0.00000988,0.00000693,0.00000903,55757151596139.00
2021-06-16 02:00:00,0.00000902,0.00000929,0.00000814,0.00000831,46228329919729.00
2021-06-17 02:00:00,0.00000832,0.00000850,0.00000772,0.00000795,27604953266364.00
2021-06-18 02:00:00,0.00000795,0.00000798,0.00000700,0.00000726,23594476054170.00
2021-06-19 02:00:00,0.00000726,0.00000849,0.00000719,0.00000762,33512449142630.00
2021-06-20 02:00:00,0.00000763,0.00000807,0.00000711,0.00000778,25203949490357.00
2021-06-21 02:00:00,0.00000778,0.00000784,0.00000608,0.00000619,34754967194157.00
2021-06-22 02:00:00,0.00000619,0.00000700,0.00000559,0.00000633,41222045178875.00
2021-06-23 02:00:00,0.00000633,0.00000711,0.00000609,0.00000684,22097655745813.00
2021-06-24 02:00:00,0.00000683,0.00000745,0.00000656,0.00000721,14589082651691.00
2021-06-25 02:00:00,0.00000721,0.00000850,0.00000672,0.00000707,41620961473360.00
2021-06-26 02:00:00,0.00000706,0.00000755,0.00000690,0.00000748,21860032918766.00
2021-06-27 02:00:00,0.00000747,0.00000789,0.00000727,0.00000785,11925015594849.00
2021-06-28 02:00:00,0.00000785,0.00000821,0.00000758,0.00000808,18506007897380.00
2021-06-29 02:00:00,0.00000808,0.00000963,0.00000803,0.00000887,46042194342449.00
2021-06-30 02:00:00,0.00000887,0.00000923,0.00000801,0.00000882,32459314385918.00
2021-07-01 02:00:00,0.00000882,0.00000883,0.00000815,0.00000832,15990026259963.00
2021-07-02 02:00:00,0.00000833,0.00000844,0.00000805,0.00000835,9609338950937.00
2021-07-03 02:00:00,0.00000836,0.00000880,0.00000830,0.00000866,11000178497551.00
2021-07-04 02:00:00,0.00000866,0.00000895,0.00000845,0.00000873,10015748720356.00
2021-07-05 02:00:00,0.00000872,0.00000873,0.00000816,0.00000834,12068056360331.00
2021-07-06 02:00:00,0.00000833,0.00000933,0.00000831,0.00000874,24765820144984.00
2021-07-07 02:00:00,0.00000874,0.00000896,0.00000852,0.00000855,10732885596585.00
2021-07-08 02:00:00,0.00000854,0.00000856,0.00000778,0.00000802,14698093074025.00
2021-07-09 02:00:00,0.00000803,0.00000810,0.00000770,0.00000791,8928857134302.00
2021-07-10 02:00:00,0.00000792,0.00000809,0.00000752,0.00000767,7191309903247.00
2021-07-11 02:00:00,0.00000767,0.00000798,0.00000756,0.00000786,5480379241985.00
2021-07-12 02:00:00,0.00000787,0.00000799,0.00000731,0.00000756,7734638319417.00
2021-07-13 02:00:00,0.00000756,0.00000759,0.00000704,0.00000711,8108609831266.00
2021-07-14 02:00:00,0.00000712,0.00000757,0.00000670,0.00000724,11875884954991.00
2021-07-15 02:00:00,0.00000724,0.00000737,0.00000679,0.00000691,8945840487258.00
2021-07-16 02:00:00,0.00000690,0.00000700,0.00000655,0.00000662,6047433872423.00
2021-07-17 02:00:00,0.00000663,0.00000705,0.00000656,0.00000681,7114435611225.00
2021-07-18 02:00:00,0.00000682,0.00000703,0.00000660,0.00000664,6125931214999.00
2021-07-19 02:00:00,0.00000665,0.00000667,0.00000607,0.00000619,8543669280673.00
2021-07-20 02:00:00,0.00000619,0.00000624,0.00000570,0.00000589,10212338619649.00
2021-07-21 02:00:00,0.00000589,0.00000698,0.00000577,0.00000654,15189009739596.00
2021-07-22 02:00:00,0.00000653,0.00000666,0.00000634,0.00000646,8024642335768.00
2021-07-23 02:00:00,0.00000647,0.00000671,0.00000611,0.00000648,8810341657917.00
2021-07-24 02:00:00,0.00000647,0.00000666,0.00000630,0.00000644,9474775072580.00
2021-07-25 02:00:00,0.00000644,0.00000654,0.00000616,0.00000636,7134617522583.00
2021-07-26 02:00:00,0.00000637,0.00000691,0.00000624,0.00000630,19227138374369.00
2021-07-27 02:00:00,0.00000631,0.00000642,0.00000604,0.00000632,9641696587214.00
2021-07-28 02:00:00,0.00000632,0.00000635,0.00000613,0.00000618,7902294769375.00
2021-07-29 02:00:00,0.00000619,0.00000652,0.00000608,0.00000629,8694966152691.00
2021-07-30 02:00:00,0.00000629,0.00000641,0.00000610,0.00000629,6650527789677.00
2021-07-31 02:00:00,0.00000629,0.00000631,0.00000620,0.00000625,5309993604368.00
2021-08-01 02:00:00,0.00000625,0.00000672,0.00000621,0.00000630,10959981431747.00
2021-08-02 02:00:00,0.00000630,0.00000643,0.00000621,0.00000634,6260531438700.00
2021-08-03 02:00:00,0.00000634,0.00000640,0.00000615,0.00000618,5222684533973.00
2021-08-04 02:00:00,0.00000618,0.00000633,0.00000611,0.00000623,5505584121482.00
2021-08-05 02:00:00,0.00000624,0.00000625,0.00000611,0.00000621,6261624309409.00
2021-08-06 02:00:00,0.00000622,0.00000642,0.00000613,0.00000630,7944430535861.00
2021-08-07 02:00:00,0.00000631,0.00000789,0.00000629,0.00000780,31447680089584.00
2021-08-08 02:00:00,0.00000780,0.00000888,0.00000723,0.00000729,42988253874709.00
2021-08-09 02:00:00,0.00000729,0.00000788,0.00000709,0.00000762,20193833052588.00
2021-08-10 02:00:00,0.00000762,0.00000795,0.00000731,0.00000756,12231498497079.00
2021-08-11 02:00:00,0.00000756,0.00000830,0.00000750,0.00000777,22952242869554.00
2021-08-12 02:00:00,0.00000777,0.00000822,0.00000743,0.00000765,16738912794675.00
2021-08-13 02:00:00,0.00000764,0.00000818,0.00000760,0.00000813,11222513120578.00
2021-08-14 02:00:00,0.00000813,0.00000857,0.00000781,0.00000813,17010503781776.00
2021-08-15 02:00:00,0.00000812,0.00000876,0.00000785,0.00000855,18483321892487.00
2021-08-16 02:00:00,0.00000855,0.00000948,0.00000836,0.00000904,37191196001582.00
2021-08-17 02:00:00,0.00000904,0.00000937,0.00000799,0.00000805,26318386857105.00
2021-08-18 02:00:00,0.00000805,0.00000833,0.00000776,0.00000802,18267781451145.00
2021-08-19 02:00:00,0.00000802,0.00000835,0.00000786,0.00000835,11148529538651.00
2021-08-20 02:00:00,0.00000835,0.00000860,0.00000821,0.00000848,11001862928480.00
2021-08-21 02:00:00,0.00000848,0.00000851,0.00000811,0.00000814,9186376727549.00
2021-08-22 02:00:00,0.00000813,0.00000844,0.00000805,0.00000820,7664419848923.00
2021-08-23 02:00:00,0.00000820,0.00000844,0.00000813,0.00000819,8215888602078.00
2021-08-24 02:00:00,0.00000818,0.00000822,0.00000731,0.00000748,13128492964677.00
2021-08-25 02:00:00,0.00000748,0.00000771,0.00000715,0.00000753,10908288775579.00
2021-08-26 02:00:00,0.00000753,0.00000764,0.00000682,0.00000697,9832605958319.00
2021-08-27 02:00:00,0.00000698,0.00000757,0.00000682,0.00000747,10112453430111.00
2021-08-28 02:00:00,0.00000747,0.00000749,0.00000719,0.00000722,5541566422378.00
