datetime,o,h,l,c,v
2020-12-01 01:00:00,1.96410000,2.14040000,1.91680000,1.97380000,2102911.64000000
2020-12-02 01:00:00,1.97020000,2.20980000,1.93330000,2.12090000,2203748.48000000
2020-12-03 01:00:00,2.11900000,2.22790000,2.07400000,2.09670000,3182362.33000000
2020-12-04 01:00:00,2.09670000,2.11230000,1.83600000,1.85350000,1424943.39000000
2020-12-05 01:00:00,1.85070000,1.98300000,1.82000000,1.97950000,1087998.40000000
2020-12-06 01:00:00,1.97950000,1.99070000,1.79560000,1.85050000,1125736.37000000
2020-12-07 01:00:00,1.85150000,1.89900000,1.80880000,1.82720000,962743.70000000
2020-12-08 01:00:00,1.83010000,1.83010000,1.62110000,1.66310000,2296665.59000000
2020-12-09 01:00:00,1.66000000,1.67770000,1.50000000,1.65920000,2093499.32000000
2020-12-10 01:00:00,1.65990000,1.66640000,1.53950000,1.56830000,1061425.89000000
2020-12-11 01:00:00,1.57390000,1.57740000,1.43280000,1.43890000,1429080.75000000
2020-12-12 01:00:00,1.43680000,1.53820000,1.43660000,1.49120000,1423640.73000000
2020-12-13 01:00:00,1.49090000,1.70000000,1.45780000,1.57010000,1749534.43000000
2020-12-14 01:00:00,1.56510000,1.62530000,1.52240000,1.59460000,1503571.44000000
2020-12-15 01:00:00,1.59400000,1.80390000,1.58750000,1.75860000,3562068.86000000
2020-12-16 01:00:00,1.75770000,1.79190000,1.60250000,1.78290000,3098111.32000000
2020-12-17 01:00:00,1.78000000,1.80640000,1.63820000,1.68000000,2528060.41000000
2020-12-18 01:00:00,1.67690000,1.70770000,1.63070000,1.70140000,1127224.49000000
2020-12-19 01:00:00,1.69870000,1.76770000,1.65950000,1.67070000,1332107.96000000
2020-12-20 01:00:00,1.67060000,1.68890000,1.52100000,1.56350000,1368277.59000000
2020-12-21 01:00:00,1.56050000,1.62000000,1.49000000,1.53310000,1265977.95000000
2020-12-22 01:00:00,1.53540000,1.57990000,1.47000000,1.49000000,2035459.30000000
2020-12-23 01:00:00,1.49000000,1.51260000,1.03010000,1.19800000,4351555.90000000
2020-12-24 01:00:00,1.19870000,1.38880000,1.16520000,1.36120000,1784967.07000000
2020-12-25 01:00:00,1.36410000,1.45990000,1.34170000,1.44640000,1391332.89000000
2020-12-26 01:00:00,1.44880000,1.44970000,1.31180000,1.32580000,912192.33000000
2020-12-27 01:00:00,1.32400000,1.41700000,1.26160000,1.30370000,2170898.45000000
2020-12-28 01:00:00,1.30410000,1.52230000,1.28670000,1.51720000,2158620.57000000
2020-12-29 01:00:00,1.51870000,1.73500000,1.43880000,1.67040000,4870104.61000000
2020-12-30 01:00:00,1.67340000,1.69030000,1.52350000,1.53500000,2171296.28000000
2020-12-31 01:00:00,1.53370000,1.55230000,1.42000000,1.50730000,2169627.35000000
2021-01-01 01:00:00,1.50880000,1.86000000,1.49900000,1.84210000,4421991.45000000
2021-01-02 01:00:00,1.84210000,2.00000000,1.71160000,1.79990000,5253819.62000000
2021-01-03 01:00:00,1.79980000,2.38000000,1.79730000,2.17790000,8318341.13000000
2021-01-04 01:00:00,2.17890000,2.49890000,1.86000000,2.49090000,7800814.80000000
2021-01-05 01:00:00,2.49110000,2.50930000,2.06210000,2.16360000,6702006.99000000
2021-01-06 01:00:00,2.16360000,2.18900000,1.90170000,1.94140000,8451529.47000000
2021-01-07 01:00:00,1.94040000,2.65000000,1.92140000,2.36350000,30861006.24000000
2021-01-08 01:00:00,2.36550000,3.80000000,2.17500000,3.22140000,29866396.67000000
2021-01-09 01:00:00,3.21200000,3.69980000,2.93000000,3.38290000,9881188.65000000
2021-01-10 01:00:00,3.37340000,3.75170000,3.15560000,3.44900000,5819813.51000000
2021-01-11 01:00:00,3.44550000,3.52820000,2.57950000,3.10160000,8734261.68000000
2021-01-12 01:00:00,3.10160000,3.88000000,3.05800000,3.63540000,7075911.68000000
2021-01-13 01:00:00,3.63540000,3.63700000,3.26330000,3.52420000,5123655.80000000
2021-01-14 01:00:00,3.52430000,3.59550000,3.18140000,3.29210000,6422109.73000000
2021-01-15 01:00:00,3.29210000,3.44890000,2.96180000,3.24750000,4812542.83000000
2021-01-16 01:00:00,3.24790000,3.70810000,3.24630000,3.42470000,8562549.63000000
2021-01-17 01:00:00,3.42510000,3.98760000,3.30000000,3.82680000,8531899.81000000
2021-01-18 01:00:00,3.82430000,4.17000000,3.61670000,3.78680000,6226924.77000000
2021-01-19 01:00:00,3.78730000,4.04980000,3.60000000,3.62870000,4768719.77000000
2021-01-20 01:00:00,3.62880000,3.74130000,3.34000000,3.71660000,4801640.28000000
2021-01-21 01:00:00,3.71990000,3.74110000,2.97170000,2.98990000,4375407.94000000
2021-01-22 01:00:00,2.98930000,3.49920000,2.52950000,3.33520000,6481502.65000000
2021-01-23 01:00:00,3.33020000,3.60000000,3.30560000,3.50790000,2269454.70000000
2021-01-24 01:00:00,3.50180000,3.79000000,3.47810000,3.62780000,2457759.67000000
2021-01-25 01:00:00,3.62870000,3.99280000,3.43980000,3.70380000,6791542.33000000
2021-01-26 01:00:00,3.70360000,4.09700000,3.64780000,4.04100000,6618303.90000000
2021-01-27 01:00:00,4.04180000,4.04220000,3.51140000,3.67500000,2491757.82000000
2021-01-28 01:00:00,3.66400000,3.96000000,3.60000000,3.81000000,2055425.01000000
2021-01-29 01:00:00,3.80920000,3.91200000,3.60000000,3.82930000,2992168.86000000
2021-01-30 01:00:00,3.83010000,4.31790000,3.76670000,4.22800000,3944655.04000000
2021-01-31 01:00:00,4.22800000,4.80500000,4.15400000,4.25250000,5438870.48000000
2021-02-01 01:00:00,4.25680000,4.61700000,4.10750000,4.61480000,2097052.47000000
2021-02-02 01:00:00,4.61480000,5.40260000,4.46320000,5.23310000,5278922.61000000
2021-02-03 01:00:00,5.24300000,5.78300000,5.05130000,5.73110000,3977458.72000000
2021-02-04 01:00:00,5.73390000,6.54260000,5.56760000,6.40850000,5609382.39000000
2021-02-05 01:00:00,6.41810000,7.14380000,6.40860000,6.70050000,4235525.49000000
2021-02-06 01:00:00,6.70010000,6.81810000,5.70000000,6.12250000,5040208.25000000
2021-02-07 01:00:00,6.12190000,6.88070000,5.75000000,6.69760000,5111066.89000000
2021-02-08 01:00:00,6.69310000,8.07800000,6.45540000,7.85500000,6719151.08000000
2021-02-09 01:00:00,7.86510000,8.49450000,7.55000000,7.80050000,4803489.37000000
2021-02-10 01:00:00,7.80050000,9.09000000,7.26000000,9.09000000,4419421.79000000
2021-02-11 01:00:00,9.08970000,9.74250000,8.72000000,9.20040000,5694878.77000000
2021-02-12 01:00:00,9.20580000,9.93000000,9.03530000,9.20000000,2867258.84000000
2021-02-13 01:00:00,9.20070000,9.51170000,8.65800000,8.74410000,3487478.68000000
2021-02-14 01:00:00,8.74480000,9.23000000,8.52930000,8.71580000,2889949.04000000
2021-02-15 01:00:00,8.72340000,9.38000000,7.70000000,8.85160000,3424896.19000000
2021-02-16 01:00:00,8.86600000,9.00000000,7.96010000,8.30020000,2257217.69000000
2021-02-17 01:00:00,8.30350000,8.45000000,7.51820000,8.23570000,3331645.44000000
