datetime,o,h,l,c,v
2020-12-01 01:00:00,0.24200000,0.25440000,0.23000000,0.23840000,3281417.52000000
2020-12-02 01:00:00,0.23840000,0.25240000,0.23450000,0.24630000,3107588.62000000
2020-12-03 01:00:00,0.24570000,0.25060000,0.24280000,0.24590000,2182905.88000000
2020-12-04 01:00:00,0.24550000,0.24670000,0.22450000,0.22560000,2985380.71000000
2020-12-05 01:00:00,0.22550000,0.23200000,0.22430000,0.23010000,1786475.77000000
2020-12-06 01:00:00,0.23010000,0.24800000,0.22940000,0.24700000,2641901.54000000
2020-12-07 01:00:00,0.24700000,0.27230000,0.23700000,0.26560000,13394063.09000000
2020-12-08 01:00:00,0.26580000,0.31710000,0.26420000,0.28540000,24652922.56000000
2020-12-09 01:00:00,0.28530000,0.29270000,0.24930000,0.27570000,11275127.92000000
2020-12-10 01:00:00,0.27560000,0.27740000,0.24690000,0.26180000,7566251.79000000
2020-12-11 01:00:00,0.26200000,0.29200000,0.24910000,0.27500000,11997084.22000000
2020-12-12 01:00:00,0.27450000,0.30590000,0.27310000,0.29580000,8178039.07000000
2020-12-13 01:00:00,0.29560000,0.33920000,0.29210000,0.32370000,14463382.23000000
2020-12-14 01:00:00,0.32550000,0.34500000,0.31060000,0.31940000,8386936.96000000
2020-12-15 01:00:00,0.31900000,0.32690000,0.29810000,0.30410000,6778358.11000000
2020-12-16 01:00:00,0.30310000,0.30700000,0.28310000,0.29970000,7388570.19000000
2020-12-17 01:00:00,0.29970000,0.31000000,0.28660000,0.29670000,7091152.05000000
2020-12-18 01:00:00,0.29680000,0.31770000,0.29590000,0.31720000,5746360.63000000
2020-12-19 01:00:00,0.31720000,0.31800000,0.29800000,0.30360000,4901398.73000000
2020-12-20 01:00:00,0.30230000,0.30650000,0.28700000,0.29350000,2960410.48000000
2020-12-21 01:00:00,0.29440000,0.29440000,0.27050000,0.27920000,2782046.99000000
2020-12-22 01:00:00,0.28080000,0.30500000,0.27720000,0.28260000,4618634.51000000
2020-12-23 01:00:00,0.28390000,0.28490000,0.25740000,0.26070000,5303611.51000000
2020-12-24 01:00:00,0.26180000,0.29400000,0.24190000,0.28140000,5179431.49000000
2020-12-25 01:00:00,0.28140000,0.31500000,0.28020000,0.30290000,6785597.71000000
2020-12-26 01:00:00,0.30280000,0.32600000,0.29100000,0.31990000,6422380.76000000
2020-12-27 01:00:00,0.31990000,0.45000000,0.31060000,0.41330000,34591339.02000000
2020-12-28 01:00:00,0.41360000,0.43670000,0.36860000,0.38760000,14330462.42000000
2020-12-29 01:00:00,0.39000000,0.43570000,0.35350000,0.40990000,12114071.01000000
2020-12-30 01:00:00,0.40970000,0.45000000,0.37950000,0.39530000,11790860.15000000
2020-12-31 01:00:00,0.39690000,0.42060000,0.37420000,0.39600000,8043499.85000000
2021-01-01 01:00:00,0.39600000,0.44570000,0.39490000,0.42720000,11214474.39000000
2021-01-02 01:00:00,0.42930000,0.48940000,0.42610000,0.45730000,21710037.66000000
2021-01-03 01:00:00,0.45680000,0.53000000,0.45440000,0.48180000,16250899.65000000
2021-01-04 01:00:00,0.48340000,0.51000000,0.42080000,0.49100000,15712589.27000000
2021-01-05 01:00:00,0.49350000,0.54390000,0.45330000,0.52140000,10234752.55000000
2021-01-06 01:00:00,0.52230000,0.54810000,0.48600000,0.52410000,10994152.96000000
2021-01-07 01:00:00,0.52170000,0.56850000,0.50000000,0.54260000,8048651.81000000
