datetime,o,h,l,c,v
2021-03-15 07:00:00,0.10000000,60.00000000,0.10000000,18.59250000,13705897.48000000
2021-03-15 08:00:00,18.63930000,28.48260000,18.56000000,22.42820000,10949342.22000000
2021-03-15 09:00:00,22.35800000,47.15560000,22.32400000,38.50350000,12221651.50000000
2021-03-15 10:00:00,38.68080000,38.70520000,27.00820000,30.80000000,9200913.31000000
2021-03-15 11:00:00,30.84460000,32.90000000,26.22990000,30.55470000,5174864.73000000
2021-03-15 12:00:00,30.55470000,31.90140000,28.25700000,28.50190000,2351220.32000000
2021-03-15 13:00:00,28.50000000,30.99870000,28.50000000,28.50000000,1290065.47000000
2021-03-15 14:00:00,28.50020000,28.52010000,23.00000000,23.55710000,3941622.23000000
2021-03-15 15:00:00,23.55630000,25.42070000,21.23860000,21.89660000,1958016.37000000
2021-03-15 16:00:00,21.87680000,26.00000000,21.65890000,24.90900000,2469191.48000000
2021-03-15 17:00:00,24.88830000,25.25000000,23.26000000,23.75500000,938776.51000000
2021-03-15 18:00:00,23.77260000,27.66660000,23.58960000,25.66500000,2117994.53000000
2021-03-15 19:00:00,25.69840000,26.45000000,24.61250000,25.13230000,740743.06000000
2021-03-15 20:00:00,25.13730000,25.45000000,23.57940000,24.03130000,580744.80000000
2021-03-15 21:00:00,24.03250000,24.80000000,22.22070000,23.13230000,981248.87000000
2021-03-15 22:00:00,23.13580000,24.87880000,22.50330000,24.53290000,654111.12000000
2021-03-15 23:00:00,24.50370000,24.59000000,22.80000000,23.22020000,451609.99000000
2021-03-16 00:00:00,23.18830000,23.62470000,20.50000000,20.74030000,727038.27000000
2021-03-16 01:00:00,20.74060000,23.55500000,20.74050000,22.04990000,716040.65000000
2021-03-16 02:00:00,22.07340000,22.74400000,20.82300000,21.56900000,531075.86000000
2021-03-16 03:00:00,21.56960000,25.69580000,21.51000000,24.24780000,1084090.05000000
2021-03-16 04:00:00,24.27790000,25.20000000,22.63820000,23.40340000,706515.49000000
2021-03-16 05:00:00,23.40170000,24.68880000,22.64220000,23.01850000,517418.12000000
2021-03-16 06:00:00,22.99800000,23.52880000,21.31880000,22.07570000,523116.08000000
2021-03-16 07:00:00,22.07840000,22.35000000,20.87000000,21.10550000,598898.91000000
2021-03-16 08:00:00,21.10550000,22.57000000,20.90000000,22.15580000,626841.50000000
2021-03-16 09:00:00,22.15480000,22.20900000,20.40000000,20.40020000,490771.98000000
2021-03-16 10:00:00,20.40020000,20.70150000,18.50000000,19.02140000,1744739.15000000
2021-03-16 11:00:00,19.04970000,19.45130000,17.60000000,18.30000000,1075002.86000000
2021-03-16 12:00:00,18.29280000,18.64140000,17.36480000,18.31210000,603292.43000000
2021-03-16 13:00:00,18.35420000,19.08790000,17.22880000,17.51300000,818036.04000000
2021-03-16 14:00:00,17.51300000,17.69030000,16.50440000,16.58210000,791251.64000000
2021-03-16 15:00:00,16.59580000,17.00000000,15.60000000,16.07020000,992656.58000000
2021-03-16 16:00:00,16.07020000,16.98700000,15.50100000,16.69700000,664302.94000000
2021-03-16 17:00:00,16.69700000,17.70000000,16.26070000,17.62860000,838694.73000000
2021-03-16 18:00:00,17.62500000,17.64870000,15.60000000,15.89990000,720644.25000000
2021-03-16 19:00:00,15.89700000,16.70000000,15.85020000,16.03130000,322734.40000000
2021-03-16 20:00:00,16.05190000,17.11900000,15.87000000,16.63230000,356525.20000000
2021-03-16 21:00:00,16.63490000,17.41090000,16.42010000,17.38310000,329244.52000000
2021-03-16 22:00:00,17.38410000,17.89000000,16.80000000,17.26770000,372814.90000000
2021-03-16 23:00:00,17.26770000,17.28600000,16.40090000,16.63970000,222306.67000000
2021-03-17 00:00:00,16.58430000,17.19410000,16.40000000,17.05900000,157778.03000000
2021-03-17 01:00:00,17.01480000,18.73170000,16.70000000,18.48400000,416461.98000000
2021-03-17 02:00:00,18.48400000,18.81710000,17.52030000,17.61840000,355824.82000000
2021-03-17 03:00:00,17.66260000,17.96000000,16.91450000,17.70500000,211983.16000000
2021-03-17 04:00:00,17.72550000,17.72550000,17.05000000,17.38000000,144057.51000000
2021-03-17 05:00:00,17.38300000,17.68930000,16.50000000,16.60000000,233802.77000000
2021-03-17 06:00:00,16.60000000,16.82510000,15.88680000,16.42840000,237370.44000000
2021-03-17 07:00:00,16.43030000,16.90000000,16.40000000,16.50010000,139132.61000000
2021-03-17 08:00:00,16.49440000,16.84780000,16.12440000,16.55120000,154790.48000000
2021-03-17 09:00:00,16.58240000,16.91000000,16.21300000,16.71520000,201714.74000000
2021-03-17 10:00:00,16.71960000,16.75210000,15.70360000,15.97040000,223608.43000000
2021-03-17 11:00:00,15.97080000,16.38430000,15.83000000,16.20310000,132219.03000000
2021-03-17 12:00:00,16.20110000,16.23580000,15.58610000,15.76310000,173594.24000000
2021-03-17 13:00:00,15.78970000,15.80690000,14.75000000,15.10100000,394935.67000000
2021-03-17 14:00:00,15.10100000,15.65000000,14.92410000,15.03190000,309557.98000000
2021-03-17 15:00:00,15.00400000,15.00500000,14.11360000,14.27100000,540128.17000000
2021-03-17 16:00:00,14.27020000,15.20600000,14.08510000,15.05980000,359741.14000000
2021-03-17 17:00:00,15.00810000,15.35000000,14.40000000,14.70000000,283657.08000000
2021-03-17 18:00:00,14.70990000,14.83830000,14.25000000,14.52750000,164748.05000000
2021-03-17 19:00:00,14.53440000,15.55590000,14.52980000,15.52000000,300400.86000000
