datetime,o,h,l,c,v
2020-12-12 01:00:00,3.23200000,3.41970000,3.23180000,3.41380000,111942.62000000
2020-12-12 02:00:00,3.41380000,3.41750000,3.35590000,3.38530000,30692.08000000
2020-12-12 03:00:00,3.38460000,3.42830000,3.35070000,3.42830000,104366.95000000
2020-12-12 04:00:00,3.42830000,3.42830000,3.35960000,3.40190000,25525.00000000
2020-12-12 05:00:00,3.39530000,3.44110000,3.39510000,3.43510000,14796.91000000
2020-12-12 06:00:00,3.43540000,3.44560000,3.39990000,3.41370000,22081.58000000
2020-12-12 07:00:00,3.41050000,3.43970000,3.41050000,3.43500000,8526.51000000
2020-12-12 08:00:00,3.43700000,3.45000000,3.41880000,3.43990000,37741.58000000
2020-12-12 09:00:00,3.44210000,3.44540000,3.39730000,3.40880000,37600.01000000
2020-12-12 10:00:00,3.40930000,3.42590000,3.39710000,3.40410000,21809.05000000
2020-12-12 11:00:00,3.40410000,3.42000000,3.36100000,3.38580000,17118.75000000
2020-12-12 12:00:00,3.38570000,3.41500000,3.38440000,3.40120000,19577.19000000
2020-12-12 13:00:00,3.40070000,3.40160000,3.36150000,3.38160000,21599.34000000
2020-12-12 14:00:00,3.38070000,3.38410000,3.35810000,3.36660000,13946.42000000
2020-12-12 15:00:00,3.36470000,3.36470000,3.28790000,3.29960000,67641.99000000
2020-12-12 16:00:00,3.29550000,3.30760000,3.26290000,3.29990000,26344.92000000
2020-12-12 17:00:00,3.30000000,3.32630000,3.28460000,3.32060000,26988.10000000
2020-12-12 18:00:00,3.31800000,3.35000000,3.29590000,3.34330000,14921.93000000
2020-12-12 19:00:00,3.34740000,3.34960000,3.32260000,3.33650000,11296.43000000
2020-12-12 20:00:00,3.33290000,3.35500000,3.32450000,3.33180000,25117.83000000
2020-12-12 21:00:00,3.33170000,3.34970000,3.32890000,3.34940000,8434.79000000
2020-12-12 22:00:00,3.34870000,3.35410000,3.33020000,3.34080000,5557.63000000
2020-12-12 23:00:00,3.34290000,3.34510000,3.33020000,3.33210000,5438.25000000
2020-12-13 00:00:00,3.33300000,3.35100000,3.32400000,3.33320000,16414.68000000
2020-12-13 01:00:00,3.34090000,3.34960000,3.29970000,3.32570000,19984.73000000
2020-12-13 02:00:00,3.31750000,3.34000000,3.31200000,3.33190000,5911.14000000
2020-12-13 03:00:00,3.33190000,3.33650000,3.30430000,3.31710000,5709.51000000
2020-12-13 04:00:00,3.31820000,3.32020000,3.29010000,3.30350000,6825.84000000
2020-12-13 05:00:00,3.30410000,3.32240000,3.29310000,3.32240000,13561.20000000
2020-12-13 06:00:00,3.31910000,3.34160000,3.31590000,3.33560000,10403.52000000
2020-12-13 07:00:00,3.33390000,3.35390000,3.31960000,3.34670000,21612.83000000
2020-12-13 08:00:00,3.34920000,3.35470000,3.33190000,3.33850000,22117.17000000
2020-12-13 09:00:00,3.34470000,3.41390000,3.33850000,3.41390000,42374.96000000
2020-12-13 10:00:00,3.41390000,3.41730000,3.36910000,3.40420000,47410.91000000
2020-12-13 11:00:00,3.39900000,3.41400000,3.38630000,3.39870000,25950.20000000
2020-12-13 12:00:00,3.39930000,3.40610000,3.36030000,3.40610000,19899.07000000
2020-12-13 13:00:00,3.40600000,3.40620000,3.36840000,3.39510000,17031.53000000
2020-12-13 14:00:00,3.39550000,3.39870000,3.28930000,3.33040000,106396.44000000
2020-12-13 15:00:00,3.32710000,3.34610000,3.30840000,3.33860000,19898.23000000
2020-12-13 16:00:00,3.33860000,3.34660000,3.30100000,3.32000000,32617.66000000
2020-12-13 17:00:00,3.32000000,3.35940000,3.32000000,3.35000000,24099.75000000
2020-12-13 18:00:00,3.35510000,3.37890000,3.32780000,3.36500000,30504.07000000
2020-12-13 19:00:00,3.36700000,3.36700000,3.34100000,3.36030000,27447.63000000
2020-12-13 20:00:00,3.35880000,3.36340000,3.33650000,3.35050000,19721.49000000
2020-12-13 21:00:00,3.35060000,3.35060000,3.31830000,3.34370000,14822.69000000
2020-12-13 22:00:00,3.33780000,3.36430000,3.32320000,3.36100000,21332.79000000
2020-12-13 23:00:00,3.36520000,3.36800000,3.28060000,3.31770000,26397.20000000
2020-12-14 00:00:00,3.31970000,3.34340000,3.30610000,3.34050000,16094.71000000
2020-12-14 01:00:00,3.34010000,3.34010000,3.27100000,3.27940000,29142.87000000
2020-12-14 02:00:00,3.28110000,3.31290000,3.26550000,3.29260000,34518.50000000
2020-12-14 03:00:00,3.28730000,3.31980000,3.28730000,3.31160000,10077.90000000
2020-12-14 04:00:00,3.31330000,3.33760000,3.30960000,3.33590000,11480.56000000
2020-12-14 05:00:00,3.33190000,3.34240000,3.29000000,3.30700000,19375.83000000
2020-12-14 06:00:00,3.30170000,3.31580000,3.28010000,3.31430000,16256.06000000
2020-12-14 07:00:00,3.31290000,3.32490000,3.24010000,3.25880000,177901.12000000
2020-12-14 08:00:00,3.25880000,3.26960000,3.23880000,3.26500000,24482.96000000
2020-12-14 09:00:00,3.26500000,3.27200000,3.25900000,3.27030000,16731.12000000
2020-12-14 10:00:00,3.27030000,3.27700000,3.23810000,3.25650000,41811.55000000
2020-12-14 11:00:00,3.24910000,3.26960000,3.22150000,3.22770000,43244.05000000
2020-12-14 12:00:00,3.22930000,3.25820000,3.20190000,3.25280000,78028.94000000
