datetime,o,h,l,c,v
2020-12-12 01:00:00,0.55031000,0.58888000,0.55031000,0.58662000,468764.80000000
2020-12-12 02:00:00,0.58642000,0.58762000,0.57280000,0.58567000,257066.60000000
2020-12-12 03:00:00,0.58473000,0.58724000,0.57509000,0.58458000,147392.60000000
2020-12-12 04:00:00,0.58608000,0.58614000,0.57347000,0.57667000,126038.90000000
2020-12-12 05:00:00,0.57667000,0.58743000,0.57281000,0.58493000,176375.00000000
2020-12-12 06:00:00,0.58457000,0.58673000,0.57618000,0.57651000,90984.60000000
2020-12-12 07:00:00,0.57714000,0.58290000,0.57489000,0.57531000,147103.40000000
2020-12-12 08:00:00,0.57531000,0.58923000,0.57531000,0.58713000,242831.10000000
2020-12-12 09:00:00,0.58713000,0.58715000,0.57675000,0.58361000,173963.80000000
2020-12-12 10:00:00,0.58478000,0.61500000,0.58478000,0.61123000,606155.20000000
2020-12-12 11:00:00,0.61163000,0.61409000,0.60000000,0.60544000,341356.90000000
2020-12-12 12:00:00,0.60544000,0.61299000,0.60544000,0.60904000,156854.70000000
2020-12-12 13:00:00,0.60900000,0.61363000,0.59586000,0.60300000,332213.70000000
2020-12-12 14:00:00,0.60300000,0.60974000,0.60066000,0.60300000,218632.10000000
2020-12-12 15:00:00,0.60500000,0.62612000,0.59389000,0.60344000,720609.60000000
2020-12-12 16:00:00,0.60167000,0.60740000,0.58365000,0.59693000,560456.60000000
2020-12-12 17:00:00,0.59789000,0.60651000,0.59789000,0.60500000,209654.80000000
2020-12-12 18:00:00,0.60500000,0.61435000,0.60172000,0.60599000,193106.90000000
2020-12-12 19:00:00,0.60762000,0.63000000,0.60668000,0.60800000,478808.70000000
2020-12-12 20:00:00,0.60890000,0.61455000,0.60007000,0.60462000,151433.30000000
2020-12-12 21:00:00,0.60490000,0.60961000,0.60022000,0.60323000,111383.50000000
2020-12-12 22:00:00,0.60287000,0.60906000,0.60145000,0.60759000,53060.70000000
2020-12-12 23:00:00,0.60695000,0.60695000,0.58538000,0.59597000,169298.30000000
2020-12-13 00:00:00,0.59699000,0.59800000,0.57065000,0.57816000,221777.40000000
2020-12-13 01:00:00,0.57817000,0.58282000,0.57102000,0.57206000,167720.30000000
