datetime,o,h,l,c,v
2020-12-12 01:00:00,0.20280000,0.21200000,0.20250000,0.21120000,2780501.56000000
2020-12-12 02:00:00,0.21130000,0.21190000,0.21010000,0.21100000,326249.03000000
2020-12-12 03:00:00,0.21090000,0.21190000,0.21080000,0.21170000,304593.32000000
2020-12-12 04:00:00,0.21170000,0.21250000,0.21130000,0.21210000,151920.80000000
2020-12-12 05:00:00,0.21210000,0.21240000,0.21110000,0.21170000,305252.55000000
2020-12-12 06:00:00,0.21180000,0.21210000,0.21150000,0.21200000,194253.29000000
2020-12-12 07:00:00,0.21220000,0.21470000,0.21190000,0.21240000,768755.04000000
2020-12-12 08:00:00,0.21240000,0.21300000,0.20980000,0.21000000,2404548.33000000
2020-12-12 09:00:00,0.21010000,0.21130000,0.20890000,0.20920000,1400132.87000000
2020-12-12 10:00:00,0.20920000,0.21000000,0.20880000,0.20910000,337335.20000000
2020-12-12 11:00:00,0.20930000,0.20940000,0.20770000,0.20790000,457628.75000000
2020-12-12 12:00:00,0.20790000,0.20940000,0.20770000,0.20900000,411920.50000000
2020-12-12 13:00:00,0.20900000,0.20900000,0.20780000,0.20800000,846216.39000000
2020-12-12 14:00:00,0.20790000,0.20810000,0.20700000,0.20770000,250289.35000000
2020-12-12 15:00:00,0.20760000,0.20800000,0.20510000,0.20620000,628610.94000000
2020-12-12 16:00:00,0.20590000,0.20690000,0.20480000,0.20680000,451714.12000000
2020-12-12 17:00:00,0.20700000,0.20760000,0.20630000,0.20700000,378088.32000000
2020-12-12 18:00:00,0.20700000,0.20750000,0.20600000,0.20730000,207772.78000000
2020-12-12 19:00:00,0.20740000,0.21180000,0.20710000,0.20960000,1726320.08000000
2020-12-12 20:00:00,0.20970000,0.21150000,0.20930000,0.21120000,1276033.18000000
2020-12-12 21:00:00,0.21130000,0.21210000,0.21010000,0.21140000,1080697.96000000
2020-12-12 22:00:00,0.21150000,0.21220000,0.21100000,0.21180000,205855.67000000
2020-12-12 23:00:00,0.21180000,0.21290000,0.21150000,0.21200000,385599.74000000
2020-12-13 00:00:00,0.21220000,0.21220000,0.21020000,0.21100000,479147.52000000
2020-12-13 01:00:00,0.21090000,0.21200000,0.20950000,0.21020000,309574.59000000
2020-12-13 02:00:00,0.21030000,0.21070000,0.21000000,0.21020000,139663.09000000
2020-12-13 03:00:00,0.21000000,0.21010000,0.20690000,0.20790000,1627952.89000000
2020-12-13 04:00:00,0.20800000,0.20840000,0.20790000,0.20810000,215629.47000000
2020-12-13 05:00:00,0.20810000,0.20930000,0.20800000,0.20850000,202100.83000000
2020-12-13 06:00:00,0.20850000,0.20930000,0.20850000,0.20880000,151616.22000000
2020-12-13 07:00:00,0.20890000,0.21010000,0.20880000,0.21010000,434724.16000000
2020-12-13 08:00:00,0.21010000,0.21190000,0.20990000,0.21160000,400613.90000000
2020-12-13 09:00:00,0.21200000,0.21310000,0.21160000,0.21300000,594127.26000000
2020-12-13 10:00:00,0.21300000,0.21350000,0.21200000,0.21340000,333551.64000000
2020-12-13 11:00:00,0.21350000,0.21480000,0.21350000,0.21440000,542887.85000000
2020-12-13 12:00:00,0.21430000,0.21510000,0.21290000,0.21490000,526742.46000000
2020-12-13 13:00:00,0.21500000,0.21540000,0.21380000,0.21450000,682946.00000000
2020-12-13 14:00:00,0.21460000,0.21570000,0.21400000,0.21450000,359829.34000000
2020-12-13 15:00:00,0.21450000,0.21540000,0.21370000,0.21540000,374690.14000000
2020-12-13 16:00:00,0.21540000,0.21560000,0.21280000,0.21410000,426508.17000000
2020-12-13 17:00:00,0.21420000,0.21920000,0.21420000,0.21780000,1195475.46000000
2020-12-13 18:00:00,0.21800000,0.21810000,0.21590000,0.21640000,556176.18000000
2020-12-13 19:00:00,0.21630000,0.21640000,0.21540000,0.21600000,135794.16000000
2020-12-13 20:00:00,0.21610000,0.21730000,0.21600000,0.21630000,342943.40000000
2020-12-13 21:00:00,0.21630000,0.21670000,0.21440000,0.21550000,283301.70000000
2020-12-13 22:00:00,0.21530000,0.21580000,0.21450000,0.21530000,221196.33000000
2020-12-13 23:00:00,0.21550000,0.21550000,0.21080000,0.21300000,1559166.32000000
2020-12-14 00:00:00,0.21290000,0.21390000,0.21210000,0.21310000,307835.67000000
2020-12-14 01:00:00,0.21320000,0.21390000,0.21160000,0.21270000,492735.84000000
2020-12-14 02:00:00,0.21260000,0.21350000,0.21220000,0.21250000,187651.69000000
2020-12-14 03:00:00,0.21250000,0.21430000,0.21210000,0.21430000,183236.10000000
2020-12-14 04:00:00,0.21430000,0.21570000,0.21390000,0.21500000,344705.69000000
2020-12-14 05:00:00,0.21520000,0.21610000,0.21370000,0.21560000,503598.31000000
2020-12-14 06:00:00,0.21540000,0.21560000,0.21350000,0.21470000,237964.95000000
2020-12-14 07:00:00,0.21450000,0.21620000,0.21410000,0.21590000,383902.70000000
2020-12-14 08:00:00,0.21590000,0.21680000,0.21440000,0.21670000,309015.84000000
2020-12-14 09:00:00,0.21660000,0.21670000,0.21520000,0.21560000,223917.38000000
2020-12-14 10:00:00,0.21600000,0.21610000,0.21400000,0.21490000,376067.88000000
2020-12-14 11:00:00,0.21490000,0.21650000,0.21190000,0.21190000,952990.04000000
2020-12-14 12:00:00,0.21210000,0.21280000,0.21030000,0.21240000,511225.93000000
2020-12-14 13:00:00,0.21250000,0.21350000,0.21120000,0.21200000,322427.54000000
2020-12-14 14:00:00,0.21210000,0.21310000,0.21060000,0.21310000,218603.26000000
2020-12-14 15:00:00,0.21320000,0.21460000,0.21230000,0.21460000,312775.00000000
2020-12-14 16:00:00,0.21460000,0.21660000,0.21460000,0.21540000,335972.04000000
2020-12-14 17:00:00,0.21570000,0.21630000,0.21490000,0.21510000,506753.02000000
2020-12-14 18:00:00,0.21500000,0.21560000,0.21370000,0.21410000,534416.06000000
2020-12-14 19:00:00,0.21440000,0.21620000,0.21440000,0.21620000,225273.49000000
2020-12-14 20:00:00,0.21570000,0.21980000,0.21550000,0.21820000,859123.77000000
2020-12-14 21:00:00,0.21820000,0.21820000,0.21660000,0.21770000,198242.55000000
2020-12-14 22:00:00,0.21780000,0.21920000,0.21770000,0.21810000,345333.16000000
2020-12-14 23:00:00,0.21820000,0.21950000,0.21810000,0.21900000,434243.19000000
2020-12-15 00:00:00,0.21920000,0.21920000,0.21770000,0.21810000,413932.78000000
2020-12-15 01:00:00,0.21830000,0.21920000,0.21790000,0.21890000,225373.30000000
2020-12-15 02:00:00,0.21910000,0.22000000,0.21870000,0.21950000,355426.84000000
2020-12-15 03:00:00,0.21930000,0.22240000,0.21880000,0.22140000,1405715.27000000
2020-12-15 04:00:00,0.22130000,0.22130000,0.21890000,0.21900000,834658.66000000
2020-12-15 05:00:00,0.21910000,0.21910000,0.21530000,0.21610000,714449.23000000
2020-12-15 06:00:00,0.21600000,0.21690000,0.21330000,0.21460000,1088127.43000000
2020-12-15 07:00:00,0.21490000,0.21580000,0.21470000,0.21580000,223734.69000000
2020-12-15 08:00:00,0.21580000,0.21600000,0.21490000,0.21580000,174215.82000000
2020-12-15 09:00:00,0.21580000,0.21600000,0.21500000,0.21530000,190677.09000000
2020-12-15 10:00:00,0.21520000,0.21570000,0.21330000,0.21450000,538974.74000000
2020-12-15 11:00:00,0.21450000,0.21800000,0.21370000,0.21780000,537343.18000000
2020-12-15 12:00:00,0.21790000,0.21830000,0.21690000,0.21750000,301085.19000000
2020-12-15 13:00:00,0.21750000,0.21850000,0.21720000,0.21730000,279900.26000000
2020-12-15 14:00:00,0.21750000,0.22020000,0.21730000,0.21910000,503578.45000000
2020-12-15 15:00:00,0.21890000,0.21960000,0.21760000,0.21790000,327681.52000000
2020-12-15 16:00:00,0.21770000,0.21850000,0.21770000,0.21810000,343070.81000000
2020-12-15 17:00:00,0.21800000,0.21910000,0.21770000,0.21770000,254972.43000000
2020-12-15 18:00:00,0.21790000,0.21850000,0.21780000,0.21850000,138319.75000000
2020-12-15 19:00:00,0.21820000,0.21970000,0.21810000,0.21900000,229436.09000000
2020-12-15 20:00:00,0.21900000,0.21910000,0.21840000,0.21890000,133053.71000000
2020-12-15 21:00:00,0.21870000,0.22120000,0.21820000,0.22090000,657077.55000000
2020-12-15 22:00:00,0.22100000,0.22130000,0.21770000,0.21810000,669612.52000000
2020-12-15 23:00:00,0.21820000,0.21850000,0.21770000,0.21830000,166695.12000000
2020-12-16 00:00:00,0.21830000,0.21850000,0.21690000,0.21810000,460050.48000000
2020-12-16 01:00:00,0.21840000,0.21850000,0.21650000,0.21770000,717694.99000000
