datetime,o,h,l,c,v
2020-12-12 01:00:00,259.30000000,263.84000000,257.96000000,263.38000000,9041.86694000
2020-12-12 02:00:00,263.54000000,264.90000000,262.75000000,264.02000000,4522.88972000
2020-12-12 03:00:00,263.98000000,266.37000000,263.92000000,264.48000000,5273.78341000
2020-12-12 04:00:00,264.50000000,264.70000000,263.96000000,264.30000000,2308.56353000
2020-12-12 05:00:00,264.32000000,265.47000000,263.61000000,265.30000000,3650.47282000
2020-12-12 06:00:00,265.25000000,268.21000000,265.12000000,266.97000000,6827.74597000
2020-12-12 07:00:00,266.98000000,267.52000000,266.43000000,267.48000000,6481.65507000
2020-12-12 08:00:00,267.49000000,268.07000000,266.97000000,267.65000000,2771.46169000
2020-12-12 09:00:00,267.59000000,269.01000000,265.86000000,266.81000000,6714.53631000
2020-12-12 10:00:00,266.80000000,267.58000000,265.71000000,266.35000000,8132.00023000
2020-12-12 11:00:00,266.35000000,267.05000000,265.39000000,265.72000000,2904.86579000
2020-12-12 12:00:00,265.83000000,268.21000000,265.47000000,267.55000000,3532.39650000
2020-12-12 13:00:00,267.62000000,267.77000000,265.46000000,266.08000000,8267.33411000
2020-12-12 14:00:00,266.11000000,266.14000000,264.92000000,265.36000000,3629.77784000
2020-12-12 15:00:00,265.31000000,266.30000000,263.54000000,265.52000000,6599.61206000
2020-12-12 16:00:00,265.53000000,265.94000000,264.36000000,265.31000000,3576.55605000
2020-12-12 17:00:00,265.34000000,266.72000000,264.78000000,265.85000000,2159.98587000
2020-12-12 18:00:00,265.85000000,267.37000000,264.92000000,267.04000000,2149.20740000
2020-12-12 19:00:00,267.07000000,268.68000000,266.70000000,267.68000000,3670.78160000
2020-12-12 20:00:00,267.69000000,268.79000000,267.14000000,268.61000000,3134.61338000
2020-12-12 21:00:00,268.80000000,268.93000000,267.60000000,267.90000000,2535.19490000
2020-12-12 22:00:00,267.96000000,268.94000000,267.79000000,267.97000000,2719.57649000
2020-12-12 23:00:00,267.97000000,269.73000000,267.77000000,268.96000000,1600.50113000
2020-12-13 00:00:00,268.97000000,269.26000000,267.16000000,267.89000000,1886.08440000
2020-12-13 01:00:00,267.74000000,269.27000000,266.57000000,266.89000000,2457.96081000
2020-12-13 02:00:00,266.95000000,268.12000000,266.57000000,267.37000000,1882.90506000
2020-12-13 03:00:00,267.31000000,267.85000000,266.70000000,267.54000000,1281.30411000
2020-12-13 04:00:00,267.62000000,267.62000000,266.00000000,266.14000000,2057.17296000
2020-12-13 05:00:00,266.19000000,267.33000000,265.70000000,266.63000000,1632.51807000
2020-12-13 06:00:00,266.65000000,267.78000000,266.55000000,267.29000000,2239.79749000
2020-12-13 07:00:00,267.30000000,271.14000000,267.30000000,270.99000000,5619.09498000
2020-12-13 08:00:00,270.98000000,273.75000000,270.25000000,273.30000000,11110.10691000
2020-12-13 09:00:00,273.43000000,274.67000000,272.49000000,274.06000000,7943.82191000
2020-12-13 10:00:00,274.17000000,275.85000000,272.95000000,275.74000000,3836.16495000
2020-12-13 11:00:00,275.81000000,277.50000000,274.90000000,275.19000000,6473.81180000
2020-12-13 12:00:00,275.18000000,276.29000000,274.83000000,275.93000000,4815.51774000
2020-12-13 13:00:00,276.00000000,277.95000000,275.62000000,277.08000000,6202.85071000
2020-12-13 14:00:00,277.16000000,278.03000000,276.10000000,276.38000000,4450.36957000
2020-12-13 15:00:00,276.38000000,276.73000000,275.02000000,275.45000000,4167.30542000
2020-12-13 16:00:00,275.43000000,276.08000000,272.64000000,274.39000000,7959.08300000
2020-12-13 17:00:00,274.43000000,282.60000000,274.41000000,280.66000000,18957.89544000
2020-12-13 18:00:00,280.64000000,280.76000000,278.91000000,279.59000000,4500.15220000
2020-12-13 19:00:00,279.50000000,279.54000000,277.85000000,278.42000000,2911.84990000
2020-12-13 20:00:00,278.42000000,278.75000000,276.90000000,277.25000000,2851.62759000
2020-12-13 21:00:00,277.17000000,277.49000000,275.90000000,277.01000000,3177.75264000
2020-12-13 22:00:00,277.01000000,278.02000000,276.87000000,277.10000000,1953.69313000
