datetime,o,h,l,c,v
2020-12-12 01:00:00,1.00010000,1.00010000,0.99990000,0.99990000,11210011.47000000
2020-12-12 02:00:00,1.00000000,1.00000000,0.99980000,0.99980000,4659095.70000000
2020-12-12 03:00:00,0.99980000,0.99990000,0.99980000,0.99980000,2669920.85000000
2020-12-12 04:00:00,0.99980000,0.99990000,0.99980000,0.99980000,2783260.76000000
2020-12-12 05:00:00,0.99980000,0.99990000,0.99980000,0.99990000,3005830.33000000
2020-12-12 06:00:00,0.99990000,0.99990000,0.99980000,0.99980000,2521146.44000000
2020-12-12 07:00:00,0.99980000,0.99990000,0.99980000,0.99990000,2271322.43000000
2020-12-12 08:00:00,0.99990000,0.99990000,0.99980000,0.99980000,3762238.17000000
2020-12-12 09:00:00,0.99980000,0.99990000,0.99980000,0.99980000,3822817.55000000
2020-12-12 10:00:00,0.99990000,1.00000000,0.99980000,1.00000000,5301372.77000000
2020-12-12 11:00:00,1.00000000,1.00000000,0.99990000,0.99990000,3509225.27000000
2020-12-12 12:00:00,0.99990000,1.00000000,0.99990000,1.00000000,2841161.34000000
2020-12-12 13:00:00,1.00000000,1.00000000,0.99990000,1.00000000,2982050.55000000
2020-12-12 14:00:00,0.99990000,1.00000000,0.99990000,0.99990000,3159353.28000000
2020-12-12 15:00:00,0.99990000,1.00000000,0.99970000,0.99970000,6086286.85000000
2020-12-12 16:00:00,0.99980000,0.99980000,0.99970000,0.99970000,3766544.06000000
2020-12-12 17:00:00,0.99970000,0.99980000,0.99970000,0.99980000,4152528.19000000
2020-12-12 18:00:00,0.99980000,0.99980000,0.99970000,0.99970000,2814012.55000000
2020-12-12 19:00:00,0.99970000,0.99980000,0.99970000,0.99980000,4786719.87000000
2020-12-12 20:00:00,0.99980000,0.99980000,0.99970000,0.99980000,4154397.68000000
2020-12-12 21:00:00,0.99980000,0.99980000,0.99970000,0.99970000,2752895.47000000
2020-12-12 22:00:00,0.99970000,0.99980000,0.99970000,0.99970000,3640182.22000000
2020-12-12 23:00:00,0.99970000,0.99980000,0.99950000,0.99950000,3970716.66000000
2020-12-13 00:00:00,0.99960000,0.99960000,0.99950000,0.99950000,3391877.64000000
2020-12-13 01:00:00,0.99960000,0.99960000,0.99950000,0.99950000,3878971.97000000
2020-12-13 02:00:00,0.99950000,0.99960000,0.99950000,0.99960000,2361809.09000000
2020-12-13 03:00:00,0.99950000,0.99960000,0.99950000,0.99960000,2944048.98000000
2020-12-13 04:00:00,0.99960000,0.99960000,0.99950000,0.99960000,2969077.52000000
2020-12-13 05:00:00,0.99960000,0.99960000,0.99950000,0.99960000,2640479.45000000
2020-12-13 06:00:00,0.99950000,0.99960000,0.99950000,0.99960000,3254839.83000000
2020-12-13 07:00:00,0.99950000,0.99960000,0.99950000,0.99950000,4502197.85000000
2020-12-13 08:00:00,0.99950000,0.99960000,0.99950000,0.99960000,11121768.86000000
2020-12-13 09:00:00,0.99960000,0.99970000,0.99950000,0.99970000,7689302.75000000
2020-12-13 10:00:00,0.99960000,0.99980000,0.99960000,0.99970000,4667546.16000000
2020-12-13 11:00:00,0.99980000,0.99990000,0.99970000,0.99980000,5588138.31000000
2020-12-13 12:00:00,0.99990000,0.99990000,0.99980000,0.99990000,5090272.55000000
2020-12-13 13:00:00,0.99990000,0.99990000,0.99980000,0.99980000,6201261.27000000
2020-12-13 14:00:00,0.99990000,0.99990000,0.99970000,0.99980000,5298133.58000000
2020-12-13 15:00:00,0.99970000,0.99980000,0.99970000,0.99980000,4017109.46000000
2020-12-13 16:00:00,0.99980000,0.99990000,0.99970000,0.99990000,5623711.10000000
2020-12-13 17:00:00,0.99980000,1.00000000,0.99980000,1.00000000,7881097.32000000
2020-12-13 18:00:00,0.99990000,1.00010000,0.99990000,1.00000000,4241580.83000000
2020-12-13 19:00:00,1.00000000,1.00020000,1.00000000,1.00020000,3129928.18000000
2020-12-13 20:00:00,1.00010000,1.00030000,1.00010000,1.00020000,3436898.94000000
2020-12-13 21:00:00,1.00030000,1.00030000,1.00020000,1.00030000,3484445.03000000
2020-12-13 22:00:00,1.00020000,1.00030000,1.00020000,1.00020000,2725842.70000000
2020-12-13 23:00:00,1.00020000,1.00030000,1.00020000,1.00020000,4786906.32000000
2020-12-14 00:00:00,1.00030000,1.00030000,1.00020000,1.00030000,2724707.67000000
2020-12-14 01:00:00,1.00030000,1.00030000,1.00010000,1.00020000,3562069.78000000
2020-12-14 02:00:00,1.00010000,1.00020000,1.00010000,1.00010000,2891275.10000000
2020-12-14 03:00:00,1.00010000,1.00020000,1.00010000,1.00010000,4014103.11000000
2020-12-14 04:00:00,1.00020000,1.00020000,0.99980000,0.99990000,3830418.07000000
2020-12-14 05:00:00,0.99980000,1.00000000,0.99980000,0.99990000,4547608.18000000
2020-12-14 06:00:00,0.99990000,1.00010000,0.99990000,1.00000000,2951977.89000000
2020-12-14 07:00:00,1.00010000,1.00010000,1.00000000,1.00000000,3928574.60000000
2020-12-14 08:00:00,1.00000000,1.00010000,1.00000000,1.00010000,2295747.21000000
2020-12-14 09:00:00,1.00010000,1.00010000,1.00000000,1.00010000,2956203.45000000
2020-12-14 10:00:00,1.00010000,1.00010000,1.00000000,1.00000000,3379779.49000000
2020-12-14 11:00:00,1.00010000,1.00010000,1.00000000,1.00000000,4004377.76000000
2020-12-14 12:00:00,1.00000000,1.00020000,1.00000000,1.00010000,4966822.89000000
2020-12-14 13:00:00,1.00010000,1.00030000,1.00010000,1.00030000,4230748.39000000
2020-12-14 14:00:00,1.00030000,1.00030000,1.00020000,1.00030000,3994042.18000000
2020-12-14 15:00:00,1.00020000,1.00030000,1.00020000,1.00020000,3656183.52000000
2020-12-14 16:00:00,1.00030000,1.00030000,1.00020000,1.00020000,6699642.22000000
2020-12-14 17:00:00,1.00030000,1.00030000,1.00020000,1.00020000,3654167.36000000
2020-12-14 18:00:00,1.00030000,1.00030000,1.00010000,1.00020000,3606241.96000000
2020-12-14 19:00:00,1.00020000,1.00040000,1.00010000,1.00030000,4497864.32000000
2020-12-14 20:00:00,1.00030000,1.00040000,1.00030000,1.00030000,3393064.76000000
2020-12-14 21:00:00,1.00030000,1.00040000,1.00030000,1.00030000,2764592.47000000
2020-12-14 22:00:00,1.00030000,1.00040000,1.00020000,1.00020000,3695943.50000000
2020-12-14 23:00:00,1.00020000,1.00030000,1.00020000,1.00020000,3484264.16000000
2020-12-15 00:00:00,1.00030000,1.00030000,1.00010000,1.00010000,4382437.09000000
2020-12-15 01:00:00,1.00010000,1.00020000,1.00000000,1.00000000,6391815.25000000
2020-12-15 02:00:00,1.00010000,1.00010000,1.00000000,1.00000000,3874439.41000000
2020-12-15 03:00:00,1.00000000,1.00030000,1.00000000,1.00020000,9829506.00000000
2020-12-15 04:00:00,1.00030000,1.00030000,1.00010000,1.00020000,4095566.81000000
2020-12-15 05:00:00,1.00020000,1.00020000,1.00010000,1.00010000,4566150.70000000
2020-12-15 06:00:00,1.00020000,1.00030000,1.00010000,1.00020000,6142523.95000000
2020-12-15 07:00:00,1.00020000,1.00030000,1.00020000,1.00020000,3693933.90000000
2020-12-15 08:00:00,1.00030000,1.00030000,1.00010000,1.00010000,3848413.51000000
2020-12-15 09:00:00,1.00010000,1.00020000,1.00000000,1.00000000,5007761.29000000
2020-12-15 10:00:00,1.00010000,1.00020000,1.00000000,1.00010000,6336263.60000000
2020-12-15 11:00:00,1.00010000,1.00020000,0.99990000,0.99990000,7728116.28000000
2020-12-15 12:00:00,1.00000000,1.00000000,0.99990000,1.00000000,4889909.28000000
2020-12-15 13:00:00,0.99990000,1.00000000,0.99990000,0.99990000,4520276.97000000
2020-12-15 14:00:00,0.99990000,1.00000000,0.99990000,1.00000000,4638678.33000000
2020-12-15 15:00:00,1.00000000,1.00010000,0.99990000,1.00000000,5460944.51000000
2020-12-15 16:00:00,1.00000000,1.00010000,1.00000000,1.00000000,5964628.57000000
2020-12-15 17:00:00,1.00000000,1.00010000,0.99980000,0.99990000,5215736.19000000
2020-12-15 18:00:00,0.99980000,0.99990000,0.99980000,0.99990000,4791148.05000000
2020-12-15 19:00:00,0.99980000,1.00000000,0.99980000,0.99990000,4911860.00000000
2020-12-15 20:00:00,0.99990000,1.00000000,0.99990000,1.00000000,3683354.44000000
2020-12-15 21:00:00,1.00000000,1.00000000,0.99990000,1.00000000,2743466.71000000
2020-12-15 22:00:00,1.00000000,1.00000000,0.99980000,0.99990000,7004591.69000000
2020-12-15 23:00:00,0.99980000,0.99990000,0.99980000,0.99990000,2056436.60000000
2020-12-16 00:00:00,0.99980000,0.99990000,0.99980000,0.99980000,3852463.68000000
2020-12-16 01:00:00,0.99980000,0.99990000,0.99970000,0.99980000,4731460.56000000
2020-12-16 02:00:00,0.99970000,0.99980000,0.99970000,0.99980000,3100920.38000000
2020-12-16 03:00:00,0.99970000,0.99980000,0.99970000,0.99970000,4048619.41000000
2020-12-16 04:00:00,0.99970000,0.99980000,0.99970000,0.99970000,3572787.59000000
2020-12-16 05:00:00,0.99970000,0.99980000,0.99970000,0.99970000,2578344.34000000
2020-12-16 06:00:00,0.99970000,0.99980000,0.99970000,0.99980000,2951918.30000000
2020-12-16 07:00:00,0.99970000,0.99980000,0.99970000,0.99970000,2498703.44000000
2020-12-16 08:00:00,0.99970000,0.99980000,0.99970000,0.99980000,4916160.87000000
2020-12-16 09:00:00,0.99980000,0.99980000,0.99970000,0.99980000,3810264.71000000
2020-12-16 10:00:00,0.99980000,0.99990000,0.99970000,0.99990000,4242995.09000000
2020-12-16 11:00:00,0.99980000,0.99990000,0.99970000,0.99980000,10095649.25000000
2020-12-16 12:00:00,0.99980000,0.99990000,0.99970000,0.99990000,10224736.37000000
2020-12-16 13:00:00,0.99990000,0.99990000,0.99970000,0.99970000,9168394.30000000
2020-12-16 14:00:00,0.99970000,0.99990000,0.99970000,0.99970000,15638113.23000000
