datetime,o,h,l,c,v
2020-12-12 01:00:00,0.02577000,0.02682000,0.02570000,0.02682000,674581.00000000
2020-12-12 02:00:00,0.02671000,0.02683000,0.02657000,0.02660000,248248.10000000
2020-12-12 03:00:00,0.02661000,0.02699000,0.02657000,0.02685000,208015.70000000
2020-12-12 04:00:00,0.02680000,0.02700000,0.02670000,0.02690000,487649.70000000
2020-12-12 05:00:00,0.02692000,0.02710000,0.02679000,0.02702000,451008.30000000
2020-12-12 06:00:00,0.02701000,0.02701000,0.02655000,0.02655000,506236.20000000
2020-12-12 07:00:00,0.02661000,0.02671000,0.02651000,0.02671000,268844.20000000
2020-12-12 08:00:00,0.02663000,0.02730000,0.02663000,0.02711000,211307.70000000
2020-12-12 09:00:00,0.02710000,0.02714000,0.02673000,0.02698000,479774.40000000
2020-12-12 10:00:00,0.02699000,0.02711000,0.02689000,0.02698000,162019.40000000
2020-12-12 11:00:00,0.02696000,0.02700000,0.02682000,0.02696000,156355.90000000
2020-12-12 12:00:00,0.02694000,0.02716000,0.02688000,0.02716000,198763.10000000
2020-12-12 13:00:00,0.02715000,0.02723000,0.02706000,0.02712000,127150.60000000
2020-12-12 14:00:00,0.02711000,0.02734000,0.02703000,0.02715000,417228.80000000
2020-12-12 15:00:00,0.02715000,0.02715000,0.02675000,0.02684000,669987.00000000
2020-12-12 16:00:00,0.02675000,0.02682000,0.02654000,0.02669000,628028.90000000
2020-12-12 17:00:00,0.02658000,0.02664000,0.02633000,0.02658000,525439.80000000
2020-12-12 18:00:00,0.02660000,0.02676000,0.02650000,0.02666000,70370.30000000
2020-12-12 19:00:00,0.02675000,0.02719000,0.02675000,0.02694000,894981.80000000
2020-12-12 20:00:00,0.02704000,0.02738000,0.02704000,0.02726000,233575.60000000
2020-12-12 21:00:00,0.02727000,0.02730000,0.02700000,0.02709000,140581.50000000
2020-12-12 22:00:00,0.02703000,0.02725000,0.02696000,0.02705000,324855.70000000
2020-12-12 23:00:00,0.02704000,0.02741000,0.02698000,0.02722000,217847.70000000
2020-12-13 00:00:00,0.02730000,0.02730000,0.02667000,0.02672000,1557329.00000000
2020-12-13 01:00:00,0.02673000,0.02685000,0.02630000,0.02653000,1128936.60000000
2020-12-13 02:00:00,0.02644000,0.02668000,0.02636000,0.02646000,298733.30000000
2020-12-13 03:00:00,0.02649000,0.02655000,0.02631000,0.02632000,289278.80000000
2020-12-13 04:00:00,0.02633000,0.02634000,0.02604000,0.02612000,245240.00000000
2020-12-13 05:00:00,0.02615000,0.02635000,0.02615000,0.02623000,200011.80000000
2020-12-13 06:00:00,0.02632000,0.02635000,0.02618000,0.02629000,158434.40000000
2020-12-13 07:00:00,0.02629000,0.02667000,0.02626000,0.02657000,624844.40000000
2020-12-13 08:00:00,0.02655000,0.02691000,0.02655000,0.02690000,284452.80000000
2020-12-13 09:00:00,0.02690000,0.02707000,0.02688000,0.02707000,545222.10000000
2020-12-13 10:00:00,0.02697000,0.02742000,0.02697000,0.02740000,639340.10000000
2020-12-13 11:00:00,0.02731000,0.02747000,0.02715000,0.02726000,516717.70000000
2020-12-13 12:00:00,0.02725000,0.02725000,0.02695000,0.02714000,401136.90000000
2020-12-13 13:00:00,0.02712000,0.02717000,0.02707000,0.02712000,106848.20000000
2020-12-13 14:00:00,0.02715000,0.02723000,0.02689000,0.02705000,543922.30000000
2020-12-13 15:00:00,0.02701000,0.02708000,0.02688000,0.02701000,494999.60000000
2020-12-13 16:00:00,0.02690000,0.02709000,0.02685000,0.02685000,548539.00000000
2020-12-13 17:00:00,0.02695000,0.02730000,0.02695000,0.02724000,553852.90000000
2020-12-13 18:00:00,0.02732000,0.02763000,0.02721000,0.02736000,686380.20000000
2020-12-13 19:00:00,0.02736000,0.02745000,0.02725000,0.02745000,299504.40000000
2020-12-13 20:00:00,0.02736000,0.02758000,0.02728000,0.02731000,292360.90000000
2020-12-13 21:00:00,0.02731000,0.02736000,0.02710000,0.02727000,124562.60000000
2020-12-13 22:00:00,0.02726000,0.02726000,0.02689000,0.02706000,546967.90000000
2020-12-13 23:00:00,0.02706000,0.02712000,0.02666000,0.02678000,273557.20000000
2020-12-14 00:00:00,0.02681000,0.02696000,0.02678000,0.02684000,131235.10000000
2020-12-14 01:00:00,0.02678000,0.02686000,0.02658000,0.02671000,319439.10000000
2020-12-14 02:00:00,0.02662000,0.02680000,0.02647000,0.02650000,295515.60000000
2020-12-14 03:00:00,0.02656000,0.02684000,0.02647000,0.02668000,492090.20000000
2020-12-14 04:00:00,0.02668000,0.02684000,0.02659000,0.02666000,124451.10000000
2020-12-14 05:00:00,0.02665000,0.02669000,0.02643000,0.02643000,175285.30000000
2020-12-14 06:00:00,0.02646000,0.02670000,0.02640000,0.02670000,348031.50000000
2020-12-14 07:00:00,0.02665000,0.02669000,0.02645000,0.02664000,166797.90000000
2020-12-14 08:00:00,0.02659000,0.02669000,0.02646000,0.02668000,194504.50000000
2020-12-14 09:00:00,0.02658000,0.02665000,0.02641000,0.02657000,443680.90000000
2020-12-14 10:00:00,0.02661000,0.02677000,0.02660000,0.02676000,147341.70000000
2020-12-14 11:00:00,0.02670000,0.02715000,0.02670000,0.02679000,630198.80000000
2020-12-14 12:00:00,0.02688000,0.02691000,0.02629000,0.02657000,1594289.90000000
2020-12-14 13:00:00,0.02652000,0.02657000,0.02614000,0.02638000,840916.70000000
2020-12-14 14:00:00,0.02649000,0.02652000,0.02624000,0.02650000,901978.70000000
2020-12-14 15:00:00,0.02647000,0.02652000,0.02632000,0.02652000,123619.80000000
2020-12-14 16:00:00,0.02652000,0.02673000,0.02638000,0.02661000,315290.30000000
2020-12-14 17:00:00,0.02669000,0.02670000,0.02652000,0.02658000,170322.50000000
2020-12-14 18:00:00,0.02661000,0.02661000,0.02630000,0.02657000,626118.10000000
2020-12-14 19:00:00,0.02660000,0.02749000,0.02660000,0.02682000,1924200.20000000
2020-12-14 20:00:00,0.02682000,0.02690000,0.02668000,0.02679000,377809.50000000
2020-12-14 21:00:00,0.02679000,0.02685000,0.02660000,0.02685000,196372.70000000
2020-12-14 22:00:00,0.02681000,0.02690000,0.02675000,0.02684000,134935.80000000
2020-12-14 23:00:00,0.02681000,0.02714000,0.02664000,0.02700000,313446.10000000
2020-12-15 00:00:00,0.02700000,0.02714000,0.02697000,0.02713000,66973.20000000
2020-12-15 01:00:00,0.02711000,0.02714000,0.02684000,0.02703000,378911.70000000
2020-12-15 02:00:00,0.02709000,0.02725000,0.02702000,0.02725000,112856.70000000
2020-12-15 03:00:00,0.02725000,0.02767000,0.02713000,0.02730000,1157523.90000000
2020-12-15 04:00:00,0.02728000,0.02728000,0.02709000,0.02712000,133924.00000000
2020-12-15 05:00:00,0.02712000,0.02723000,0.02680000,0.02680000,317334.60000000
2020-12-15 06:00:00,0.02679000,0.02686000,0.02653000,0.02659000,290600.70000000
2020-12-15 07:00:00,0.02668000,0.02680000,0.02656000,0.02663000,116853.20000000
2020-12-15 08:00:00,0.02669000,0.02693000,0.02652000,0.02677000,467227.30000000
2020-12-15 09:00:00,0.02680000,0.02688000,0.02672000,0.02680000,82538.60000000
2020-12-15 10:00:00,0.02677000,0.02695000,0.02669000,0.02695000,290852.80000000
2020-12-15 11:00:00,0.02695000,0.02739000,0.02687000,0.02725000,586995.30000000
2020-12-15 12:00:00,0.02725000,0.02773000,0.02719000,0.02746000,827003.40000000
2020-12-15 13:00:00,0.02752000,0.02794000,0.02745000,0.02749000,660759.00000000
2020-12-15 14:00:00,0.02746000,0.02800000,0.02728000,0.02785000,1199987.40000000
2020-12-15 15:00:00,0.02793000,0.02810000,0.02728000,0.02747000,1268806.30000000
2020-12-15 16:00:00,0.02747000,0.02747000,0.02730000,0.02737000,554053.40000000
2020-12-15 17:00:00,0.02737000,0.02761000,0.02716000,0.02743000,948252.30000000
2020-12-15 18:00:00,0.02742000,0.02774000,0.02732000,0.02742000,563354.70000000
2020-12-15 19:00:00,0.02734000,0.02743000,0.02710000,0.02714000,591483.20000000
2020-12-15 20:00:00,0.02714000,0.02733000,0.02698000,0.02721000,439500.60000000
2020-12-15 21:00:00,0.02727000,0.02729000,0.02700000,0.02700000,488861.50000000
2020-12-15 22:00:00,0.02700000,0.02711000,0.02673000,0.02693000,534869.80000000
2020-12-15 23:00:00,0.02696000,0.02708000,0.02678000,0.02688000,230140.10000000
2020-12-16 00:00:00,0.02687000,0.02689000,0.02630000,0.02675000,1992425.10000000
2020-12-16 01:00:00,0.02670000,0.02670000,0.02629000,0.02648000,1244143.50000000
2020-12-16 02:00:00,0.02648000,0.02680000,0.02648000,0.02662000,925752.20000000
2020-12-16 03:00:00,0.02662000,0.02674000,0.02661000,0.02663000,78890.40000000
2020-12-16 04:00:00,0.02663000,0.02708000,0.02657000,0.02696000,994717.70000000
2020-12-16 05:00:00,0.02700000,0.02733000,0.02661000,0.02669000,1280509.80000000
2020-12-16 06:00:00,0.02669000,0.02680000,0.02654000,0.02680000,206941.10000000
2020-12-16 07:00:00,0.02680000,0.02744000,0.02680000,0.02722000,1571004.30000000
2020-12-16 08:00:00,0.02721000,0.02725000,0.02702000,0.02714000,570378.10000000
2020-12-16 09:00:00,0.02710000,0.02743000,0.02699000,0.02728000,994813.90000000
2020-12-16 10:00:00,0.02738000,0.02760000,0.02704000,0.02730000,1390625.50000000
2020-12-16 11:00:00,0.02738000,0.02760000,0.02696000,0.02700000,1326902.20000000
2020-12-16 12:00:00,0.02699000,0.02725000,0.02687000,0.02701000,972195.60000000
2020-12-16 13:00:00,0.02702000,0.02713000,0.02660000,0.02673000,1031041.00000000
2020-12-16 14:00:00,0.02669000,0.02713000,0.02666000,0.02710000,678628.90000000
2020-12-16 15:00:00,0.02710000,0.02749000,0.02647000,0.02711000,3104590.10000000
2020-12-16 16:00:00,0.02708000,0.02740000,0.02701000,0.02704000,1266495.10000000
2020-12-16 17:00:00,0.02713000,0.02777000,0.02706000,0.02728000,2428662.40000000
