datetime,o,h,l,c,v
2020-12-12 01:00:00,0.01238700,0.01261900,0.01219300,0.01254000,6559413.00000000
2020-12-12 02:00:00,0.01253900,0.01264300,0.01248100,0.01256600,3961739.00000000
2020-12-12 03:00:00,0.01256200,0.01256600,0.01250000,0.01253900,1023107.00000000
2020-12-12 04:00:00,0.01252600,0.01253600,0.01250000,0.01250100,1789126.00000000
2020-12-12 05:00:00,0.01252200,0.01257800,0.01241600,0.01246900,2722613.00000000
2020-12-12 06:00:00,0.01247000,0.01286900,0.01241000,0.01250900,5312116.00000000
2020-12-12 07:00:00,0.01252200,0.01259200,0.01245500,0.01250600,1489042.00000000
2020-12-12 08:00:00,0.01249400,0.01265400,0.01244900,0.01253700,1628025.00000000
2020-12-12 09:00:00,0.01255200,0.01255300,0.01241000,0.01247100,1661601.00000000
2020-12-12 10:00:00,0.01249900,0.01250000,0.01241900,0.01244900,706925.00000000
2020-12-12 11:00:00,0.01246400,0.01246500,0.01234700,0.01240300,4008322.00000000
2020-12-12 12:00:00,0.01238100,0.01248400,0.01234800,0.01247800,899841.00000000
2020-12-12 13:00:00,0.01244800,0.01253400,0.01241400,0.01252100,844307.00000000
2020-12-12 14:00:00,0.01252100,0.01252100,0.01240200,0.01246800,943607.00000000
2020-12-12 15:00:00,0.01246800,0.01247000,0.01223600,0.01225800,3369953.00000000
2020-12-12 16:00:00,0.01227900,0.01237400,0.01216500,0.01218000,2614638.00000000
2020-12-12 17:00:00,0.01215700,0.01221200,0.01211700,0.01217100,561274.00000000
2020-12-12 18:00:00,0.01217100,0.01227300,0.01217000,0.01224500,954496.00000000
2020-12-12 19:00:00,0.01228500,0.01235000,0.01226500,0.01229600,549385.00000000
2020-12-12 20:00:00,0.01228700,0.01237100,0.01228600,0.01230600,127759.00000000
2020-12-12 21:00:00,0.01236300,0.01237400,0.01230000,0.01237400,809935.00000000
2020-12-12 22:00:00,0.01237100,0.01238200,0.01229600,0.01230000,872499.00000000
2020-12-12 23:00:00,0.01234400,0.01248600,0.01229800,0.01239300,858096.00000000
2020-12-13 00:00:00,0.01246300,0.01246300,0.01231100,0.01237900,921359.00000000
2020-12-13 01:00:00,0.01240700,0.01241900,0.01224800,0.01228700,811086.00000000
2020-12-13 02:00:00,0.01227700,0.01230000,0.01219400,0.01226300,750912.00000000
2020-12-13 03:00:00,0.01226200,0.01233600,0.01220000,0.01231900,246619.00000000
2020-12-13 04:00:00,0.01230200,0.01232100,0.01230000,0.01232000,165874.00000000
2020-12-13 05:00:00,0.01231900,0.01235200,0.01230200,0.01234900,41010.00000000
2020-12-13 06:00:00,0.01234500,0.01234800,0.01230500,0.01234700,587072.00000000
2020-12-13 07:00:00,0.01234700,0.01248500,0.01231700,0.01248500,1532265.00000000
2020-12-13 08:00:00,0.01242400,0.01254800,0.01241400,0.01250900,2544488.00000000
2020-12-13 09:00:00,0.01254100,0.01259900,0.01247800,0.01259100,1336341.00000000
2020-12-13 10:00:00,0.01259200,0.01260100,0.01247400,0.01251700,2117608.00000000
2020-12-13 11:00:00,0.01257600,0.01257600,0.01246900,0.01249900,1116516.00000000
2020-12-13 12:00:00,0.01250000,0.01251100,0.01238600,0.01245700,806122.00000000
