datetime,o,h,l,c,v
2020-12-12 01:00:00,0.55700000,0.58900000,0.55600000,0.58700000,921940.43900000
2020-12-12 02:00:00,0.58800000,0.58900000,0.57500000,0.57600000,446896.14200000
2020-12-12 03:00:00,0.57600000,0.58500000,0.57600000,0.58300000,359560.26300000
2020-12-12 04:00:00,0.58300000,0.58600000,0.57800000,0.58300000,260792.38700000
2020-12-12 05:00:00,0.58400000,0.58900000,0.58000000,0.58800000,173631.36000000
2020-12-12 06:00:00,0.58800000,0.59300000,0.58200000,0.58200000,429494.04500000
2020-12-12 07:00:00,0.58200000,0.58500000,0.58200000,0.58400000,154612.37200000
2020-12-12 08:00:00,0.58500000,0.59000000,0.58400000,0.58600000,169660.17400000
2020-12-12 09:00:00,0.58700000,0.59000000,0.58000000,0.58200000,280284.67800000
2020-12-12 10:00:00,0.58100000,0.59200000,0.58000000,0.58600000,529447.91200000
2020-12-12 11:00:00,0.58700000,0.59400000,0.58500000,0.58800000,317452.47200000
2020-12-12 12:00:00,0.58800000,0.59600000,0.58600000,0.59200000,556086.14900000
2020-12-12 13:00:00,0.59200000,0.59500000,0.58500000,0.58800000,694351.75700000
2020-12-12 14:00:00,0.58800000,0.58900000,0.58000000,0.58000000,368131.31500000
2020-12-12 15:00:00,0.58000000,0.58200000,0.56900000,0.57400000,569568.63400000
2020-12-12 16:00:00,0.57200000,0.57400000,0.56400000,0.57100000,592651.52600000
2020-12-12 17:00:00,0.57100000,0.57400000,0.56600000,0.56800000,283040.31400000
2020-12-12 18:00:00,0.56800000,0.57500000,0.56100000,0.57300000,1010804.16300000
2020-12-12 19:00:00,0.57300000,0.57800000,0.57000000,0.57700000,490291.92000000
2020-12-12 20:00:00,0.57700000,0.57900000,0.57400000,0.57700000,255126.57600000
2020-12-12 21:00:00,0.57800000,0.58900000,0.57500000,0.58900000,374424.59900000
2020-12-12 22:00:00,0.58800000,0.59200000,0.58500000,0.59200000,409581.45200000
2020-12-12 23:00:00,0.59100000,0.59900000,0.58900000,0.59300000,833313.10500000
2020-12-13 00:00:00,0.59300000,0.59800000,0.59000000,0.59100000,367871.43200000
2020-12-13 01:00:00,0.59200000,0.59700000,0.58400000,0.58600000,409960.00500000
2020-12-13 02:00:00,0.58800000,0.59100000,0.58500000,0.58800000,221628.21000000
2020-12-13 03:00:00,0.58800000,0.58800000,0.57800000,0.58400000,574463.00700000
2020-12-13 04:00:00,0.58400000,0.58500000,0.57600000,0.57800000,261507.92500000
2020-12-13 05:00:00,0.57900000,0.58500000,0.57600000,0.57800000,280274.43500000
2020-12-13 06:00:00,0.57700000,0.58500000,0.57700000,0.58400000,187640.08900000
2020-12-13 07:00:00,0.58400000,0.59700000,0.58200000,0.59700000,636407.92700000
2020-12-13 08:00:00,0.59800000,0.61000000,0.59500000,0.60800000,772034.96100000
2020-12-13 09:00:00,0.60800000,0.62000000,0.60800000,0.61900000,1144538.81600000
2020-12-13 10:00:00,0.61900000,0.62000000,0.61400000,0.61800000,606005.51300000
2020-12-13 11:00:00,0.61900000,0.62700000,0.61900000,0.62600000,513502.27300000
2020-12-13 12:00:00,0.62600000,0.62700000,0.61800000,0.62100000,465166.69800000
2020-12-13 13:00:00,0.62200000,0.62400000,0.61800000,0.62000000,433493.20200000
2020-12-13 14:00:00,0.62200000,0.63000000,0.62000000,0.62200000,483356.87100000
2020-12-13 15:00:00,0.62100000,0.62300000,0.61400000,0.62000000,698137.92600000
2020-12-13 16:00:00,0.62000000,0.62400000,0.60700000,0.61300000,1120691.75900000
2020-12-13 17:00:00,0.61400000,0.63700000,0.61400000,0.63400000,1511172.14400000
2020-12-13 18:00:00,0.63400000,0.63500000,0.62600000,0.62900000,444720.58800000
2020-12-13 19:00:00,0.62900000,0.63000000,0.62300000,0.62300000,252408.32800000
2020-12-13 20:00:00,0.62400000,0.62500000,0.61700000,0.61700000,349329.05000000
2020-12-13 21:00:00,0.61700000,0.62100000,0.61200000,0.61700000,323432.48400000
2020-12-13 22:00:00,0.61700000,0.62400000,0.61600000,0.62200000,270853.34100000
2020-12-13 23:00:00,0.62100000,0.62100000,0.60400000,0.61400000,566360.68800000
2020-12-14 00:00:00,0.61400000,0.61900000,0.61200000,0.61700000,455980.26500000
2020-12-14 01:00:00,0.61600000,0.61800000,0.59900000,0.60300000,474201.81500000
2020-12-14 02:00:00,0.60300000,0.60700000,0.60100000,0.60700000,173823.66700000
2020-12-14 03:00:00,0.60600000,0.62000000,0.60500000,0.61900000,450970.52900000
2020-12-14 04:00:00,0.61800000,0.62700000,0.61800000,0.62300000,523874.64600000
2020-12-14 05:00:00,0.62300000,0.62400000,0.61000000,0.61400000,524935.75600000
2020-12-14 06:00:00,0.61400000,0.61400000,0.60600000,0.60900000,435113.32200000
2020-12-14 07:00:00,0.60800000,0.61600000,0.60700000,0.61200000,447209.45500000
2020-12-14 08:00:00,0.61200000,0.61300000,0.60800000,0.61200000,279927.38100000
2020-12-14 09:00:00,0.61100000,0.61500000,0.61100000,0.61400000,375933.75400000
2020-12-14 10:00:00,0.61400000,0.61900000,0.61200000,0.61500000,497711.53300000
2020-12-14 11:00:00,0.61400000,0.61700000,0.60000000,0.60400000,471943.05900000
2020-12-14 12:00:00,0.60300000,0.60800000,0.59500000,0.59900000,498257.13500000
2020-12-14 13:00:00,0.60000000,0.60400000,0.59500000,0.60200000,335543.77200000
2020-12-14 14:00:00,0.60200000,0.60600000,0.59200000,0.60500000,328906.22900000
2020-12-14 15:00:00,0.60500000,0.60600000,0.59600000,0.60300000,262153.08500000
2020-12-14 16:00:00,0.60300000,0.61600000,0.60300000,0.61100000,877340.42700000
2020-12-14 17:00:00,0.61100000,0.61400000,0.60600000,0.61000000,564892.02500000
2020-12-14 18:00:00,0.61000000,0.62200000,0.60800000,0.62000000,331970.66400000
2020-12-14 19:00:00,0.62100000,0.62500000,0.62000000,0.62300000,528836.23700000
2020-12-14 20:00:00,0.62100000,0.62400000,0.61900000,0.61900000,205859.82200000
2020-12-14 21:00:00,0.61900000,0.62300000,0.61500000,0.62200000,378331.70500000
2020-12-14 22:00:00,0.62300000,0.63200000,0.62100000,0.62900000,651763.92100000
2020-12-14 23:00:00,0.63000000,0.63500000,0.62600000,0.63500000,341437.81900000
2020-12-15 00:00:00,0.63500000,0.64300000,0.62700000,0.63800000,1367079.67200000
2020-12-15 01:00:00,0.63800000,0.64700000,0.63400000,0.64400000,659693.08100000
2020-12-15 02:00:00,0.64300000,0.64600000,0.63700000,0.63800000,437566.26100000
2020-12-15 03:00:00,0.63700000,0.64900000,0.63600000,0.64400000,473193.93500000
2020-12-15 04:00:00,0.64300000,0.67200000,0.64300000,0.66900000,1245420.66900000
2020-12-15 05:00:00,0.66900000,0.66900000,0.64200000,0.64400000,737956.58700000
2020-12-15 06:00:00,0.64400000,0.65000000,0.63000000,0.63600000,858418.85100000
2020-12-15 07:00:00,0.63500000,0.64000000,0.63300000,0.63800000,519013.95400000
2020-12-15 08:00:00,0.63900000,0.64500000,0.63600000,0.64000000,283254.69000000
2020-12-15 09:00:00,0.64000000,0.64200000,0.63400000,0.63800000,359957.68500000
2020-12-15 10:00:00,0.63800000,0.64100000,0.62500000,0.63600000,476186.63800000
2020-12-15 11:00:00,0.63700000,0.64500000,0.62600000,0.64500000,635951.05300000
2020-12-15 12:00:00,0.64400000,0.64400000,0.63100000,0.63600000,461738.37400000
2020-12-15 13:00:00,0.63700000,0.64600000,0.63500000,0.64000000,347005.24500000
2020-12-15 14:00:00,0.64100000,0.64300000,0.63200000,0.63800000,400215.46900000
2020-12-15 15:00:00,0.63800000,0.64100000,0.62900000,0.63000000,620494.16400000
2020-12-15 16:00:00,0.63000000,0.63500000,0.62200000,0.62800000,1773802.94000000
2020-12-15 17:00:00,0.62800000,0.63500000,0.62400000,0.62600000,748847.70800000
2020-12-15 18:00:00,0.62500000,0.63400000,0.62500000,0.63200000,343393.06700000
2020-12-15 19:00:00,0.63100000,0.63700000,0.62900000,0.63200000,615026.51600000
2020-12-15 20:00:00,0.63100000,0.63700000,0.63000000,0.63600000,233455.16000000
2020-12-15 21:00:00,0.63600000,0.63900000,0.63000000,0.63700000,580161.71400000
2020-12-15 22:00:00,0.63700000,0.64200000,0.62400000,0.62900000,706083.76800000
2020-12-15 23:00:00,0.62900000,0.63400000,0.62700000,0.63000000,283357.42300000
2020-12-16 00:00:00,0.63100000,0.63300000,0.62400000,0.62800000,267764.01300000
2020-12-16 01:00:00,0.62900000,0.63000000,0.60900000,0.61200000,824809.71900000
2020-12-16 02:00:00,0.61300000,0.61600000,0.60200000,0.61200000,432131.86300000
2020-12-16 03:00:00,0.61300000,0.61500000,0.61000000,0.61100000,173596.88500000
2020-12-16 04:00:00,0.61100000,0.61200000,0.60200000,0.60900000,294195.63100000
2020-12-16 05:00:00,0.61000000,0.61200000,0.60300000,0.60800000,204371.00100000
2020-12-16 06:00:00,0.60900000,0.61500000,0.60800000,0.61500000,286054.92700000
2020-12-16 07:00:00,0.61400000,0.62400000,0.61200000,0.62300000,569076.53900000
2020-12-16 08:00:00,0.62200000,0.62300000,0.61600000,0.61900000,341299.18700000
2020-12-16 09:00:00,0.61800000,0.62300000,0.61300000,0.62300000,229834.07200000
2020-12-16 10:00:00,0.62300000,0.62400000,0.61600000,0.62100000,392937.53900000
2020-12-16 11:00:00,0.62000000,0.62600000,0.61900000,0.62200000,460410.90300000
2020-12-16 12:00:00,0.62200000,0.62300000,0.61600000,0.61800000,729748.57300000
2020-12-16 13:00:00,0.61800000,0.61800000,0.59700000,0.60200000,956581.96800000
2020-12-16 14:00:00,0.60200000,0.61700000,0.59500000,0.61600000,693271.36000000
2020-12-16 15:00:00,0.61600000,0.63800000,0.61300000,0.63500000,1422278.33000000
2020-12-16 16:00:00,0.63400000,0.64600000,0.63200000,0.64200000,1000004.93100000
2020-12-16 17:00:00,0.64300000,0.65300000,0.63900000,0.64100000,863519.17500000
2020-12-16 18:00:00,0.64200000,0.64700000,0.63000000,0.63700000,848286.99400000
2020-12-16 19:00:00,0.63600000,0.63900000,0.62800000,0.63200000,351188.83300000
2020-12-16 20:00:00,0.63300000,0.64300000,0.63200000,0.63900000,323757.63000000
2020-12-16 21:00:00,0.63900000,0.64600000,0.63900000,0.64300000,450843.95300000
2020-12-16 22:00:00,0.64300000,0.64500000,0.63200000,0.63400000,518968.19500000
2020-12-16 23:00:00,0.63500000,0.64100000,0.63200000,0.63900000,515965.44500000
2020-12-17 00:00:00,0.63800000,0.65200000,0.63500000,0.65100000,444582.08800000
2020-12-17 01:00:00,0.65100000,0.66500000,0.64400000,0.64800000,986478.24500000
2020-12-17 02:00:00,0.64900000,0.65300000,0.64300000,0.64700000,637249.71000000
2020-12-17 03:00:00,0.64600000,0.64800000,0.62900000,0.63000000,1483829.16900000
2020-12-17 04:00:00,0.63000000,0.63400000,0.61400000,0.62300000,1355115.80800000
2020-12-17 05:00:00,0.62300000,0.62900000,0.62200000,0.62500000,477992.86400000
2020-12-17 06:00:00,0.62500000,0.63800000,0.62500000,0.63500000,593268.38900000
2020-12-17 07:00:00,0.63500000,0.63500000,0.62600000,0.62900000,676908.65700000
2020-12-17 08:00:00,0.62900000,0.65000000,0.62700000,0.64400000,639502.87300000
2020-12-17 09:00:00,0.64400000,0.64900000,0.63400000,0.63600000,473645.84000000
2020-12-17 10:00:00,0.63700000,0.63900000,0.62000000,0.63300000,1153991.18900000
2020-12-17 11:00:00,0.63300000,0.66800000,0.63000000,0.66000000,1967410.24000000
2020-12-17 12:00:00,0.65800000,0.67500000,0.65600000,0.66300000,1094806.35200000
2020-12-17 13:00:00,0.66400000,0.66900000,0.65400000,0.66000000,567593.89000000
2020-12-17 14:00:00,0.66000000,0.67200000,0.65500000,0.65900000,745147.94400000
2020-12-17 15:00:00,0.65900000,0.67500000,0.65600000,0.67200000,654145.03900000
2020-12-17 16:00:00,0.67200000,0.68600000,0.67200000,0.67400000,1284731.42000000
2020-12-17 17:00:00,0.67400000,0.68700000,0.67300000,0.67800000,1175326.80400000
2020-12-17 18:00:00,0.67800000,0.67800000,0.64700000,0.64800000,905021.14300000
2020-12-17 19:00:00,0.64800000,0.65800000,0.63500000,0.65200000,1549011.83300000
2020-12-17 20:00:00,0.65100000,0.65700000,0.64300000,0.64800000,895217.38100000
2020-12-17 21:00:00,0.64800000,0.65800000,0.63700000,0.65100000,900190.04500000
2020-12-17 22:00:00,0.65100000,0.65400000,0.64200000,0.65400000,907477.00200000
2020-12-17 23:00:00,0.65300000,0.66500000,0.64800000,0.65900000,460394.43300000
2020-12-18 00:00:00,0.65900000,0.66200000,0.64900000,0.65500000,405534.82900000
2020-12-18 01:00:00,0.65500000,0.65500000,0.63600000,0.64100000,653367.72900000
2020-12-18 02:00:00,0.64200000,0.64800000,0.63300000,0.64800000,511803.96200000
2020-12-18 03:00:00,0.64700000,0.65400000,0.64400000,0.64900000,738836.13200000
2020-12-18 04:00:00,0.64800000,0.65200000,0.64100000,0.64300000,331391.10800000
2020-12-18 05:00:00,0.64300000,0.64500000,0.63600000,0.64000000,159959.22000000
2020-12-18 06:00:00,0.63900000,0.64500000,0.62600000,0.63500000,1208110.29300000
2020-12-18 07:00:00,0.63500000,0.64000000,0.63300000,0.63900000,427001.38600000
2020-12-18 08:00:00,0.63800000,0.64300000,0.63300000,0.64300000,436158.95400000
2020-12-18 09:00:00,0.64300000,0.65600000,0.64000000,0.65600000,613108.88000000
2020-12-18 10:00:00,0.65600000,0.65600000,0.64600000,0.65300000,846390.10700000
2020-12-18 11:00:00,0.65400000,0.65600000,0.64100000,0.64400000,520052.79300000
2020-12-18 12:00:00,0.64300000,0.64300000,0.63200000,0.63800000,781901.92800000
2020-12-18 13:00:00,0.63800000,0.64300000,0.63400000,0.64000000,322479.17000000
2020-12-18 14:00:00,0.64000000,0.64400000,0.63100000,0.63100000,380118.60700000
2020-12-18 15:00:00,0.63200000,0.63600000,0.62100000,0.62700000,884756.84700000
2020-12-18 16:00:00,0.62700000,0.63100000,0.62300000,0.62700000,581551.82500000
2020-12-18 17:00:00,0.62700000,0.63300000,0.62200000,0.63100000,585942.19600000
2020-12-18 18:00:00,0.63100000,0.63600000,0.63000000,0.63300000,272809.05700000
2020-12-18 19:00:00,0.63400000,0.64000000,0.63300000,0.63800000,308764.91600000
2020-12-18 20:00:00,0.63800000,0.63900000,0.63200000,0.63600000,281986.94900000
2020-12-18 21:00:00,0.63500000,0.63800000,0.63000000,0.63700000,259515.04800000
2020-12-18 22:00:00,0.63700000,0.64600000,0.63700000,0.64200000,390774.52800000
2020-12-18 23:00:00,0.64200000,0.64500000,0.63700000,0.64200000,231929.22500000
2020-12-19 00:00:00,0.64200000,0.64600000,0.64000000,0.64500000,201386.30500000
2020-12-19 01:00:00,0.64400000,0.64700000,0.64200000,0.64300000,230760.56000000
2020-12-19 02:00:00,0.64300000,0.64600000,0.63900000,0.64500000,248717.49700000
2020-12-19 03:00:00,0.64400000,0.66300000,0.64400000,0.65800000,875932.60500000
2020-12-19 04:00:00,0.65900000,0.66700000,0.65600000,0.66000000,513640.47000000
2020-12-19 05:00:00,0.65900000,0.66500000,0.65700000,0.66400000,338886.98200000
2020-12-19 06:00:00,0.66300000,0.66500000,0.65700000,0.65900000,364098.25800000
2020-12-19 07:00:00,0.65900000,0.66300000,0.65700000,0.65700000,199660.32700000
2020-12-19 08:00:00,0.65700000,0.66500000,0.65600000,0.66000000,354840.63500000
2020-12-19 09:00:00,0.66000000,0.67900000,0.65600000,0.67900000,783856.96700000
2020-12-19 10:00:00,0.67800000,0.68600000,0.67400000,0.67900000,923538.84000000
2020-12-19 11:00:00,0.67800000,0.69000000,0.67600000,0.68400000,662893.22200000
2020-12-19 12:00:00,0.68400000,0.70000000,0.68400000,0.68700000,1156189.29600000
2020-12-19 13:00:00,0.68700000,0.69200000,0.67700000,0.68100000,1010431.14500000
2020-12-19 14:00:00,0.68100000,0.68100000,0.67500000,0.68000000,709958.90800000
2020-12-19 15:00:00,0.67900000,0.68600000,0.66700000,0.68600000,1454446.70700000
2020-12-19 16:00:00,0.68600000,0.68700000,0.67500000,0.67700000,532916.56100000
2020-12-19 17:00:00,0.67800000,0.68500000,0.67000000,0.68300000,762524.19900000
2020-12-19 18:00:00,0.68300000,0.69100000,0.68200000,0.68200000,690847.62900000
2020-12-19 19:00:00,0.68200000,0.68600000,0.66500000,0.66800000,661818.31300000
2020-12-19 20:00:00,0.66900000,0.67000000,0.66300000,0.66800000,388595.37100000
2020-12-19 21:00:00,0.66800000,0.67300000,0.66700000,0.67000000,115002.46200000
2020-12-19 22:00:00,0.66900000,0.67100000,0.66400000,0.66600000,283732.37500000
2020-12-19 23:00:00,0.66600000,0.67000000,0.66400000,0.66500000,215550.66000000
2020-12-20 00:00:00,0.66600000,0.66700000,0.65500000,0.66400000,586993.30600000
2020-12-20 01:00:00,0.66500000,0.66500000,0.65500000,0.66000000,477348.11100000
2020-12-20 02:00:00,0.66000000,0.66500000,0.65800000,0.66200000,355976.83700000
2020-12-20 03:00:00,0.66200000,0.66700000,0.65700000,0.65800000,335776.26500000
2020-12-20 04:00:00,0.65900000,0.65900000,0.65100000,0.65300000,312332.73700000
2020-12-20 05:00:00,0.65300000,0.65500000,0.64200000,0.64900000,616535.94000000
2020-12-20 06:00:00,0.64900000,0.65100000,0.64300000,0.64600000,892043.62400000
2020-12-20 07:00:00,0.64600000,0.65600000,0.64300000,0.65300000,230750.88900000
2020-12-20 08:00:00,0.65400000,0.65900000,0.65100000,0.65800000,336251.98800000
2020-12-20 09:00:00,0.65700000,0.66200000,0.65500000,0.66100000,368234.89600000
2020-12-20 10:00:00,0.66100000,0.66400000,0.65500000,0.65700000,270911.52600000
2020-12-20 11:00:00,0.65600000,0.65700000,0.64400000,0.64500000,562517.44600000
2020-12-20 12:00:00,0.64400000,0.64900000,0.64000000,0.64600000,631137.63300000
2020-12-20 13:00:00,0.64500000,0.64600000,0.62900000,0.63300000,871549.99100000
2020-12-20 14:00:00,0.63200000,0.63700000,0.62700000,0.63300000,476331.04200000
2020-12-20 15:00:00,0.63300000,0.63800000,0.63200000,0.63600000,590111.73600000
2020-12-20 16:00:00,0.63600000,0.63900000,0.63300000,0.63600000,372889.26000000
2020-12-20 17:00:00,0.63600000,0.65400000,0.63400000,0.65300000,810782.27200000
2020-12-20 18:00:00,0.65300000,0.65500000,0.64500000,0.64600000,404356.16200000
2020-12-20 19:00:00,0.64600000,0.64900000,0.64400000,0.64700000,614313.19500000
2020-12-20 20:00:00,0.64700000,0.64800000,0.64000000,0.64100000,252544.82500000
2020-12-20 21:00:00,0.64200000,0.65500000,0.64100000,0.65300000,418204.62100000
2020-12-20 22:00:00,0.65100000,0.65300000,0.63200000,0.63200000,826068.08000000
2020-12-20 23:00:00,0.63200000,0.63200000,0.60700000,0.61200000,1935776.91400000
2020-12-21 00:00:00,0.61200000,0.61900000,0.61200000,0.61600000,357986.49200000
2020-12-21 01:00:00,0.61600000,0.62400000,0.60300000,0.62300000,602789.92900000
2020-12-21 02:00:00,0.62300000,0.62500000,0.61900000,0.62400000,343691.70200000
2020-12-21 03:00:00,0.62500000,0.62500000,0.61900000,0.62200000,233119.16000000
2020-12-21 04:00:00,0.62200000,0.62500000,0.61900000,0.62100000,180920.21700000
2020-12-21 05:00:00,0.62000000,0.62900000,0.62000000,0.62300000,296782.19200000
2020-12-21 06:00:00,0.62300000,0.62500000,0.61400000,0.61500000,217996.24400000
2020-12-21 07:00:00,0.61500000,0.61500000,0.60800000,0.61500000,339904.03000000
2020-12-21 08:00:00,0.61500000,0.62200000,0.61400000,0.62200000,366205.37800000
2020-12-21 09:00:00,0.62200000,0.62300000,0.58500000,0.59300000,1228354.11600000
2020-12-21 10:00:00,0.59300000,0.59600000,0.57300000,0.58200000,1560638.64500000
2020-12-21 11:00:00,0.58200000,0.58500000,0.54000000,0.55200000,3849087.32800000
2020-12-21 12:00:00,0.55200000,0.56500000,0.54900000,0.55300000,1491206.46500000
2020-12-21 13:00:00,0.55300000,0.56400000,0.54300000,0.55600000,2279210.33500000
2020-12-21 14:00:00,0.55600000,0.56200000,0.55600000,0.56000000,314409.13700000
2020-12-21 15:00:00,0.56000000,0.56000000,0.56000000,0.56000000,0.00000000
2020-12-21 19:00:00,0.56000000,0.57100000,0.55300000,0.56500000,869484.43500000
2020-12-21 20:00:00,0.56500000,0.56800000,0.56100000,0.56300000,366235.40600000
2020-12-21 21:00:00,0.56500000,0.56700000,0.55900000,0.56200000,316041.53800000
2020-12-21 22:00:00,0.56200000,0.56800000,0.55700000,0.56600000,485304.13900000
2020-12-21 23:00:00,0.56500000,0.56900000,0.56400000,0.56700000,358425.99400000
2020-12-22 00:00:00,0.56700000,0.56900000,0.55700000,0.55800000,524809.58900000
2020-12-22 01:00:00,0.55800000,0.57000000,0.54400000,0.54600000,880303.64400000
2020-12-22 02:00:00,0.54600000,0.55300000,0.53400000,0.54000000,799764.66400000
2020-12-22 03:00:00,0.54000000,0.55100000,0.53700000,0.55000000,443714.53200000
2020-12-22 04:00:00,0.55000000,0.55500000,0.54700000,0.54900000,317525.00200000
2020-12-22 05:00:00,0.54900000,0.55800000,0.54900000,0.55800000,363159.39100000
2020-12-22 06:00:00,0.55800000,0.55900000,0.54100000,0.54300000,424661.19200000
2020-12-22 07:00:00,0.54300000,0.54500000,0.52300000,0.52900000,1634114.42200000
2020-12-22 08:00:00,0.52900000,0.53600000,0.51700000,0.52400000,808423.70100000
2020-12-22 09:00:00,0.52500000,0.52900000,0.50900000,0.52400000,977648.65500000
2020-12-22 10:00:00,0.52500000,0.53800000,0.52500000,0.53700000,670555.71400000
2020-12-22 11:00:00,0.53700000,0.53900000,0.53100000,0.53400000,448137.59000000
2020-12-22 12:00:00,0.53400000,0.54500000,0.53300000,0.54300000,472272.37700000
2020-12-22 13:00:00,0.54300000,0.55200000,0.54200000,0.54800000,626338.12700000
