datetime,o,h,l,c,v
2020-12-12 01:00:00,0.00307320,0.00317160,0.00307320,0.00316870,23229157.00000000
2020-12-12 02:00:00,0.00316720,0.00316720,0.00314930,0.00315380,4309410.00000000
2020-12-12 03:00:00,0.00315360,0.00316290,0.00314100,0.00315970,6263275.00000000
2020-12-12 04:00:00,0.00315710,0.00316900,0.00314600,0.00315530,12754688.00000000
2020-12-12 05:00:00,0.00315710,0.00316910,0.00315410,0.00316650,6306061.00000000
2020-12-12 06:00:00,0.00316650,0.00317250,0.00315600,0.00315600,12099302.00000000
2020-12-12 07:00:00,0.00315580,0.00316700,0.00315360,0.00316700,15740250.00000000
2020-12-12 08:00:00,0.00316270,0.00317440,0.00316260,0.00317320,13211875.00000000
2020-12-12 09:00:00,0.00317310,0.00317660,0.00315590,0.00317470,9134202.00000000
2020-12-12 10:00:00,0.00317360,0.00318000,0.00316500,0.00316620,15514102.00000000
2020-12-12 11:00:00,0.00316620,0.00318090,0.00315580,0.00316020,15573236.00000000
2020-12-12 12:00:00,0.00316070,0.00317990,0.00316070,0.00317770,6185653.00000000
2020-12-12 13:00:00,0.00317770,0.00317870,0.00315500,0.00316110,7098201.00000000
2020-12-12 14:00:00,0.00315890,0.00316240,0.00314650,0.00315400,9367848.00000000
2020-12-12 15:00:00,0.00315600,0.00316720,0.00309640,0.00312820,94548374.00000000
2020-12-12 16:00:00,0.00312700,0.00314860,0.00311330,0.00314480,16260488.00000000
2020-12-12 17:00:00,0.00314490,0.00315710,0.00313260,0.00315200,7398903.00000000
2020-12-12 18:00:00,0.00315190,0.00316570,0.00315190,0.00316210,8197497.00000000
2020-12-12 19:00:00,0.00316170,0.00318800,0.00315920,0.00317330,13239898.00000000
2020-12-12 20:00:00,0.00317760,0.00318400,0.00316460,0.00317370,4461465.00000000
2020-12-12 21:00:00,0.00317600,0.00318790,0.00316400,0.00318310,7706564.00000000
2020-12-12 22:00:00,0.00318310,0.00318780,0.00316200,0.00316990,13744987.00000000
2020-12-12 23:00:00,0.00316970,0.00319000,0.00316400,0.00318210,7583847.00000000
2020-12-13 00:00:00,0.00318010,0.00318010,0.00316000,0.00316090,4596789.00000000
2020-12-13 01:00:00,0.00316310,0.00317180,0.00315250,0.00315890,2935201.00000000
2020-12-13 02:00:00,0.00315990,0.00317140,0.00315350,0.00317010,3126186.00000000
2020-12-13 03:00:00,0.00317010,0.00317130,0.00316400,0.00316980,2295495.00000000
2020-12-13 04:00:00,0.00317040,0.00317070,0.00315230,0.00315420,5159118.00000000
2020-12-13 05:00:00,0.00315820,0.00316360,0.00314790,0.00315880,5212673.00000000
2020-12-13 06:00:00,0.00315530,0.00316530,0.00315490,0.00316360,1714364.00000000
2020-12-13 07:00:00,0.00316460,0.00316600,0.00315750,0.00316160,4961225.00000000
2020-12-13 08:00:00,0.00316200,0.00319440,0.00316200,0.00318710,11146011.00000000
2020-12-13 09:00:00,0.00318680,0.00322000,0.00318680,0.00321010,26456394.00000000
2020-12-13 10:00:00,0.00320950,0.00321000,0.00316930,0.00320110,24671047.00000000
2020-12-13 11:00:00,0.00320580,0.00322940,0.00320330,0.00320840,10039631.00000000
2020-12-13 12:00:00,0.00320590,0.00320970,0.00318400,0.00320370,10879509.00000000
2020-12-13 13:00:00,0.00320440,0.00322900,0.00319590,0.00319920,29811980.00000000
2020-12-13 14:00:00,0.00319910,0.00324760,0.00319700,0.00323280,39645474.00000000
2020-12-13 15:00:00,0.00323260,0.00323500,0.00320300,0.00323500,14542328.00000000
2020-12-13 16:00:00,0.00323150,0.00323950,0.00319910,0.00322870,13764806.00000000
2020-12-13 17:00:00,0.00322880,0.00326010,0.00322000,0.00324120,26761689.00000000
2020-12-13 18:00:00,0.00324180,0.00326200,0.00322350,0.00325350,29155332.00000000
2020-12-13 19:00:00,0.00325550,0.00325840,0.00323210,0.00324140,18606611.00000000
2020-12-13 20:00:00,0.00324070,0.00327630,0.00324070,0.00326890,21765878.00000000
2020-12-13 21:00:00,0.00326980,0.00327600,0.00324020,0.00327010,18735302.00000000
2020-12-13 22:00:00,0.00326390,0.00327760,0.00325660,0.00326720,21815664.00000000
2020-12-13 23:00:00,0.00326720,0.00326720,0.00324100,0.00325500,17385347.00000000
2020-12-14 00:00:00,0.00325440,0.00327600,0.00325040,0.00326000,13814085.00000000
2020-12-14 01:00:00,0.00326040,0.00326890,0.00324000,0.00324510,12035327.00000000
2020-12-14 02:00:00,0.00324490,0.00325430,0.00324300,0.00324820,4614732.00000000
2020-12-14 03:00:00,0.00324600,0.00328390,0.00324410,0.00328200,10923763.00000000
2020-12-14 04:00:00,0.00328130,0.00328880,0.00326920,0.00327440,10015529.00000000
2020-12-14 05:00:00,0.00327350,0.00328740,0.00324170,0.00325100,12873562.00000000
2020-12-14 06:00:00,0.00325100,0.00326540,0.00324430,0.00325740,5010658.00000000
2020-12-14 07:00:00,0.00325840,0.00327000,0.00324610,0.00326480,4709813.00000000
2020-12-14 08:00:00,0.00326500,0.00326500,0.00324000,0.00325800,11313900.00000000
2020-12-14 09:00:00,0.00325310,0.00327180,0.00325300,0.00326990,11308813.00000000
2020-12-14 10:00:00,0.00327000,0.00327480,0.00325730,0.00325940,5478686.00000000
2020-12-14 11:00:00,0.00326170,0.00326980,0.00322050,0.00323400,17810478.00000000
