datetime,o,h,l,c,v
2020-12-12 01:00:00,14.74800000,15.23400000,14.73900000,15.18800000,38754.53600000
2020-12-12 02:00:00,15.22200000,15.28100000,15.07300000,15.09000000,20987.94800000
2020-12-12 03:00:00,15.09300000,15.30600000,15.07000000,15.13500000,13576.03300000
2020-12-12 04:00:00,15.13600000,15.14000000,14.79000000,14.87100000,22485.49500000
2020-12-12 05:00:00,14.85700000,15.04600000,14.85700000,14.93600000,10514.63500000
2020-12-12 06:00:00,14.93500000,14.97800000,14.74800000,14.79900000,9886.07500000
2020-12-12 07:00:00,14.78000000,14.87300000,14.74700000,14.80900000,13633.38600000
2020-12-12 08:00:00,14.81800000,15.12700000,14.81800000,14.98200000,23469.73800000
2020-12-12 09:00:00,14.96900000,15.04200000,14.80400000,15.01500000,14913.96800000
2020-12-12 10:00:00,15.01300000,15.49000000,14.94000000,15.41200000,35329.46400000
2020-12-12 11:00:00,15.41200000,15.60700000,15.27700000,15.48600000,55480.72800000
2020-12-12 12:00:00,15.44900000,15.78600000,15.39100000,15.50100000,73805.07600000
2020-12-12 13:00:00,15.51900000,16.14800000,15.51100000,16.14800000,84039.43400000
2020-12-12 14:00:00,16.14800000,16.58300000,16.14200000,16.24800000,83370.23500000
2020-12-12 15:00:00,16.25300000,16.46100000,15.67200000,15.85700000,73209.91800000
2020-12-12 16:00:00,15.83200000,16.40100000,15.50100000,16.21200000,55621.13300000
2020-12-12 17:00:00,16.21200000,16.24400000,15.85000000,16.07500000,27556.03600000
2020-12-12 18:00:00,16.07500000,16.75100000,15.96200000,16.62000000,43083.09900000
2020-12-12 19:00:00,16.61400000,17.00000000,16.45000000,16.62800000,65495.26800000
2020-12-12 20:00:00,16.63300000,17.09600000,16.63300000,16.84100000,46695.41200000
2020-12-12 21:00:00,16.85300000,17.10000000,16.81700000,16.93200000,22374.31700000
2020-12-12 22:00:00,16.93400000,16.99900000,16.36100000,16.43100000,38088.53800000
2020-12-12 23:00:00,16.40600000,16.66000000,16.16800000,16.33100000,32021.12100000
2020-12-13 00:00:00,16.31200000,16.73200000,16.26000000,16.73200000,29270.02000000
2020-12-13 01:00:00,16.70100000,16.72800000,16.22400000,16.43700000,33184.57400000
2020-12-13 02:00:00,16.43700000,16.48300000,16.06700000,16.42700000,28573.34800000
2020-12-13 03:00:00,16.43400000,16.53700000,16.37300000,16.52100000,9477.52200000
2020-12-13 04:00:00,16.52300000,16.53200000,16.22800000,16.28300000,19755.22100000
2020-12-13 05:00:00,16.28200000,16.52600000,16.17300000,16.47900000,16298.19000000
2020-12-13 06:00:00,16.47600000,16.54200000,16.13100000,16.13200000,11965.60000000
2020-12-13 07:00:00,16.13800000,16.27000000,15.86500000,16.07500000,39598.22400000
2020-12-13 08:00:00,16.08000000,16.30900000,15.94900000,16.28700000,24913.83000000
2020-12-13 09:00:00,16.28000000,16.38900000,16.10100000,16.35100000,22100.97600000
2020-12-13 10:00:00,16.35200000,17.27500000,16.21900000,17.16300000,99691.74100000
2020-12-13 11:00:00,17.16800000,17.25400000,16.90100000,17.10900000,52042.59600000
2020-12-13 12:00:00,17.10900000,17.15100000,16.72500000,16.88400000,31387.22300000
2020-12-13 13:00:00,16.88600000,16.90500000,16.54000000,16.59000000,41038.28000000
2020-12-13 14:00:00,16.60200000,16.94300000,16.58800000,16.77400000,31361.45000000
2020-12-13 15:00:00,16.73200000,16.74600000,16.53900000,16.64800000,24117.09000000
2020-12-13 16:00:00,16.62400000,16.72600000,16.48000000,16.60000000,23096.89900000
2020-12-13 17:00:00,16.60000000,17.03900000,16.59100000,17.02900000,33696.12600000
2020-12-13 18:00:00,17.00600000,17.05200000,16.80000000,16.87700000,25391.79600000
2020-12-13 19:00:00,16.87700000,16.95000000,16.80000000,16.91200000,10599.63300000
2020-12-13 20:00:00,16.92200000,17.08500000,16.83600000,17.03500000,14693.34000000
2020-12-13 21:00:00,17.03500000,17.05400000,16.61800000,16.77800000,63872.27800000
2020-12-13 22:00:00,16.74800000,16.97300000,16.71500000,16.96000000,15129.13400000
2020-12-13 23:00:00,16.97000000,16.98500000,16.66600000,16.96100000,32212.98100000
2020-12-14 00:00:00,16.96500000,16.98300000,16.84000000,16.92300000,6849.46200000
2020-12-14 01:00:00,16.89500000,16.92400000,16.65100000,16.75800000,8340.69600000
2020-12-14 02:00:00,16.75500000,16.78300000,16.67200000,16.71100000,3746.35700000
2020-12-14 03:00:00,16.69300000,16.84600000,16.65500000,16.83600000,7262.45100000
2020-12-14 04:00:00,16.81100000,16.89800000,16.73200000,16.77800000,3560.60200000
2020-12-14 05:00:00,16.77700000,16.81800000,16.50000000,16.67200000,20563.82800000
2020-12-14 06:00:00,16.66700000,16.70800000,16.51100000,16.67000000,8327.42300000
2020-12-14 07:00:00,16.65900000,17.26500000,16.64800000,17.19400000,49597.49900000
2020-12-14 08:00:00,17.19600000,17.56000000,17.08900000,17.40700000,71667.22500000
2020-12-14 09:00:00,17.40800000,17.73700000,17.39500000,17.70000000,32120.50000000
2020-12-14 10:00:00,17.69800000,17.88600000,17.61600000,17.80900000,41048.97700000
2020-12-14 11:00:00,17.80600000,18.24000000,17.80300000,18.19000000,55330.22700000
2020-12-14 12:00:00,18.19800000,19.85500000,18.19000000,19.43600000,206530.74700000
2020-12-14 13:00:00,19.41900000,20.12000000,18.70000000,18.94600000,198016.54800000
2020-12-14 14:00:00,18.94600000,19.24400000,18.40500000,19.05300000,225705.39100000
2020-12-14 15:00:00,19.02800000,19.12600000,18.75000000,19.02300000,64686.89000000
2020-12-14 16:00:00,19.02900000,19.90000000,18.98300000,19.59300000,93605.32900000
2020-12-14 17:00:00,19.57600000,19.59400000,19.20100000,19.21700000,41586.41800000
2020-12-14 18:00:00,19.21900000,19.40800000,19.10000000,19.35000000,44218.99600000
2020-12-14 19:00:00,19.34900000,19.51000000,19.34300000,19.51000000,28171.67300000
2020-12-14 20:00:00,19.51200000,19.52600000,18.80900000,18.92300000,118796.73000000
2020-12-14 21:00:00,18.94300000,19.06600000,18.80000000,19.04200000,37681.02300000
2020-12-14 22:00:00,19.02800000,19.07900000,18.56000000,18.67400000,53805.83100000
2020-12-14 23:00:00,18.67400000,19.47300000,18.60500000,19.37900000,67612.97300000
2020-12-15 00:00:00,19.39900000,19.42700000,18.92400000,19.21900000,70123.92500000
2020-12-15 01:00:00,19.21900000,19.23700000,18.74100000,18.93600000,41001.07100000
2020-12-15 02:00:00,18.93600000,19.30000000,18.75000000,19.26800000,36835.56900000
2020-12-15 03:00:00,19.26800000,19.69900000,19.26500000,19.40000000,39047.89500000
2020-12-15 04:00:00,19.38500000,19.60000000,19.05000000,19.14900000,45629.65100000
2020-12-15 05:00:00,19.14800000,19.35800000,19.00200000,19.08800000,20708.96600000
2020-12-15 06:00:00,19.10200000,19.40700000,18.69100000,19.11400000,42271.04100000
2020-12-15 07:00:00,19.09200000,19.41900000,18.84300000,19.32500000,32347.15000000
2020-12-15 08:00:00,19.32500000,19.94000000,19.25400000,19.78900000,72784.48000000
2020-12-15 09:00:00,19.75500000,21.00000000,19.59700000,20.67400000,157517.28500000
2020-12-15 10:00:00,20.65500000,21.80000000,20.42000000,21.66800000,219607.02300000
2020-12-15 11:00:00,21.66100000,21.89000000,20.80000000,21.03000000,198486.23400000
2020-12-15 12:00:00,21.01200000,21.50000000,20.80000000,21.15700000,104756.55600000
2020-12-15 13:00:00,21.15900000,21.56300000,21.13800000,21.31200000,55997.92400000
2020-12-15 14:00:00,21.31400000,21.84300000,21.14100000,21.68000000,69209.42400000
2020-12-15 15:00:00,21.69900000,21.90000000,21.45200000,21.66900000,53778.62600000
2020-12-15 16:00:00,21.65300000,23.47900000,21.63100000,23.28800000,252916.78200000
2020-12-15 17:00:00,23.28300000,23.29000000,22.31000000,22.41300000,165548.59500000
2020-12-15 18:00:00,22.38500000,23.04000000,22.33800000,22.56100000,91373.71100000
2020-12-15 19:00:00,22.55800000,23.12800000,22.55800000,23.01300000,66137.29800000
2020-12-15 20:00:00,22.99400000,24.03600000,22.80000000,23.79900000,145980.12300000
2020-12-15 21:00:00,23.79900000,23.89100000,23.34300000,23.65500000,92911.16600000
2020-12-15 22:00:00,23.66100000,23.76000000,23.13800000,23.49200000,80969.28700000
2020-12-15 23:00:00,23.48700000,23.75300000,23.13900000,23.61000000,56233.16100000
2020-12-16 00:00:00,23.60800000,24.50000000,23.30300000,24.25700000,99644.51600000
2020-12-16 01:00:00,24.25500000,24.42400000,23.88600000,24.16800000,91753.76500000
2020-12-16 02:00:00,24.13800000,24.45500000,23.41200000,23.86300000,83534.89300000
2020-12-16 03:00:00,23.85600000,24.11700000,23.43800000,23.59000000,52120.75800000
2020-12-16 04:00:00,23.58800000,23.87500000,23.30000000,23.67900000,44157.76400000
2020-12-16 05:00:00,23.69000000,24.90000000,23.58400000,24.51700000,82084.21300000
2020-12-16 06:00:00,24.51800000,25.44000000,24.51200000,25.01700000,141092.59900000
2020-12-16 07:00:00,25.03000000,25.30000000,24.40200000,24.69000000,103676.25000000
2020-12-16 08:00:00,24.68100000,24.81600000,24.52100000,24.79300000,62418.99700000
2020-12-16 09:00:00,24.78700000,24.80900000,24.05000000,24.34600000,83010.08200000
2020-12-16 10:00:00,24.36700000,25.10000000,24.16700000,24.76700000,90298.59800000
2020-12-16 11:00:00,24.77100000,25.35000000,24.05000000,24.10000000,137868.51800000
2020-12-16 12:00:00,24.11300000,24.12600000,21.90500000,22.75800000,367230.56600000
2020-12-16 13:00:00,22.73400000,22.79100000,20.64100000,21.27700000,426891.57400000
2020-12-16 14:00:00,21.27400000,21.83200000,20.60000000,20.77000000,233398.57300000
2020-12-16 15:00:00,20.76800000,22.57500000,20.73900000,22.23500000,192173.88100000
2020-12-16 16:00:00,22.21200000,22.47900000,21.60700000,22.32700000,166730.46400000
2020-12-16 17:00:00,22.33300000,22.39100000,21.61500000,21.96000000,93523.75400000
2020-12-16 18:00:00,21.96000000,22.30900000,21.74300000,21.86000000,60392.35900000
2020-12-16 19:00:00,21.85700000,22.24800000,21.51000000,22.12500000,82030.34500000
2020-12-16 20:00:00,22.13100000,22.83000000,21.91600000,22.25100000,96934.97800000
2020-12-16 21:00:00,22.25700000,22.50100000,21.61900000,22.05300000,93067.93800000
2020-12-16 22:00:00,22.05800000,22.06100000,21.10200000,21.49200000,117652.00600000
2020-12-16 23:00:00,21.49000000,22.34200000,21.14700000,21.95900000,91005.20300000
2020-12-17 00:00:00,21.96000000,22.28100000,21.60000000,21.68100000,61794.94300000
2020-12-17 01:00:00,21.65000000,22.20000000,21.37900000,21.66600000,48303.45100000
2020-12-17 02:00:00,21.66800000,21.68800000,21.31700000,21.51500000,37323.50600000
2020-12-17 03:00:00,21.51000000,21.56800000,20.77300000,21.10800000,73677.18900000
2020-12-17 04:00:00,21.10500000,21.62300000,20.90500000,21.20900000,50268.02600000
2020-12-17 05:00:00,21.20700000,22.14700000,21.05800000,21.17900000,157110.94500000
2020-12-17 06:00:00,21.14300000,21.78000000,21.04300000,21.16300000,70988.28200000
2020-12-17 07:00:00,21.16300000,21.28000000,20.78100000,21.10400000,68379.17400000
2020-12-17 08:00:00,21.10400000,21.10500000,20.20000000,20.69400000,108762.47600000
2020-12-17 09:00:00,20.69200000,21.56200000,20.60000000,21.00800000,93616.62400000
2020-12-17 10:00:00,21.00200000,21.22000000,20.40000000,21.21900000,108494.87200000
2020-12-17 11:00:00,21.22000000,23.27600000,20.88400000,22.63900000,181527.65400000
2020-12-17 12:00:00,22.63100000,22.99400000,22.10100000,22.41600000,143201.18700000
2020-12-17 13:00:00,22.41600000,23.50000000,22.30100000,23.29600000,118321.14800000
2020-12-17 14:00:00,23.28000000,23.65000000,22.80800000,22.88500000,94140.11000000
2020-12-17 15:00:00,22.88500000,23.29400000,22.60000000,23.11000000,66903.18100000
2020-12-17 16:00:00,23.11500000,23.50000000,22.91100000,22.98200000,42025.10200000
2020-12-17 17:00:00,22.97900000,23.04100000,22.60000000,22.88900000,55768.43700000
2020-12-17 18:00:00,22.90200000,23.78300000,22.86000000,23.40200000,59404.35300000
2020-12-17 19:00:00,23.40700000,23.49100000,22.65600000,22.92700000,65615.29500000
2020-12-17 20:00:00,22.92700000,23.48000000,22.84200000,23.13800000,48140.96900000
2020-12-17 21:00:00,23.13100000,23.56600000,22.80100000,23.11100000,41621.15100000
2020-12-17 22:00:00,23.10200000,23.10200000,22.49400000,22.72900000,45831.30700000
2020-12-17 23:00:00,22.72100000,23.13200000,22.71900000,23.07400000,36040.46900000
2020-12-18 00:00:00,23.06300000,23.36700000,22.86600000,23.33700000,20513.64800000
