datetime,o,h,l,c,v
2020-12-12 01:00:00,2.69450000,2.76140000,2.67820000,2.75710000,1290356.12000000
2020-12-12 02:00:00,2.75700000,2.76660000,2.74390000,2.74410000,538517.26000000
2020-12-12 03:00:00,2.74420000,2.76610000,2.74410000,2.76030000,205903.57000000
2020-12-12 04:00:00,2.76080000,2.76100000,2.75330000,2.75530000,124572.19000000
2020-12-12 05:00:00,2.75490000,2.76650000,2.75100000,2.76150000,197281.30000000
2020-12-12 06:00:00,2.76250000,2.76820000,2.75920000,2.75940000,208705.26000000
2020-12-12 07:00:00,2.75970000,2.76440000,2.75130000,2.75910000,200295.26000000
2020-12-12 08:00:00,2.75920000,2.76810000,2.75780000,2.76510000,220835.98000000
2020-12-12 09:00:00,2.76560000,2.77410000,2.75310000,2.75680000,214912.68000000
2020-12-12 10:00:00,2.75610000,2.76380000,2.75200000,2.75460000,212042.56000000
2020-12-12 11:00:00,2.75460000,2.76110000,2.74510000,2.74940000,206572.23000000
2020-12-12 12:00:00,2.74920000,2.76910000,2.74630000,2.76700000,202147.94000000
2020-12-12 13:00:00,2.76720000,2.76900000,2.74020000,2.74400000,458981.66000000
2020-12-12 14:00:00,2.74400000,2.74490000,2.73560000,2.73890000,219366.43000000
2020-12-12 15:00:00,2.73920000,2.74710000,2.71750000,2.72740000,315498.29000000
2020-12-12 16:00:00,2.72710000,2.74290000,2.72070000,2.73620000,200690.48000000
2020-12-12 17:00:00,2.73610000,2.74800000,2.73140000,2.74200000,220977.91000000
2020-12-12 18:00:00,2.74200000,2.75440000,2.73400000,2.75130000,116867.57000000
2020-12-12 19:00:00,2.75140000,2.77650000,2.74890000,2.76770000,265168.04000000
2020-12-12 20:00:00,2.76770000,2.78480000,2.76660000,2.78280000,368317.06000000
2020-12-12 21:00:00,2.78330000,2.78540000,2.77140000,2.77550000,236984.54000000
2020-12-12 22:00:00,2.77590000,2.78620000,2.77080000,2.77690000,243921.22000000
2020-12-12 23:00:00,2.77760000,2.78530000,2.77170000,2.77920000,130420.35000000
2020-12-13 00:00:00,2.77920000,2.78620000,2.76310000,2.76720000,376389.55000000
2020-12-13 01:00:00,2.76680000,2.77980000,2.75390000,2.75810000,319710.69000000
2020-12-13 02:00:00,2.75820000,2.76260000,2.75390000,2.75820000,138463.14000000
2020-12-13 03:00:00,2.75720000,2.76390000,2.75220000,2.76270000,156126.09000000
2020-12-13 04:00:00,2.76280000,2.76380000,2.75190000,2.75560000,101062.18000000
2020-12-13 05:00:00,2.75620000,2.76930000,2.75300000,2.76390000,183228.16000000
2020-12-13 06:00:00,2.76420000,2.78000000,2.76360000,2.76920000,279609.57000000
2020-12-13 07:00:00,2.76960000,2.79370000,2.76860000,2.79140000,379101.09000000
2020-12-13 08:00:00,2.79200000,2.84150000,2.79060000,2.83240000,974645.20000000
2020-12-13 09:00:00,2.83250000,2.85040000,2.82260000,2.84080000,928132.30000000
2020-12-13 10:00:00,2.84080000,2.84960000,2.82770000,2.83940000,419148.27000000
2020-12-13 11:00:00,2.83970000,2.85550000,2.83180000,2.83450000,436987.53000000
2020-12-13 12:00:00,2.83440000,2.84570000,2.82590000,2.83380000,358909.80000000
2020-12-13 13:00:00,2.83340000,2.84250000,2.82000000,2.83340000,486533.47000000
2020-12-13 14:00:00,2.83330000,2.84080000,2.82900000,2.83440000,550797.52000000
2020-12-13 15:00:00,2.83430000,2.83790000,2.82400000,2.82980000,342572.98000000
2020-12-13 16:00:00,2.82960000,2.83300000,2.79710000,2.81400000,562862.25000000
2020-12-13 17:00:00,2.81400000,2.89990000,2.81400000,2.89090000,1556037.21000000
2020-12-13 18:00:00,2.89120000,2.89170000,2.86440000,2.88040000,580603.77000000
2020-12-13 19:00:00,2.88030000,2.88160000,2.86780000,2.87660000,261034.80000000
2020-12-13 20:00:00,2.87660000,2.88540000,2.86700000,2.86780000,255126.68000000
2020-12-13 21:00:00,2.86740000,2.86970000,2.85320000,2.86520000,214331.03000000
2020-12-13 22:00:00,2.86460000,2.86850000,2.85840000,2.86610000,129514.06000000
2020-12-13 23:00:00,2.86610000,2.86680000,2.82710000,2.84600000,319158.62000000
2020-12-14 00:00:00,2.84560000,2.85540000,2.84030000,2.85070000,138466.56000000
2020-12-14 01:00:00,2.85050000,2.85380000,2.80870000,2.81970000,454128.16000000
2020-12-14 02:00:00,2.81860000,2.83550000,2.81200000,2.82610000,360947.20000000
2020-12-14 03:00:00,2.82580000,2.84630000,2.81870000,2.84480000,282717.69000000
2020-12-14 04:00:00,2.84480000,2.85360000,2.83200000,2.83220000,368336.86000000
2020-12-14 05:00:00,2.83230000,2.83690000,2.80900000,2.81300000,463371.95000000
2020-12-14 06:00:00,2.81330000,2.82040000,2.80420000,2.81730000,277023.99000000
2020-12-14 07:00:00,2.81720000,2.82860000,2.81690000,2.82860000,189024.81000000
2020-12-14 08:00:00,2.82900000,2.85250000,2.81630000,2.84730000,340598.13000000
2020-12-14 09:00:00,2.84660000,2.85270000,2.83670000,2.84810000,306470.51000000
2020-12-14 10:00:00,2.84830000,2.84990000,2.83040000,2.83860000,218842.51000000
