datetime,o,h,l,c,v
2020-12-12 01:00:00,5.78990000,5.95000000,5.78110000,5.94350000,93150.03000000
2020-12-12 02:00:00,5.94340000,5.95500000,5.92120000,5.93190000,39686.95000000
2020-12-12 03:00:00,5.93260000,5.99530000,5.92850000,5.99060000,50241.02000000
2020-12-12 04:00:00,5.99070000,5.99430000,5.94870000,5.98480000,113350.31000000
2020-12-12 05:00:00,5.98240000,6.01750000,5.97860000,6.00630000,49350.96000000
2020-12-12 06:00:00,6.00880000,6.04720000,5.98280000,5.99010000,71567.20000000
2020-12-12 07:00:00,5.98810000,6.00450000,5.95640000,5.97650000,37120.15000000
2020-12-12 08:00:00,5.97700000,6.01850000,5.96770000,6.01560000,57700.17000000
2020-12-12 09:00:00,6.00950000,6.02300000,5.97730000,5.98150000,38580.18000000
2020-12-12 10:00:00,5.98160000,5.99550000,5.95750000,5.96410000,45365.68000000
2020-12-12 11:00:00,5.96350000,5.98410000,5.91460000,5.95200000,63011.56000000
2020-12-12 12:00:00,5.94980000,5.97700000,5.93950000,5.97110000,34418.29000000
2020-12-12 13:00:00,5.97120000,5.98050000,5.93620000,5.94610000,40241.79000000
2020-12-12 14:00:00,5.94610000,5.95230000,5.92280000,5.93610000,41274.23000000
2020-12-12 15:00:00,5.93560000,5.94100000,5.85220000,5.89120000,99892.74000000
2020-12-12 16:00:00,5.89120000,5.92330000,5.85880000,5.91790000,52558.43000000
2020-12-12 17:00:00,5.91870000,5.94020000,5.89160000,5.90620000,28747.27000000
2020-12-12 18:00:00,5.90690000,5.93670000,5.87770000,5.93440000,24431.08000000
2020-12-12 19:00:00,5.93270000,5.98430000,5.93050000,5.96580000,42233.57000000
2020-12-12 20:00:00,5.96590000,5.99180000,5.95750000,5.97540000,63755.25000000
2020-12-12 21:00:00,5.98040000,5.99860000,5.95930000,5.98740000,30993.36000000
2020-12-12 22:00:00,5.98610000,5.99480000,5.97130000,5.98050000,31335.28000000
2020-12-12 23:00:00,5.97960000,6.01250000,5.96690000,6.00850000,34589.48000000
2020-12-13 00:00:00,6.00950000,6.01210000,5.95680000,5.97100000,35251.38000000
2020-12-13 01:00:00,5.97140000,5.99420000,5.90980000,5.93600000,73625.60000000
2020-12-13 02:00:00,5.93410000,5.95250000,5.92840000,5.94830000,45022.97000000
2020-12-13 03:00:00,5.94740000,5.95920000,5.92820000,5.95480000,29146.51000000
2020-12-13 04:00:00,5.95550000,5.96060000,5.92600000,5.93480000,17426.33000000
2020-12-13 05:00:00,5.94230000,5.98800000,5.92130000,5.97750000,53666.48000000
2020-12-13 06:00:00,5.97930000,6.05000000,5.97760000,6.01920000,97850.02000000
2020-12-13 07:00:00,6.02110000,6.06400000,6.01920000,6.05820000,40372.51000000
2020-12-13 08:00:00,6.05880000,6.10690000,6.05600000,6.09260000,95001.26000000
2020-12-13 09:00:00,6.09350000,6.14390000,6.09350000,6.10930000,135264.98000000
2020-12-13 10:00:00,6.10900000,6.11710000,6.07300000,6.09500000,98637.91000000
2020-12-13 11:00:00,6.09490000,6.13570000,6.09180000,6.12740000,67161.50000000
2020-12-13 12:00:00,6.12820000,6.15390000,6.08780000,6.12450000,65489.19000000
2020-12-13 13:00:00,6.12970000,6.13450000,6.07910000,6.12520000,45504.16000000
2020-12-13 14:00:00,6.12540000,6.15960000,6.10230000,6.12100000,82639.59000000
2020-12-13 15:00:00,6.12000000,6.13120000,6.09360000,6.09880000,60898.01000000
2020-12-13 16:00:00,6.09840000,6.10730000,6.05080000,6.09430000,57395.27000000
2020-12-13 17:00:00,6.09560000,6.27000000,6.09560000,6.22240000,281167.53000000
2020-12-13 18:00:00,6.22310000,6.22690000,6.16100000,6.17140000,92444.70000000
2020-12-13 19:00:00,6.17090000,6.18410000,6.15300000,6.16340000,33624.34000000
2020-12-13 20:00:00,6.16280000,6.19330000,6.15640000,6.16120000,56001.46000000
2020-12-13 21:00:00,6.16310000,6.16380000,6.11930000,6.15200000,31241.68000000
2020-12-13 22:00:00,6.14880000,6.16780000,6.14510000,6.15970000,20957.98000000
2020-12-13 23:00:00,6.15720000,6.15720000,6.07760000,6.09430000,68558.77000000
2020-12-14 00:00:00,6.09330000,6.12700000,6.08380000,6.12090000,37851.54000000
2020-12-14 01:00:00,6.11770000,6.12030000,6.06360000,6.08680000,53171.51000000
2020-12-14 02:00:00,6.08580000,6.09730000,6.07080000,6.08070000,34433.66000000
2020-12-14 03:00:00,6.07900000,6.13950000,6.07210000,6.13740000,37915.61000000
2020-12-14 04:00:00,6.13430000,6.13850000,6.08690000,6.09520000,47612.31000000
2020-12-14 05:00:00,6.09020000,6.10510000,5.95850000,5.98000000,279559.37000000
2020-12-14 06:00:00,5.98000000,6.01810000,5.97440000,6.01220000,57677.40000000
2020-12-14 07:00:00,6.01590000,6.03620000,5.97830000,6.01820000,123860.40000000
2020-12-14 08:00:00,6.01850000,6.05840000,5.98370000,6.03710000,67507.46000000
2020-12-14 09:00:00,6.03380000,6.05520000,6.00380000,6.03240000,52621.98000000
2020-12-14 10:00:00,6.03300000,6.05410000,5.98580000,6.05030000,88235.48000000
2020-12-14 11:00:00,6.04840000,6.05140000,5.95070000,5.95080000,64531.31000000
2020-12-14 12:00:00,5.95080000,5.97680000,5.94000000,5.97260000,49947.28000000
2020-12-14 13:00:00,5.97270000,5.99790000,5.94000000,5.96390000,43839.43000000
2020-12-14 14:00:00,5.96350000,6.01550000,5.95030000,6.01060000,39361.69000000
2020-12-14 15:00:00,6.01070000,6.01070000,5.96050000,5.99770000,46991.88000000
2020-12-14 16:00:00,5.99980000,6.08030000,5.99920000,6.02340000,65896.66000000
2020-12-14 17:00:00,6.02280000,6.03090000,5.96720000,5.97500000,36709.12000000
2020-12-14 18:00:00,5.97780000,5.99880000,5.96000000,5.98220000,30575.99000000
2020-12-14 19:00:00,5.98950000,6.03760000,5.98950000,6.03640000,47661.05000000
2020-12-14 20:00:00,6.03540000,6.04420000,5.99970000,6.00040000,29063.97000000
2020-12-14 21:00:00,6.00060000,6.01490000,5.98410000,6.00560000,29551.05000000
2020-12-14 22:00:00,6.01140000,6.01680000,5.98770000,5.99000000,11996.95000000
