datetime,o,h,l,c,v
2020-12-12 01:00:00,29.82930000,30.10030000,29.80050000,30.07620000,22857.97000000
2020-12-12 02:00:00,30.08030000,30.13760000,30.07570000,30.11280000,8208.95000000
2020-12-12 03:00:00,30.11280000,30.29750000,30.10050000,30.27640000,19551.08000000
2020-12-12 04:00:00,30.27640000,30.29100000,30.20010000,30.23980000,13491.65000000
2020-12-12 05:00:00,30.23580000,30.27100000,30.15470000,30.19900000,9218.36000000
2020-12-12 06:00:00,30.20800000,30.25560000,30.03970000,30.06240000,19456.41000000
2020-12-12 07:00:00,30.06460000,30.11850000,30.01440000,30.02650000,17896.31000000
2020-12-12 08:00:00,30.02540000,30.18980000,30.00000000,30.13980000,22072.28000000
2020-12-12 09:00:00,30.12500000,30.20710000,30.06010000,30.08510000,12575.97000000
2020-12-12 10:00:00,30.08080000,30.17250000,30.08070000,30.12860000,8852.78000000
2020-12-12 11:00:00,30.12810000,30.13750000,30.04890000,30.11520000,7492.61000000
2020-12-12 12:00:00,30.11700000,30.23710000,30.09090000,30.21520000,8618.28000000
2020-12-12 13:00:00,30.22220000,30.23070000,30.11070000,30.19640000,12057.63000000
2020-12-12 14:00:00,30.18490000,30.29650000,29.84870000,30.24230000,89942.97000000
2020-12-12 15:00:00,30.24750000,30.34380000,30.06000000,30.11270000,38956.29000000
2020-12-12 16:00:00,30.10510000,30.11490000,30.02560000,30.05310000,17000.94000000
2020-12-12 17:00:00,30.05340000,30.08240000,29.76960000,29.98710000,69413.65000000
2020-12-12 18:00:00,29.97970000,29.99260000,29.89120000,29.96590000,11468.18000000
2020-12-12 19:00:00,29.97010000,30.05260000,29.89810000,29.93710000,16312.05000000
2020-12-12 20:00:00,29.93710000,29.98610000,29.86630000,29.89610000,15515.77000000
2020-12-12 21:00:00,29.89890000,29.92480000,29.87130000,29.91770000,8046.12000000
2020-12-12 22:00:00,29.92420000,29.93580000,29.87130000,29.89800000,6915.11000000
2020-12-12 23:00:00,29.89600000,29.90970000,29.84770000,29.86430000,9344.37000000
2020-12-13 00:00:00,29.86180000,29.95170000,29.85170000,29.91570000,10020.48000000
2020-12-13 01:00:00,29.91560000,29.94480000,29.85090000,29.92060000,10339.26000000
2020-12-13 02:00:00,29.92070000,29.93870000,29.88290000,29.93500000,5901.82000000
2020-12-13 03:00:00,29.93490000,30.03380000,29.93100000,30.03370000,9990.89000000
2020-12-13 04:00:00,30.03370000,30.10990000,29.96130000,29.97530000,9273.84000000
2020-12-13 05:00:00,29.97680000,30.05000000,29.96460000,30.02010000,9859.59000000
2020-12-13 06:00:00,30.02000000,30.04670000,30.00520000,30.00950000,5590.26000000
2020-12-13 07:00:00,30.01420000,30.08090000,30.00910000,30.04940000,7278.14000000
2020-12-13 08:00:00,30.05090000,30.15800000,30.00650000,30.15460000,18859.44000000
2020-12-13 09:00:00,30.15800000,30.20000000,30.07000000,30.15680000,21356.03000000
2020-12-13 10:00:00,30.15460000,30.24380000,30.05720000,30.18460000,21673.39000000
2020-12-13 11:00:00,30.18970000,30.23010000,30.13830000,30.14820000,13311.56000000
2020-12-13 12:00:00,30.14170000,30.15760000,30.06510000,30.11820000,10986.78000000
2020-12-13 13:00:00,30.11960000,30.15000000,30.02130000,30.13000000,13949.99000000
2020-12-13 14:00:00,30.13010000,30.35490000,30.13010000,30.18630000,17623.46000000
2020-12-13 15:00:00,30.18630000,30.26110000,30.15090000,30.17010000,25022.54000000
2020-12-13 16:00:00,30.17010000,30.20150000,30.02000000,30.07200000,22435.70000000
2020-12-13 17:00:00,30.07910000,30.24680000,30.07910000,30.11690000,29773.56000000
2020-12-13 18:00:00,30.11510000,30.12750000,30.03140000,30.09370000,16401.99000000
2020-12-13 19:00:00,30.09770000,30.11190000,30.03910000,30.05870000,8122.40000000
2020-12-13 20:00:00,30.05800000,30.06850000,30.03000000,30.04750000,5623.97000000
2020-12-13 21:00:00,30.04630000,30.05870000,30.00000000,30.01220000,8378.40000000
2020-12-13 22:00:00,30.01220000,30.04860000,30.00130000,30.03820000,3017.19000000
