datetime,o,h,l,c,v
2020-12-12 01:00:00,0.01834000,0.01927000,0.01834000,0.01921000,5117328.20000000
2020-12-12 02:00:00,0.01921000,0.01924000,0.01906000,0.01915000,914679.10000000
2020-12-12 03:00:00,0.01915000,0.01929000,0.01908000,0.01922000,1589215.80000000
2020-12-12 04:00:00,0.01922000,0.01927000,0.01913000,0.01918000,874764.90000000
2020-12-12 05:00:00,0.01922000,0.01936000,0.01912000,0.01927000,1111203.40000000
2020-12-12 06:00:00,0.01929000,0.01932000,0.01911000,0.01911000,2091770.00000000
2020-12-12 07:00:00,0.01912000,0.01917000,0.01897000,0.01905000,1957186.40000000
2020-12-12 08:00:00,0.01905000,0.01916000,0.01904000,0.01913000,1272592.50000000
2020-12-12 09:00:00,0.01913000,0.01920000,0.01906000,0.01910000,1712251.40000000
2020-12-12 10:00:00,0.01909000,0.01925000,0.01908000,0.01908000,946421.90000000
2020-12-12 11:00:00,0.01908000,0.01924000,0.01898000,0.01921000,2797924.60000000
2020-12-12 12:00:00,0.01924000,0.01930000,0.01911000,0.01923000,1587692.70000000
2020-12-12 13:00:00,0.01924000,0.01925000,0.01911000,0.01914000,729453.00000000
2020-12-12 14:00:00,0.01919000,0.01919000,0.01896000,0.01902000,2429744.60000000
2020-12-12 15:00:00,0.01902000,0.01902000,0.01872000,0.01881000,1045124.60000000
2020-12-12 16:00:00,0.01878000,0.01894000,0.01870000,0.01880000,1405987.00000000
2020-12-12 17:00:00,0.01883000,0.01890000,0.01874000,0.01882000,700379.20000000
2020-12-12 18:00:00,0.01882000,0.01889000,0.01870000,0.01883000,883277.80000000
2020-12-12 19:00:00,0.01886000,0.01908000,0.01885000,0.01894000,1901908.40000000
2020-12-12 20:00:00,0.01898000,0.01912000,0.01898000,0.01907000,1138736.20000000
2020-12-12 21:00:00,0.01908000,0.01925000,0.01896000,0.01917000,1575794.70000000
2020-12-12 22:00:00,0.01915000,0.01924000,0.01911000,0.01920000,400600.80000000
2020-12-12 23:00:00,0.01918000,0.01928000,0.01909000,0.01919000,2386813.20000000
2020-12-13 00:00:00,0.01917000,0.01920000,0.01901000,0.01905000,1132490.00000000
2020-12-13 01:00:00,0.01911000,0.01919000,0.01894000,0.01902000,1755315.20000000
2020-12-13 02:00:00,0.01902000,0.01911000,0.01902000,0.01904000,304630.30000000
2020-12-13 03:00:00,0.01903000,0.01905000,0.01894000,0.01901000,729131.20000000
2020-12-13 04:00:00,0.01901000,0.01901000,0.01894000,0.01897000,267884.90000000
2020-12-13 05:00:00,0.01898000,0.01905000,0.01889000,0.01897000,824681.10000000
2020-12-13 06:00:00,0.01897000,0.01912000,0.01897000,0.01905000,1306852.30000000
2020-12-13 07:00:00,0.01904000,0.01929000,0.01904000,0.01916000,1156609.90000000
