datetime,o,h,l,c,v
2020-12-12 01:00:00,4.10700000,4.17900000,4.10400000,4.17900000,9906.09600000
2020-12-12 02:00:00,4.18200000,4.18200000,4.16800000,4.17000000,279.74500000
2020-12-12 03:00:00,4.17300000,4.19200000,4.16900000,4.18000000,6312.84000000
2020-12-12 04:00:00,4.17000000,4.17800000,4.13500000,4.15500000,130025.88400000
2020-12-12 05:00:00,4.15500000,4.18200000,4.15400000,4.18100000,9595.79000000
2020-12-12 06:00:00,4.18500000,4.18600000,4.17000000,4.17500000,1188.38100000
2020-12-12 07:00:00,4.16500000,4.18100000,4.16300000,4.16900000,2428.74000000
2020-12-12 08:00:00,4.17000000,4.19200000,4.17000000,4.18900000,3687.51500000
2020-12-12 09:00:00,4.19400000,4.20000000,4.17100000,4.17700000,2164.37300000
2020-12-12 10:00:00,4.17400000,4.19500000,4.17400000,4.18100000,787.07200000
2020-12-12 11:00:00,4.18200000,4.18400000,4.16300000,4.17400000,1376.67700000
2020-12-12 12:00:00,4.17900000,4.19900000,4.17900000,4.19900000,331.30800000
2020-12-12 13:00:00,4.20400000,4.20400000,4.18200000,4.18400000,999.75900000
2020-12-12 14:00:00,4.18600000,4.18600000,4.17400000,4.17500000,441.79100000
2020-12-12 15:00:00,4.18000000,4.18200000,4.14900000,4.16000000,2387.94800000
2020-12-12 16:00:00,4.16400000,4.17500000,4.15200000,4.16900000,1965.64500000
2020-12-12 17:00:00,4.16900000,4.17800000,4.16500000,4.16800000,2896.69200000
2020-12-12 18:00:00,4.16900000,4.18700000,4.16100000,4.18700000,920.74400000
2020-12-12 19:00:00,4.19300000,4.23400000,4.19300000,4.23100000,1501.01100000
2020-12-12 20:00:00,4.23000000,4.25800000,4.23000000,4.25800000,1728.86400000
2020-12-12 21:00:00,4.25900000,4.27100000,4.24900000,4.25700000,1941.26900000
2020-12-12 22:00:00,4.25500000,4.27000000,4.25500000,4.26000000,2578.71700000
2020-12-12 23:00:00,4.26400000,4.28700000,4.26000000,4.27000000,5498.58900000
2020-12-13 00:00:00,4.25900000,4.26700000,4.25200000,4.25800000,681.32200000
2020-12-13 01:00:00,4.25800000,4.26700000,4.24500000,4.24900000,18856.97100000
2020-12-13 02:00:00,4.24600000,4.25500000,4.23700000,4.24700000,911.57200000
2020-12-13 03:00:00,4.24400000,4.25400000,4.24400000,4.25400000,868.38300000
2020-12-13 04:00:00,4.25900000,4.29100000,4.25400000,4.28200000,35196.45200000
2020-12-13 05:00:00,4.27600000,4.30000000,4.26900000,4.29500000,4982.04300000
2020-12-13 06:00:00,4.28800000,4.32200000,4.28800000,4.31200000,6336.78600000
2020-12-13 07:00:00,4.31100000,4.33800000,4.31100000,4.32700000,3721.55500000
2020-12-13 08:00:00,4.34600000,4.43500000,4.33600000,4.42800000,6587.88800000
2020-12-13 09:00:00,4.44000000,4.45100000,4.38500000,4.43100000,37100.61400000
2020-12-13 10:00:00,4.42600000,4.44300000,4.41300000,4.43900000,2417.12300000
2020-12-13 11:00:00,4.44300000,4.45600000,4.43200000,4.43900000,3030.01200000
2020-12-13 12:00:00,4.44000000,4.46000000,4.43000000,4.45500000,2191.40400000
2020-12-13 13:00:00,4.46000000,4.47200000,4.44100000,4.45800000,1709.15000000
