datetime,o,h,l,c,v
2021-09-13 08:00:00,0.02103000,0.07805000,0.02103000,0.06577000,1431698394.00000000
2021-09-13 09:00:00,0.06577000,0.07707000,0.06423000,0.06886000,1098331914.00000000
2021-09-13 10:00:00,0.06899000,0.07020000,0.06074000,0.06562000,532489644.00000000
2021-09-13 11:00:00,0.06562000,0.06656000,0.05666000,0.06012000,374113022.00000000
2021-09-13 12:00:00,0.06003000,0.06078000,0.05570000,0.05971000,259501716.00000000
2021-09-13 13:00:00,0.05965000,0.05982000,0.05478000,0.05567000,163143950.00000000
2021-09-13 14:00:00,0.05569000,0.05838000,0.05466000,0.05509000,111100036.00000000
2021-09-13 15:00:00,0.05509000,0.06037000,0.05501000,0.05610000,179705822.00000000
2021-09-13 16:00:00,0.05602000,0.05700000,0.04800000,0.05149000,282967243.00000000
2021-09-13 17:00:00,0.05145000,0.05198000,0.04910000,0.05043000,154187008.00000000
2021-09-13 18:00:00,0.05048000,0.05946000,0.05045000,0.05441000,324787055.00000000
2021-09-13 19:00:00,0.05440000,0.05616000,0.05248000,0.05513000,129556995.00000000
2021-09-13 20:00:00,0.05511000,0.05648000,0.05270000,0.05304000,96712895.00000000
2021-09-13 21:00:00,0.05293000,0.05488000,0.05130000,0.05357000,75172217.00000000
2021-09-13 22:00:00,0.05354000,0.05399000,0.05181000,0.05206000,52142668.00000000
2021-09-13 23:00:00,0.05206000,0.05292000,0.04960000,0.04989000,54003417.00000000
2021-09-14 00:00:00,0.04987000,0.05048000,0.04689000,0.04744000,84924236.00000000
2021-09-14 01:00:00,0.04744000,0.04915000,0.04688000,0.04721000,69895954.00000000
2021-09-14 02:00:00,0.04721000,0.05074000,0.04628000,0.04996000,117235747.00000000
2021-09-14 03:00:00,0.04989000,0.05370000,0.04951000,0.04992000,144306942.00000000
2021-09-14 04:00:00,0.04995000,0.05285000,0.04903000,0.05226000,83057842.00000000
2021-09-14 05:00:00,0.05230000,0.05239000,0.04940000,0.05001000,53998353.00000000
2021-09-14 06:00:00,0.05006000,0.05047000,0.04854000,0.04945000,45851941.00000000
2021-09-14 07:00:00,0.04949000,0.04969000,0.04733000,0.04885000,73472955.00000000
2021-09-14 08:00:00,0.04886000,0.04900000,0.04645000,0.04763000,65717548.00000000
2021-09-14 09:00:00,0.04763000,0.04976000,0.04762000,0.04876000,80584550.00000000
2021-09-14 10:00:00,0.04871000,0.04900000,0.04728000,0.04759000,44908796.00000000
2021-09-14 11:00:00,0.04759000,0.04875000,0.04727000,0.04751000,55320090.00000000
2021-09-14 12:00:00,0.04753000,0.05092000,0.04735000,0.05030000,86874358.00000000
2021-09-14 13:00:00,0.05030000,0.05237000,0.04932000,0.05090000,99501110.00000000
2021-09-14 14:00:00,0.05090000,0.05150000,0.04762000,0.04787000,84148111.00000000
2021-09-14 15:00:00,0.04787000,0.04875000,0.04742000,0.04806000,52546388.00000000
2021-09-14 16:00:00,0.04801000,0.04938000,0.04719000,0.04886000,43764564.00000000
2021-09-14 17:00:00,0.04884000,0.04884000,0.04770000,0.04787000,33810365.00000000
2021-09-14 18:00:00,0.04785000,0.04836000,0.04776000,0.04834000,23571848.00000000
2021-09-14 19:00:00,0.04834000,0.04905000,0.04800000,0.04869000,34429552.00000000
2021-09-14 20:00:00,0.04869000,0.04890000,0.04700000,0.04706000,26263872.00000000
2021-09-14 21:00:00,0.04706000,0.04742000,0.04480000,0.04537000,75816954.00000000
2021-09-14 22:00:00,0.04538000,0.04560000,0.04446000,0.04499000,26570448.00000000
