datetime,o,h,l,c,v
2020-12-17 21:00:00,0.03000000,0.14700000,0.03000000,0.10620000,94371186.70000000
2020-12-17 22:00:00,0.10631000,0.11868000,0.09700000,0.11787000,68984792.20000000
2020-12-17 23:00:00,0.11786000,0.13891000,0.11577000,0.12846000,78922534.60000000
2020-12-18 00:00:00,0.12892000,0.13371000,0.11711000,0.12275000,39111203.90000000
2020-12-18 01:00:00,0.12253000,0.14622000,0.12253000,0.14035000,83746362.80000000
2020-12-18 02:00:00,0.14033000,0.14033000,0.12830000,0.13591000,40661008.20000000
2020-12-18 03:00:00,0.13593000,0.13600000,0.12362000,0.12674000,29018674.40000000
2020-12-18 04:00:00,0.12674000,0.14619000,0.12671000,0.14169000,59864008.60000000
2020-12-18 05:00:00,0.14160000,0.17300000,0.14122000,0.16899000,93999814.60000000
2020-12-18 06:00:00,0.16820000,0.19400000,0.16320000,0.17216000,110832143.50000000
2020-12-18 07:00:00,0.17201000,0.19748000,0.17000000,0.19608000,69147471.10000000
2020-12-18 08:00:00,0.19606000,0.19635000,0.17300000,0.17713000,51658510.00000000
2020-12-18 09:00:00,0.17701000,0.18920000,0.16840000,0.17327000,52457461.30000000
2020-12-18 10:00:00,0.17327000,0.18694000,0.17250000,0.18551000,32268993.70000000
2020-12-18 11:00:00,0.18571000,0.19000000,0.17559000,0.18042000,33242979.20000000
2020-12-18 12:00:00,0.18049000,0.19280000,0.17531000,0.19093000,36265715.30000000
2020-12-18 13:00:00,0.19115000,0.24364000,0.18823000,0.24309000,163181967.30000000
2020-12-18 14:00:00,0.24309000,0.28665000,0.22111000,0.25858000,204748395.20000000
2020-12-18 15:00:00,0.25858000,0.27161000,0.23216000,0.25907000,192321137.30000000
2020-12-18 16:00:00,0.25899000,0.28000000,0.24214000,0.25573000,105825745.90000000
2020-12-18 17:00:00,0.25569000,0.25569000,0.20800000,0.23799000,157068499.80000000
2020-12-18 18:00:00,0.23702000,0.26325000,0.22268000,0.25000000,97767023.10000000
2020-12-18 19:00:00,0.25000000,0.25451000,0.23632000,0.25064000,54912154.90000000
2020-12-18 20:00:00,0.25128000,0.26841000,0.24511000,0.25000000,71123969.00000000
2020-12-18 21:00:00,0.24967000,0.25300000,0.23197000,0.23902000,48186389.70000000
2020-12-18 22:00:00,0.23984000,0.25800000,0.23952000,0.25157000,36925119.40000000
2020-12-18 23:00:00,0.25162000,0.26500000,0.25162000,0.25758000,36301967.30000000
2020-12-19 00:00:00,0.25756000,0.26371000,0.24500000,0.26122000,36489321.70000000
2020-12-19 01:00:00,0.26097000,0.27600000,0.25522000,0.26720000,54351306.80000000
2020-12-19 02:00:00,0.26752000,0.32080000,0.26301000,0.31972000,93968964.50000000
2020-12-19 03:00:00,0.31973000,0.35600000,0.30014000,0.32714000,150362755.70000000
2020-12-19 04:00:00,0.32775000,0.33758000,0.30500000,0.32357000,68238283.50000000
2020-12-19 05:00:00,0.32388000,0.32390000,0.28777000,0.30531000,64773581.10000000
