datetime,o,h,l,c,v
2020-12-12 01:00:00,11.63930000,12.12600000,11.60100000,12.10490000,599905.26000000
2020-12-12 02:00:00,12.10680000,12.15250000,12.03600000,12.06790000,256798.42000000
2020-12-12 03:00:00,12.06620000,12.13370000,12.03170000,12.08700000,122069.51000000
2020-12-12 04:00:00,12.08670000,12.12000000,12.05880000,12.08230000,127638.82000000
2020-12-12 05:00:00,12.08020000,12.18030000,12.06510000,12.16090000,204626.56000000
2020-12-12 06:00:00,12.16100000,12.17990000,12.05120000,12.05930000,210734.37000000
2020-12-12 07:00:00,12.06090000,12.12880000,12.05970000,12.12700000,138714.90000000
2020-12-12 08:00:00,12.12740000,12.24240000,12.12170000,12.22520000,158407.85000000
2020-12-12 09:00:00,12.22830000,12.26890000,12.11360000,12.16020000,170830.02000000
2020-12-12 10:00:00,12.15760000,12.19790000,12.09410000,12.10720000,135477.89000000
2020-12-12 11:00:00,12.10380000,12.12870000,12.05300000,12.05440000,142844.67000000
2020-12-12 12:00:00,12.05440000,12.14050000,12.04840000,12.13390000,121749.72000000
2020-12-12 13:00:00,12.13380000,12.15740000,12.06750000,12.07220000,100130.49000000
2020-12-12 14:00:00,12.07160000,12.10000000,11.96880000,11.97880000,182829.66000000
2020-12-12 15:00:00,11.98090000,12.03700000,11.85560000,11.91930000,203458.96000000
2020-12-12 16:00:00,11.91750000,11.95800000,11.86660000,11.91790000,161506.76000000
2020-12-12 17:00:00,11.91550000,11.99790000,11.91000000,11.93230000,151777.95000000
2020-12-12 18:00:00,11.93070000,11.98380000,11.87780000,11.96110000,92585.27000000
2020-12-12 19:00:00,11.96170000,12.10000000,11.95050000,12.07110000,218763.50000000
2020-12-12 20:00:00,12.07240000,12.09800000,12.04700000,12.08130000,119945.36000000
2020-12-12 21:00:00,12.08490000,12.21800000,12.05250000,12.14530000,177135.11000000
2020-12-12 22:00:00,12.14600000,12.35290000,12.13250000,12.27880000,317594.25000000
2020-12-12 23:00:00,12.28370000,12.32030000,12.22290000,12.24770000,131771.61000000
2020-12-13 00:00:00,12.24900000,12.25430000,12.17610000,12.22590000,147195.31000000
2020-12-13 01:00:00,12.22800000,12.43090000,12.12830000,12.15720000,257527.45000000
2020-12-13 02:00:00,12.15960000,12.19270000,12.11100000,12.13400000,95398.09000000
2020-12-13 03:00:00,12.13440000,12.14930000,12.07020000,12.12900000,83639.11000000
2020-12-13 04:00:00,12.12520000,12.13750000,12.02100000,12.06960000,139276.49000000
2020-12-13 05:00:00,12.07010000,12.13100000,12.03760000,12.09960000,120601.11000000
2020-12-13 06:00:00,12.09990000,12.16260000,12.09430000,12.10920000,99261.45000000
2020-12-13 07:00:00,12.11160000,12.26380000,12.11160000,12.24390000,154424.11000000
2020-12-13 08:00:00,12.24320000,12.41470000,12.24320000,12.39280000,335779.96000000
2020-12-13 09:00:00,12.39460000,12.52600000,12.38720000,12.50280000,315579.21000000
2020-12-13 10:00:00,12.50190000,12.60000000,12.41450000,12.58580000,282532.67000000
2020-12-13 11:00:00,12.58650000,12.69400000,12.55110000,12.60980000,288539.38000000
2020-12-13 12:00:00,12.60990000,12.64510000,12.52580000,12.62470000,254446.66000000
2020-12-13 13:00:00,12.62380000,12.68520000,12.58110000,12.63980000,197293.97000000
2020-12-13 14:00:00,12.64460000,12.65000000,12.56460000,12.60390000,193950.15000000
2020-12-13 15:00:00,12.60390000,12.60390000,12.50450000,12.54410000,154769.33000000
2020-12-13 16:00:00,12.54430000,12.59510000,12.48560000,12.59320000,264548.02000000
