datetime,o,h,l,c,v
2020-12-12 01:00:00,0.16663000,0.17459000,0.16651000,0.17409000,499801.70000000
2020-12-12 02:00:00,0.17389000,0.17419000,0.17174000,0.17197000,146865.70000000
2020-12-12 03:00:00,0.17197000,0.17399000,0.17088000,0.17313000,436907.20000000
2020-12-12 04:00:00,0.17308000,0.17516000,0.17185000,0.17477000,766911.60000000
2020-12-12 05:00:00,0.17490000,0.17617000,0.17370000,0.17586000,275292.10000000
2020-12-12 06:00:00,0.17594000,0.17594000,0.17367000,0.17367000,110434.50000000
2020-12-12 07:00:00,0.17373000,0.17473000,0.17315000,0.17330000,244152.60000000
2020-12-12 08:00:00,0.17333000,0.17475000,0.17324000,0.17443000,132529.10000000
2020-12-12 09:00:00,0.17434000,0.17472000,0.17366000,0.17403000,193165.60000000
2020-12-12 10:00:00,0.17413000,0.17419000,0.17321000,0.17321000,58903.50000000
2020-12-12 11:00:00,0.17376000,0.17416000,0.17275000,0.17316000,116850.50000000
2020-12-12 12:00:00,0.17333000,0.17483000,0.17333000,0.17442000,107453.60000000
2020-12-12 13:00:00,0.17431000,0.17478000,0.17391000,0.17436000,114302.10000000
2020-12-12 14:00:00,0.17440000,0.17451000,0.17298000,0.17334000,87377.70000000
2020-12-12 15:00:00,0.17316000,0.17345000,0.17106000,0.17182000,110253.30000000
2020-12-12 16:00:00,0.17158000,0.17176000,0.17068000,0.17155000,204811.20000000
2020-12-12 17:00:00,0.17166000,0.17250000,0.17132000,0.17162000,61465.70000000
2020-12-12 18:00:00,0.17188000,0.17281000,0.17126000,0.17254000,86175.70000000
2020-12-12 19:00:00,0.17260000,0.17421000,0.17235000,0.17388000,172992.80000000
2020-12-12 20:00:00,0.17377000,0.17464000,0.17346000,0.17451000,123887.20000000
2020-12-12 21:00:00,0.17474000,0.17591000,0.17450000,0.17554000,80074.10000000
2020-12-12 22:00:00,0.17562000,0.17989000,0.17562000,0.17945000,712573.10000000
2020-12-12 23:00:00,0.17958000,0.18452000,0.17929000,0.18097000,1428658.20000000
2020-12-13 00:00:00,0.18093000,0.18125000,0.17789000,0.17824000,310509.50000000
2020-12-13 01:00:00,0.17832000,0.17964000,0.17605000,0.17622000,223334.10000000
2020-12-13 02:00:00,0.17617000,0.17788000,0.17571000,0.17770000,89470.20000000
2020-12-13 03:00:00,0.17730000,0.17731000,0.17519000,0.17580000,181061.60000000
2020-12-13 04:00:00,0.17575000,0.17597000,0.17436000,0.17468000,66868.40000000
2020-12-13 05:00:00,0.17469000,0.17628000,0.17452000,0.17605000,38102.80000000
2020-12-13 06:00:00,0.17608000,0.17660000,0.17601000,0.17646000,57810.30000000
2020-12-13 07:00:00,0.17642000,0.17873000,0.17634000,0.17839000,86778.00000000
2020-12-13 08:00:00,0.17861000,0.18022000,0.17851000,0.17988000,137101.20000000
2020-12-13 09:00:00,0.18023000,0.18177000,0.18014000,0.18169000,130631.50000000
2020-12-13 10:00:00,0.18177000,0.18200000,0.18050000,0.18133000,161864.90000000
2020-12-13 11:00:00,0.18163000,0.18200000,0.18013000,0.18042000,216638.80000000
2020-12-13 12:00:00,0.18040000,0.18040000,0.17918000,0.17957000,113776.10000000
2020-12-13 13:00:00,0.17966000,0.18032000,0.17845000,0.17887000,463616.80000000
2020-12-13 14:00:00,0.17900000,0.18002000,0.17821000,0.17842000,322338.80000000
2020-12-13 15:00:00,0.17842000,0.17846000,0.17750000,0.17794000,192048.70000000
2020-12-13 16:00:00,0.17798000,0.17857000,0.17528000,0.17615000,548977.20000000
2020-12-13 17:00:00,0.17622000,0.18000000,0.17622000,0.17962000,425895.90000000
2020-12-13 18:00:00,0.17972000,0.18000000,0.17907000,0.17988000,68837.90000000
2020-12-13 19:00:00,0.17949000,0.17966000,0.17906000,0.17912000,118591.80000000
2020-12-13 20:00:00,0.17912000,0.17963000,0.17890000,0.17911000,82302.50000000
2020-12-13 21:00:00,0.17929000,0.17929000,0.17730000,0.17816000,121020.20000000
2020-12-13 22:00:00,0.17821000,0.17923000,0.17821000,0.17857000,75248.50000000
2020-12-13 23:00:00,0.17917000,0.17921000,0.17584000,0.17775000,122413.30000000
2020-12-14 00:00:00,0.17764000,0.17864000,0.17650000,0.17799000,237238.10000000
2020-12-14 01:00:00,0.17761000,0.17796000,0.17501000,0.17527000,370498.80000000
2020-12-14 02:00:00,0.17520000,0.17640000,0.17500000,0.17585000,259115.00000000
2020-12-14 03:00:00,0.17571000,0.17642000,0.17500000,0.17552000,137138.30000000
2020-12-14 04:00:00,0.17556000,0.17644000,0.17532000,0.17589000,145009.00000000
2020-12-14 05:00:00,0.17593000,0.17609000,0.17441000,0.17477000,192790.00000000
2020-12-14 06:00:00,0.17490000,0.17492000,0.17348000,0.17430000,64546.00000000
2020-12-14 07:00:00,0.17465000,0.17661000,0.17465000,0.17569000,200796.90000000
2020-12-14 08:00:00,0.17556000,0.17556000,0.17437000,0.17449000,66061.80000000
2020-12-14 09:00:00,0.17506000,0.17589000,0.17475000,0.17588000,129655.60000000
2020-12-14 10:00:00,0.17589000,0.17648000,0.17556000,0.17585000,332620.30000000
2020-12-14 11:00:00,0.17615000,0.17682000,0.17383000,0.17396000,128747.00000000
2020-12-14 12:00:00,0.17390000,0.17449000,0.17269000,0.17380000,156892.10000000
2020-12-14 13:00:00,0.17410000,0.17503000,0.17318000,0.17371000,113818.30000000
2020-12-14 14:00:00,0.17402000,0.17550000,0.17294000,0.17520000,125343.80000000
2020-12-14 15:00:00,0.17503000,0.17530000,0.17384000,0.17515000,245011.70000000
2020-12-14 16:00:00,0.17530000,0.17785000,0.17522000,0.17669000,478617.80000000
2020-12-14 17:00:00,0.17670000,0.17693000,0.17505000,0.17554000,125309.80000000
2020-12-14 18:00:00,0.17581000,0.17581000,0.17458000,0.17516000,117563.40000000
2020-12-14 19:00:00,0.17535000,0.17561000,0.17483000,0.17550000,46711.00000000
2020-12-14 20:00:00,0.17584000,0.17584000,0.17476000,0.17499000,83059.00000000
2020-12-14 21:00:00,0.17477000,0.17581000,0.17400000,0.17559000,68197.50000000
2020-12-14 22:00:00,0.17560000,0.17662000,0.17423000,0.17597000,131378.00000000
2020-12-14 23:00:00,0.17546000,0.17656000,0.17532000,0.17607000,105195.30000000
2020-12-15 00:00:00,0.17621000,0.17742000,0.17511000,0.17731000,189684.50000000
2020-12-15 01:00:00,0.17731000,0.17882000,0.17731000,0.17830000,190889.10000000
2020-12-15 02:00:00,0.17824000,0.17844000,0.17769000,0.17819000,83346.40000000
2020-12-15 03:00:00,0.17823000,0.17963000,0.17793000,0.17846000,218002.30000000
2020-12-15 04:00:00,0.17842000,0.17875000,0.17776000,0.17838000,129926.60000000
2020-12-15 05:00:00,0.17857000,0.17860000,0.17575000,0.17575000,392484.40000000
2020-12-15 06:00:00,0.17591000,0.17627000,0.17417000,0.17512000,322811.90000000
2020-12-15 07:00:00,0.17517000,0.17595000,0.17502000,0.17591000,60077.60000000
2020-12-15 08:00:00,0.17591000,0.17670000,0.17591000,0.17662000,25491.20000000
2020-12-15 09:00:00,0.17663000,0.17762000,0.17610000,0.17680000,186410.70000000
2020-12-15 10:00:00,0.17688000,0.17688000,0.17472000,0.17650000,130515.80000000
2020-12-15 11:00:00,0.17627000,0.17803000,0.17580000,0.17792000,96249.60000000
2020-12-15 12:00:00,0.17782000,0.17782000,0.17698000,0.17710000,172272.00000000
2020-12-15 13:00:00,0.17710000,0.17801000,0.17669000,0.17724000,65728.60000000
2020-12-15 14:00:00,0.17720000,0.17772000,0.17720000,0.17750000,53972.80000000
2020-12-15 15:00:00,0.17754000,0.17786000,0.17552000,0.17600000,153184.30000000
2020-12-15 16:00:00,0.17594000,0.17661000,0.17566000,0.17600000,154630.00000000
2020-12-15 17:00:00,0.17599000,0.17630000,0.17357000,0.17439000,937067.80000000
2020-12-15 18:00:00,0.17442000,0.17498000,0.17378000,0.17405000,326906.90000000
2020-12-15 19:00:00,0.17396000,0.17450000,0.17320000,0.17339000,229659.70000000
