datetime,o,h,l,c,v
2020-12-12 01:00:00,72.20000000,75.27000000,71.97000000,75.07000000,101826.24803000
2020-12-12 02:00:00,75.08000000,75.29000000,74.30000000,74.31000000,47158.39725000
2020-12-12 03:00:00,74.31000000,75.17000000,74.30000000,74.82000000,37222.74258000
2020-12-12 04:00:00,74.82000000,74.89000000,74.54000000,74.75000000,24083.09091000
2020-12-12 05:00:00,74.71000000,75.48000000,74.40000000,75.32000000,42457.25574000
2020-12-12 06:00:00,75.33000000,75.51000000,74.65000000,74.73000000,44937.91061000
2020-12-12 07:00:00,74.72000000,75.20000000,74.60000000,75.06000000,23410.37189000
2020-12-12 08:00:00,75.05000000,75.68000000,74.93000000,75.54000000,44624.03308000
2020-12-12 09:00:00,75.52000000,75.73000000,74.96000000,75.16000000,28305.20068000
2020-12-12 10:00:00,75.16000000,75.55000000,74.97000000,75.17000000,33748.86466000
2020-12-12 11:00:00,75.20000000,75.49000000,74.66000000,74.80000000,26771.20274000
2020-12-12 12:00:00,74.76000000,76.00000000,74.65000000,75.74000000,38660.65974000
2020-12-12 13:00:00,75.77000000,75.81000000,75.07000000,75.17000000,27499.96664000
2020-12-12 14:00:00,75.17000000,75.28000000,74.89000000,74.99000000,22319.73022000
2020-12-12 15:00:00,74.99000000,75.44000000,74.39000000,74.79000000,37152.93130000
2020-12-12 16:00:00,74.80000000,75.10000000,74.41000000,74.90000000,23181.41693000
2020-12-12 17:00:00,74.90000000,75.82000000,74.87000000,75.43000000,45697.74152000
2020-12-12 18:00:00,75.42000000,76.25000000,75.25000000,75.95000000,33136.28999000
2020-12-12 19:00:00,75.96000000,76.84000000,75.92000000,76.49000000,50054.00198000
2020-12-12 20:00:00,76.50000000,77.00000000,76.30000000,76.77000000,37657.37976000
2020-12-12 21:00:00,76.77000000,76.94000000,76.45000000,76.86000000,16955.32180000
2020-12-12 22:00:00,76.86000000,77.58000000,76.73000000,76.87000000,37579.64119000
2020-12-12 23:00:00,76.87000000,77.42000000,76.80000000,76.87000000,20438.06287000
2020-12-13 00:00:00,76.85000000,77.05000000,76.50000000,76.67000000,27515.66673000
2020-12-13 01:00:00,76.64000000,77.00000000,75.78000000,76.09000000,31812.22735000
2020-12-13 02:00:00,76.09000000,76.45000000,75.93000000,76.13000000,14988.65489000
2020-12-13 03:00:00,76.12000000,76.20000000,75.64000000,76.14000000,17391.64359000
2020-12-13 04:00:00,76.14000000,76.32000000,75.65000000,75.80000000,21870.56017000
2020-12-13 05:00:00,75.83000000,76.33000000,75.52000000,75.89000000,21457.36678000
2020-12-13 06:00:00,75.90000000,76.55000000,75.86000000,76.14000000,25873.33697000
2020-12-13 07:00:00,76.13000000,77.14000000,76.11000000,77.00000000,32447.12996000
