datetime,o,h,l,c,v
2020-12-12 01:00:00,0.46380000,0.47160000,0.46150000,0.47160000,126189.24000000
2020-12-12 02:00:00,0.47160000,0.47240000,0.46760000,0.46820000,134317.87000000
2020-12-12 03:00:00,0.46820000,0.46890000,0.46660000,0.46760000,95197.58000000
2020-12-12 04:00:00,0.46760000,0.47300000,0.46740000,0.47250000,165360.98000000
2020-12-12 05:00:00,0.47250000,0.48900000,0.47180000,0.47760000,170779.45000000
2020-12-12 06:00:00,0.47760000,0.48050000,0.47630000,0.47640000,165932.25000000
2020-12-12 07:00:00,0.47640000,0.47730000,0.47580000,0.47730000,21644.31000000
2020-12-12 08:00:00,0.47740000,0.48060000,0.47620000,0.48030000,153404.93000000
2020-12-12 09:00:00,0.48020000,0.48040000,0.47690000,0.47730000,51835.48000000
2020-12-12 10:00:00,0.47710000,0.47990000,0.47660000,0.47860000,65316.33000000
2020-12-12 11:00:00,0.47830000,0.47850000,0.47560000,0.47620000,52976.69000000
2020-12-12 12:00:00,0.47620000,0.47690000,0.47000000,0.47320000,177697.14000000
2020-12-12 13:00:00,0.47330000,0.47450000,0.47060000,0.47370000,80932.76000000
2020-12-12 14:00:00,0.47370000,0.47380000,0.47270000,0.47360000,15346.82000000
2020-12-12 15:00:00,0.47350000,0.47460000,0.47140000,0.47140000,30401.03000000
2020-12-12 16:00:00,0.47140000,0.47140000,0.46970000,0.46990000,45409.70000000
2020-12-12 17:00:00,0.47020000,0.47070000,0.47000000,0.47050000,10968.02000000
2020-12-12 18:00:00,0.47070000,0.47120000,0.46890000,0.47060000,108297.48000000
2020-12-12 19:00:00,0.47050000,0.47870000,0.46990000,0.47780000,194157.93000000
2020-12-12 20:00:00,0.47790000,0.48700000,0.47670000,0.48670000,252213.02000000
2020-12-12 21:00:00,0.48680000,0.48680000,0.48430000,0.48550000,26208.20000000
2020-12-12 22:00:00,0.48540000,0.48900000,0.48450000,0.48570000,113545.69000000
2020-12-12 23:00:00,0.48550000,0.48550000,0.48310000,0.48410000,44674.83000000
2020-12-13 00:00:00,0.48390000,0.48440000,0.48200000,0.48240000,20715.26000000
2020-12-13 01:00:00,0.48260000,0.48280000,0.48010000,0.48010000,27974.44000000
2020-12-13 02:00:00,0.48010000,0.48070000,0.47850000,0.47980000,29662.20000000
2020-12-13 03:00:00,0.47970000,0.47970000,0.47930000,0.47930000,4697.19000000
2020-12-13 04:00:00,0.47900000,0.48450000,0.47900000,0.48150000,267883.84000000
2020-12-13 05:00:00,0.48130000,0.48170000,0.48060000,0.48070000,25927.48000000
2020-12-13 06:00:00,0.48120000,0.48170000,0.48060000,0.48070000,11809.41000000
2020-12-13 07:00:00,0.48100000,0.48140000,0.47960000,0.48140000,48729.31000000
2020-12-13 08:00:00,0.48080000,0.48280000,0.47990000,0.48170000,74785.99000000
2020-12-13 09:00:00,0.48170000,0.48260000,0.47820000,0.47840000,92470.82000000
2020-12-13 10:00:00,0.47840000,0.48330000,0.47580000,0.47870000,388385.95000000
2020-12-13 11:00:00,0.47890000,0.48090000,0.47760000,0.47760000,103440.32000000
2020-12-13 12:00:00,0.47760000,0.47890000,0.47470000,0.47620000,94256.68000000
2020-12-13 13:00:00,0.47650000,0.47790000,0.47570000,0.47680000,63843.82000000
2020-12-13 14:00:00,0.47720000,0.47810000,0.47580000,0.47750000,73013.24000000
2020-12-13 15:00:00,0.47710000,0.47950000,0.47460000,0.47950000,195338.79000000
2020-12-13 16:00:00,0.47950000,0.47950000,0.47530000,0.47580000,80061.01000000
2020-12-13 17:00:00,0.47600000,0.48300000,0.47600000,0.48170000,172819.76000000
2020-12-13 18:00:00,0.48160000,0.48230000,0.48050000,0.48100000,39406.66000000
2020-12-13 19:00:00,0.48110000,0.48120000,0.47970000,0.47990000,17168.28000000
2020-12-13 20:00:00,0.48000000,0.48230000,0.47960000,0.48040000,68573.41000000
2020-12-13 21:00:00,0.48020000,0.48020000,0.47830000,0.47860000,18604.84000000
2020-12-13 22:00:00,0.47880000,0.48380000,0.47870000,0.48260000,116310.46000000
2020-12-13 23:00:00,0.48260000,0.49500000,0.47810000,0.48170000,192416.89000000
2020-12-14 00:00:00,0.48240000,0.48280000,0.47940000,0.48030000,33692.69000000
2020-12-14 01:00:00,0.48070000,0.48090000,0.47820000,0.47870000,44829.57000000
2020-12-14 02:00:00,0.47850000,0.47870000,0.47200000,0.47310000,265007.55000000
2020-12-14 03:00:00,0.47300000,0.47560000,0.47300000,0.47560000,49431.52000000
2020-12-14 04:00:00,0.47560000,0.47620000,0.47500000,0.47570000,23043.53000000
2020-12-14 05:00:00,0.47570000,0.47570000,0.47220000,0.47360000,54746.42000000
2020-12-14 06:00:00,0.47360000,0.47820000,0.47290000,0.47800000,149311.90000000
2020-12-14 07:00:00,0.47830000,0.48070000,0.47800000,0.48020000,104383.68000000
2020-12-14 08:00:00,0.47990000,0.47990000,0.47750000,0.47790000,70243.29000000
2020-12-14 09:00:00,0.47780000,0.48140000,0.47590000,0.48060000,192682.50000000
2020-12-14 10:00:00,0.48060000,0.48100000,0.47820000,0.47920000,77433.01000000
2020-12-14 11:00:00,0.47930000,0.48170000,0.47000000,0.47510000,200189.67000000
2020-12-14 12:00:00,0.47560000,0.47560000,0.47400000,0.47470000,31502.32000000
2020-12-14 13:00:00,0.47500000,0.47500000,0.47140000,0.47300000,134964.36000000
2020-12-14 14:00:00,0.47270000,0.47470000,0.47270000,0.47430000,41312.54000000
2020-12-14 15:00:00,0.47430000,0.47470000,0.47290000,0.47470000,25038.19000000
2020-12-14 16:00:00,0.47470000,0.47610000,0.47410000,0.47480000,76417.92000000
2020-12-14 17:00:00,0.47500000,0.47530000,0.47110000,0.47160000,146119.27000000
2020-12-14 18:00:00,0.47160000,0.47170000,0.46940000,0.47040000,110512.35000000
2020-12-14 19:00:00,0.47070000,0.47380000,0.47060000,0.47350000,49763.63000000
2020-12-14 20:00:00,0.47310000,0.47320000,0.46910000,0.46990000,55830.29000000
2020-12-14 21:00:00,0.47000000,0.47460000,0.46990000,0.47400000,56400.69000000
2020-12-14 22:00:00,0.47450000,0.47690000,0.47010000,0.47080000,98874.75000000
2020-12-14 23:00:00,0.47100000,0.47350000,0.47100000,0.47350000,14193.27000000
2020-12-15 00:00:00,0.47350000,0.47430000,0.47230000,0.47280000,27076.88000000
2020-12-15 01:00:00,0.47260000,0.47460000,0.47260000,0.47370000,15761.01000000
2020-12-15 02:00:00,0.47350000,0.47420000,0.47030000,0.47400000,96781.84000000
2020-12-15 03:00:00,0.47450000,0.47710000,0.47400000,0.47540000,88395.44000000
2020-12-15 04:00:00,0.47520000,0.47620000,0.47490000,0.47500000,23604.92000000
2020-12-15 05:00:00,0.47490000,0.47490000,0.47220000,0.47270000,56051.86000000
2020-12-15 06:00:00,0.47270000,0.47300000,0.47110000,0.47190000,29327.52000000
2020-12-15 07:00:00,0.47190000,0.47380000,0.47150000,0.47260000,41221.95000000
2020-12-15 08:00:00,0.47270000,0.47290000,0.47210000,0.47270000,16046.48000000
2020-12-15 09:00:00,0.47250000,0.47270000,0.47080000,0.47110000,39137.62000000
2020-12-15 10:00:00,0.47080000,0.47130000,0.47000000,0.47100000,22214.03000000
2020-12-15 11:00:00,0.47120000,0.47240000,0.47000000,0.47160000,103861.60000000
2020-12-15 12:00:00,0.47110000,0.47180000,0.47070000,0.47170000,21174.68000000
2020-12-15 13:00:00,0.47170000,0.47180000,0.46970000,0.47040000,37335.07000000
2020-12-15 14:00:00,0.47020000,0.47140000,0.46800000,0.47110000,35733.64000000
2020-12-15 15:00:00,0.47140000,0.47180000,0.46950000,0.47000000,44631.33000000
2020-12-15 16:00:00,0.47000000,0.47080000,0.46950000,0.47080000,71268.32000000
2020-12-15 17:00:00,0.47040000,0.47040000,0.46840000,0.46970000,16566.90000000
2020-12-15 18:00:00,0.46970000,0.47000000,0.46830000,0.46970000,36818.31000000
2020-12-15 19:00:00,0.46910000,0.47000000,0.46660000,0.47000000,88926.74000000
2020-12-15 20:00:00,0.47000000,0.47240000,0.47000000,0.47150000,59609.38000000
2020-12-15 21:00:00,0.47170000,0.47500000,0.47160000,0.47370000,103746.69000000
2020-12-15 22:00:00,0.47370000,0.47370000,0.47100000,0.47130000,42831.25000000
2020-12-15 23:00:00,0.47190000,0.47510000,0.47110000,0.47440000,32409.29000000
2020-12-16 00:00:00,0.47440000,0.47960000,0.47440000,0.47960000,130337.66000000
2020-12-16 01:00:00,0.47960000,0.48490000,0.47870000,0.48370000,178844.45000000
2020-12-16 02:00:00,0.48370000,0.49120000,0.48260000,0.49100000,418899.19000000
2020-12-16 03:00:00,0.49100000,0.51770000,0.49100000,0.51720000,1500569.73000000
2020-12-16 04:00:00,0.51720000,0.53000000,0.51380000,0.51410000,1970690.04000000
2020-12-16 05:00:00,0.51370000,0.51370000,0.51080000,0.51330000,112911.40000000
2020-12-16 06:00:00,0.51310000,0.51560000,0.51090000,0.51090000,69874.76000000
2020-12-16 07:00:00,0.51150000,0.51300000,0.51110000,0.51270000,36902.66000000
2020-12-16 08:00:00,0.51280000,0.51440000,0.51230000,0.51280000,42859.79000000
