datetime,o,h,l,c,v
2020-12-12 01:00:00,0.07867000,0.08162000,0.07865000,0.08135000,594161.30000000
2020-12-12 02:00:00,0.08140000,0.08179000,0.08101000,0.08149000,296653.30000000
2020-12-12 03:00:00,0.08141000,0.08152000,0.08115000,0.08130000,124441.00000000
2020-12-12 04:00:00,0.08130000,0.08192000,0.08121000,0.08192000,218759.20000000
2020-12-12 05:00:00,0.08192000,0.08209000,0.08154000,0.08190000,195365.30000000
2020-12-12 06:00:00,0.08191000,0.08215000,0.08183000,0.08215000,166271.00000000
2020-12-12 07:00:00,0.08213000,0.08291000,0.08213000,0.08219000,413611.30000000
2020-12-12 08:00:00,0.08221000,0.08251000,0.08204000,0.08224000,64919.00000000
2020-12-12 09:00:00,0.08230000,0.08250000,0.08160000,0.08171000,231417.40000000
2020-12-12 10:00:00,0.08189000,0.08210000,0.08172000,0.08192000,56143.20000000
2020-12-12 11:00:00,0.08202000,0.08202000,0.08149000,0.08192000,120209.30000000
2020-12-12 12:00:00,0.08192000,0.08237000,0.08192000,0.08232000,31113.00000000
2020-12-12 13:00:00,0.08238000,0.08249000,0.08199000,0.08233000,80746.80000000
2020-12-12 14:00:00,0.08235000,0.08235000,0.08154000,0.08193000,167511.60000000
2020-12-12 15:00:00,0.08193000,0.08203000,0.08134000,0.08162000,142562.10000000
2020-12-12 16:00:00,0.08145000,0.08145000,0.08074000,0.08127000,365867.20000000
2020-12-12 17:00:00,0.08125000,0.08126000,0.08101000,0.08117000,55444.10000000
2020-12-12 18:00:00,0.08120000,0.08173000,0.08099000,0.08155000,86690.80000000
2020-12-12 19:00:00,0.08159000,0.08223000,0.08133000,0.08207000,344059.20000000
2020-12-12 20:00:00,0.08222000,0.08293000,0.08220000,0.08262000,310905.10000000
2020-12-12 21:00:00,0.08262000,0.08280000,0.08235000,0.08269000,196992.70000000
2020-12-12 22:00:00,0.08277000,0.08283000,0.08230000,0.08272000,194119.80000000
2020-12-12 23:00:00,0.08279000,0.08284000,0.08235000,0.08258000,168719.50000000
2020-12-13 00:00:00,0.08273000,0.08326000,0.08206000,0.08212000,349924.90000000
2020-12-13 01:00:00,0.08229000,0.08297000,0.08205000,0.08291000,179650.80000000
2020-12-13 02:00:00,0.08306000,0.08404000,0.08306000,0.08385000,346953.40000000
2020-12-13 03:00:00,0.08387000,0.08394000,0.08335000,0.08335000,253715.70000000
2020-12-13 04:00:00,0.08346000,0.08373000,0.08298000,0.08362000,336213.70000000
2020-12-13 05:00:00,0.08363000,0.08461000,0.08331000,0.08447000,405127.70000000
2020-12-13 06:00:00,0.08442000,0.08515000,0.08442000,0.08479000,499195.70000000
2020-12-13 07:00:00,0.08486000,0.08517000,0.08451000,0.08504000,556817.10000000
2020-12-13 08:00:00,0.08513000,0.08537000,0.08490000,0.08537000,482404.60000000
2020-12-13 09:00:00,0.08537000,0.08553000,0.08484000,0.08524000,363572.50000000
2020-12-13 10:00:00,0.08515000,0.08549000,0.08482000,0.08540000,234405.80000000
2020-12-13 11:00:00,0.08537000,0.08564000,0.08479000,0.08489000,292314.90000000
2020-12-13 12:00:00,0.08500000,0.08524000,0.08449000,0.08512000,270672.60000000
2020-12-13 13:00:00,0.08498000,0.08533000,0.08420000,0.08442000,671680.20000000
