datetime,o,h,l,c,v
2021-08-19 10:00:00,1.96900000,4.39000000,1.96900000,3.25700000,13057341.90000000
2021-08-19 11:00:00,3.25300000,4.23400000,3.25200000,3.86200000,9730510.70000000
2021-08-19 12:00:00,3.86700000,5.87000000,3.86700000,5.36800000,23794469.10000000
2021-08-19 13:00:00,5.37200000,5.86000000,4.70000000,4.83200000,13910467.90000000
2021-08-19 14:00:00,4.83100000,5.04200000,4.41800000,4.59700000,6133990.30000000
2021-08-19 15:00:00,4.60600000,5.03600000,4.50000000,4.68300000,5691356.00000000
2021-08-19 16:00:00,4.68300000,4.68500000,4.14000000,4.32000000,4249127.20000000
2021-08-19 17:00:00,4.31900000,4.55600000,4.13400000,4.50400000,3279689.90000000
2021-08-19 18:00:00,4.50500000,5.15000000,4.41000000,4.86200000,7336185.80000000
2021-08-19 19:00:00,4.85600000,4.86000000,4.52100000,4.69700000,2303140.90000000
2021-08-19 20:00:00,4.69700000,4.84000000,4.46300000,4.59500000,1590344.70000000
2021-08-19 21:00:00,4.59700000,4.70000000,4.44000000,4.54100000,1229920.70000000
2021-08-19 22:00:00,4.54500000,4.57800000,4.32300000,4.42500000,897303.20000000
2021-08-19 23:00:00,4.42600000,4.49000000,4.21200000,4.42900000,1117537.90000000
2021-08-20 00:00:00,4.43100000,4.98000000,4.36000000,4.85100000,2824352.20000000
2021-08-20 01:00:00,4.85000000,4.86600000,4.52000000,4.67400000,1995236.40000000
2021-08-20 02:00:00,4.67500000,4.80000000,4.47700000,4.59400000,1058000.60000000
2021-08-20 03:00:00,4.59300000,5.33000000,4.54000000,5.08800000,4111740.80000000
2021-08-20 04:00:00,5.09200000,5.33000000,4.95000000,5.02600000,2443060.80000000
2021-08-20 05:00:00,5.03600000,5.23900000,4.90100000,4.96100000,1691321.40000000
2021-08-20 06:00:00,4.96200000,4.98500000,4.64900000,4.83400000,1681512.70000000
2021-08-20 07:00:00,4.83400000,4.84400000,4.50100000,4.58600000,1365855.80000000
2021-08-20 08:00:00,4.58700000,4.67100000,4.38600000,4.67100000,1942504.70000000
2021-08-20 09:00:00,4.67200000,4.71000000,4.50000000,4.60100000,1211234.10000000
2021-08-20 10:00:00,4.60000000,4.60000000,4.42000000,4.50400000,1036325.50000000
2021-08-20 11:00:00,4.50900000,4.63100000,4.40700000,4.43500000,928596.90000000
2021-08-20 12:00:00,4.43700000,4.47200000,4.24000000,4.37200000,1473415.10000000
2021-08-20 13:00:00,4.37100000,4.45800000,4.29100000,4.41000000,725792.90000000
2021-08-20 14:00:00,4.41100000,4.43800000,4.24000000,4.29200000,631384.90000000
2021-08-20 15:00:00,4.29200000,4.34600000,4.25000000,4.32100000,584047.80000000
2021-08-20 16:00:00,4.32100000,4.50900000,4.32000000,4.40500000,1027030.80000000
2021-08-20 17:00:00,4.40300000,4.42500000,4.30700000,4.35000000,350393.00000000
2021-08-20 18:00:00,4.34900000,4.49000000,4.34900000,4.41800000,535425.40000000
2021-08-20 19:00:00,4.41200000,4.45600000,4.37000000,4.40200000,307400.20000000
2021-08-20 20:00:00,4.40200000,4.42500000,4.33000000,4.34100000,242640.60000000
2021-08-20 21:00:00,4.34200000,4.38300000,4.30000000,4.33200000,200928.80000000
2021-08-20 22:00:00,4.32800000,4.40600000,4.30200000,4.38500000,153280.50000000
2021-08-20 23:00:00,4.38500000,4.50000000,4.38300000,4.48400000,472366.10000000
2021-08-21 00:00:00,4.48400000,4.48500000,4.38600000,4.39000000,204814.30000000
2021-08-21 01:00:00,4.39000000,4.40500000,4.27700000,4.34500000,374001.60000000
2021-08-21 02:00:00,4.34500000,4.34800000,4.18500000,4.22500000,401566.50000000
2021-08-21 03:00:00,4.21900000,4.37900000,4.10700000,4.31700000,553260.50000000
2021-08-21 04:00:00,4.31700000,4.31800000,4.14800000,4.19100000,412895.60000000
2021-08-21 05:00:00,4.19100000,4.19900000,4.03000000,4.07100000,477118.20000000
2021-08-21 06:00:00,4.07100000,4.07600000,3.92700000,3.94300000,559412.60000000
2021-08-21 07:00:00,3.94300000,4.02700000,3.90000000,3.94000000,554040.40000000
2021-08-21 08:00:00,3.94000000,4.15000000,3.93600000,4.09300000,763921.50000000
2021-08-21 09:00:00,4.09200000,4.22800000,4.08700000,4.10900000,592042.30000000
2021-08-21 10:00:00,4.10400000,4.13200000,3.94000000,4.01100000,545291.10000000
2021-08-21 11:00:00,4.01100000,4.12700000,3.99800000,4.01000000,269696.10000000
2021-08-21 12:00:00,4.00900000,4.05000000,3.95000000,4.04300000,398201.30000000
2021-08-21 13:00:00,4.04000000,4.06500000,3.88500000,3.90000000,322477.10000000
2021-08-21 14:00:00,3.90000000,3.97000000,3.85100000,3.92800000,383255.70000000
2021-08-21 15:00:00,3.92900000,4.02200000,3.92600000,3.98000000,214547.30000000
2021-08-21 16:00:00,3.98000000,4.00100000,3.91200000,3.93100000,215686.00000000
2021-08-21 17:00:00,3.93100000,3.96900000,3.83900000,3.91500000,353754.30000000
2021-08-21 18:00:00,3.91700000,3.98400000,3.87400000,3.95700000,203876.40000000
2021-08-21 19:00:00,3.95200000,3.95200000,3.77600000,3.86400000,294054.90000000
2021-08-21 20:00:00,3.86400000,3.87000000,3.75400000,3.81000000,267115.30000000
2021-08-21 21:00:00,3.81200000,3.81900000,3.77000000,3.77900000,132438.00000000
2021-08-21 22:00:00,3.77400000,3.85700000,3.77000000,3.85500000,195072.00000000
2021-08-21 23:00:00,3.85000000,3.91500000,3.79100000,3.83300000,217189.30000000
2021-08-22 00:00:00,3.83100000,3.94400000,3.79600000,3.90700000,250558.90000000
2021-08-22 01:00:00,3.90700000,4.08000000,3.82700000,3.85200000,489162.50000000
2021-08-22 02:00:00,3.85200000,3.86900000,3.80000000,3.82700000,172130.30000000
2021-08-22 03:00:00,3.82700000,3.96200000,3.77800000,3.92900000,190025.70000000
2021-08-22 04:00:00,3.92900000,4.25900000,3.92900000,4.25000000,1041870.00000000
2021-08-22 05:00:00,4.25000000,4.25000000,3.95100000,4.09000000,559135.50000000
2021-08-22 06:00:00,4.09000000,4.19800000,4.00100000,4.16300000,299797.80000000
2021-08-22 07:00:00,4.16400000,4.69900000,4.13000000,4.60800000,2213791.30000000
2021-08-22 08:00:00,4.60800000,4.80000000,4.40700000,4.44900000,2363207.50000000
2021-08-22 09:00:00,4.44200000,4.45200000,4.27100000,4.35000000,1101792.40000000
2021-08-22 10:00:00,4.35400000,4.37100000,4.20500000,4.29400000,691287.10000000
2021-08-22 11:00:00,4.29400000,4.34800000,4.18700000,4.30100000,480970.60000000
2021-08-22 12:00:00,4.30400000,4.33000000,4.16100000,4.23900000,571012.10000000
2021-08-22 13:00:00,4.24000000,4.31000000,4.17100000,4.23800000,553695.20000000
2021-08-22 14:00:00,4.23800000,4.34500000,4.17900000,4.18000000,626017.50000000
2021-08-22 15:00:00,4.17900000,4.21600000,4.10100000,4.20200000,449376.60000000
2021-08-22 16:00:00,4.20300000,4.21000000,4.01700000,4.02700000,334254.00000000
2021-08-22 17:00:00,4.02900000,4.17900000,4.00500000,4.13900000,398594.20000000
2021-08-22 18:00:00,4.13900000,4.13900000,4.07100000,4.09600000,131280.10000000
2021-08-22 19:00:00,4.09500000,4.27500000,4.08100000,4.21100000,408545.10000000
2021-08-22 20:00:00,4.21700000,4.27600000,4.11800000,4.15000000,322320.70000000
2021-08-22 21:00:00,4.14800000,4.26000000,4.11400000,4.19100000,262036.50000000
2021-08-22 22:00:00,4.18500000,4.20500000,4.12500000,4.14900000,106020.90000000
2021-08-22 23:00:00,4.14900000,4.21600000,4.08100000,4.20400000,202224.20000000
2021-08-23 00:00:00,4.19500000,4.21000000,4.15000000,4.20000000,101091.00000000
2021-08-23 01:00:00,4.19900000,4.39600000,4.18400000,4.35000000,432720.40000000
2021-08-23 02:00:00,4.36200000,4.59000000,4.25700000,4.49900000,954736.70000000
2021-08-23 03:00:00,4.50200000,4.65000000,4.45300000,4.63700000,1032434.80000000
2021-08-23 04:00:00,4.63700000,4.64800000,4.34300000,4.36400000,843280.40000000
2021-08-23 05:00:00,4.36000000,4.51000000,4.35000000,4.41300000,421562.80000000
2021-08-23 06:00:00,4.41500000,4.65000000,4.38200000,4.60400000,484828.10000000
2021-08-23 07:00:00,4.60900000,4.75800000,4.53500000,4.55600000,1094392.90000000
2021-08-23 08:00:00,4.56200000,4.59000000,4.35000000,4.40900000,733881.60000000
2021-08-23 09:00:00,4.40700000,4.43000000,4.29000000,4.32200000,496066.30000000
2021-08-23 10:00:00,4.32100000,4.43800000,4.30100000,4.41000000,268304.10000000
2021-08-23 11:00:00,4.41600000,4.54300000,4.37400000,4.46300000,389872.00000000
2021-08-23 12:00:00,4.46100000,4.50000000,4.27000000,4.48000000,622422.50000000
2021-08-23 13:00:00,4.48200000,4.49000000,4.39300000,4.45100000,243213.00000000
2021-08-23 14:00:00,4.44900000,4.47100000,4.38400000,4.40600000,163838.70000000
2021-08-23 15:00:00,4.39900000,4.53800000,4.38000000,4.49800000,280571.80000000
2021-08-23 16:00:00,4.49800000,4.60000000,4.35500000,4.38500000,410095.60000000
2021-08-23 17:00:00,4.39900000,4.44900000,4.35800000,4.41400000,202093.70000000
2021-08-23 18:00:00,4.41500000,4.45000000,4.39900000,4.45000000,113517.10000000
2021-08-23 19:00:00,4.44900000,4.48000000,4.40100000,4.41700000,139064.70000000
2021-08-23 20:00:00,4.41600000,4.54300000,4.41300000,4.47200000,151977.90000000
2021-08-23 21:00:00,4.47200000,4.48100000,4.40000000,4.43100000,88988.60000000
2021-08-23 22:00:00,4.42900000,4.53100000,4.41100000,4.51100000,131626.30000000
2021-08-23 23:00:00,4.50700000,4.60000000,4.50100000,4.56400000,192431.20000000
2021-08-24 00:00:00,4.56300000,4.56800000,4.43800000,4.49900000,134982.80000000
