datetime,o,h,l,c,v
2020-12-12 01:00:00,0.86940000,0.90040000,0.86850000,0.89790000,682386.11000000
2020-12-12 02:00:00,0.89830000,0.90220000,0.89680000,0.90110000,64673.20000000
2020-12-12 03:00:00,0.90090000,0.90650000,0.90090000,0.90270000,88332.36000000
2020-12-12 04:00:00,0.90290000,0.91500000,0.90210000,0.91500000,140550.47000000
2020-12-12 05:00:00,0.91420000,0.91910000,0.91200000,0.91890000,72932.37000000
2020-12-12 06:00:00,0.91930000,0.92700000,0.90950000,0.91070000,212999.36000000
2020-12-12 07:00:00,0.91030000,0.91790000,0.91020000,0.91220000,46412.53000000
2020-12-12 08:00:00,0.91200000,0.91930000,0.91110000,0.91810000,70077.62000000
2020-12-12 09:00:00,0.91800000,0.91970000,0.91400000,0.91670000,65077.65000000
2020-12-12 10:00:00,0.91610000,0.92390000,0.91510000,0.91800000,131745.29000000
2020-12-12 11:00:00,0.91800000,0.91970000,0.90830000,0.91540000,204409.35000000
2020-12-12 12:00:00,0.91570000,0.92420000,0.91480000,0.92400000,54259.08000000
2020-12-12 13:00:00,0.92320000,0.92320000,0.91430000,0.91500000,107181.61000000
2020-12-12 14:00:00,0.91550000,0.91620000,0.90830000,0.90990000,77504.71000000
2020-12-12 15:00:00,0.90940000,0.90980000,0.89840000,0.90060000,91444.93000000
2020-12-12 16:00:00,0.90060000,0.90320000,0.89300000,0.90060000,68383.21000000
2020-12-12 17:00:00,0.90150000,0.90440000,0.89910000,0.89940000,23647.42000000
2020-12-12 18:00:00,0.89980000,0.90160000,0.89150000,0.89790000,109294.81000000
2020-12-12 19:00:00,0.90000000,0.90740000,0.89710000,0.90530000,120912.37000000
2020-12-12 20:00:00,0.90600000,0.90940000,0.90550000,0.90760000,54612.06000000
2020-12-12 21:00:00,0.90800000,0.90860000,0.90320000,0.90520000,53537.60000000
2020-12-12 22:00:00,0.90470000,0.91260000,0.90470000,0.91190000,76621.62000000
2020-12-12 23:00:00,0.91240000,0.92440000,0.91240000,0.92200000,122611.77000000
2020-12-13 00:00:00,0.92220000,0.92290000,0.91700000,0.91940000,73386.54000000
2020-12-13 01:00:00,0.91900000,0.93670000,0.91860000,0.93410000,199322.51000000
2020-12-13 02:00:00,0.93350000,0.96350000,0.93240000,0.95590000,350007.42000000
2020-12-13 03:00:00,0.95440000,0.95700000,0.94510000,0.95070000,135194.22000000
2020-12-13 04:00:00,0.94980000,0.95410000,0.94360000,0.94850000,82780.43000000
2020-12-13 05:00:00,0.94850000,0.94970000,0.94480000,0.94750000,52069.14000000
2020-12-13 06:00:00,0.94890000,0.96050000,0.94840000,0.95990000,60524.57000000
2020-12-13 07:00:00,0.96100000,0.97460000,0.96070000,0.97420000,107866.29000000
2020-12-13 08:00:00,0.97370000,0.97930000,0.96720000,0.97220000,174190.61000000
2020-12-13 09:00:00,0.97270000,0.97800000,0.95650000,0.95740000,208684.70000000
2020-12-13 10:00:00,0.95750000,0.96890000,0.95610000,0.96820000,102305.10000000
2020-12-13 11:00:00,0.96930000,0.97320000,0.96420000,0.96420000,96326.96000000
2020-12-13 12:00:00,0.96460000,0.96480000,0.96120000,0.96300000,40036.55000000
2020-12-13 13:00:00,0.96310000,0.96390000,0.95460000,0.95640000,132662.97000000
2020-12-13 14:00:00,0.95640000,0.96500000,0.95610000,0.95750000,95160.90000000
2020-12-13 15:00:00,0.95750000,0.95750000,0.95130000,0.95610000,77385.24000000
2020-12-13 16:00:00,0.95710000,0.95940000,0.94820000,0.95350000,117817.91000000
2020-12-13 17:00:00,0.95350000,0.97260000,0.95350000,0.97220000,82087.77000000
2020-12-13 18:00:00,0.97190000,0.97360000,0.96960000,0.97160000,50658.80000000
2020-12-13 19:00:00,0.97330000,0.97370000,0.96880000,0.97040000,21799.47000000
2020-12-13 20:00:00,0.97020000,0.97160000,0.96820000,0.96820000,40524.84000000
2020-12-13 21:00:00,0.96790000,0.96790000,0.95620000,0.96050000,96209.51000000
2020-12-13 22:00:00,0.96020000,0.96040000,0.95830000,0.95960000,14081.39000000
2020-12-13 23:00:00,0.95950000,0.95970000,0.94190000,0.94890000,115708.82000000
2020-12-14 00:00:00,0.94820000,0.95300000,0.94820000,0.95270000,88592.77000000
2020-12-14 01:00:00,0.95240000,0.95330000,0.94280000,0.94530000,67157.02000000
2020-12-14 02:00:00,0.94480000,0.94850000,0.94350000,0.94770000,43111.85000000
2020-12-14 03:00:00,0.94700000,0.95940000,0.94630000,0.95880000,69788.05000000
2020-12-14 04:00:00,0.95900000,0.98700000,0.95860000,0.97830000,263326.38000000
2020-12-14 05:00:00,0.97810000,0.98060000,0.96400000,0.96760000,181945.07000000
2020-12-14 06:00:00,0.96770000,0.96900000,0.95660000,0.96610000,86180.27000000
2020-12-14 07:00:00,0.96650000,0.97600000,0.96640000,0.97570000,57976.63000000
2020-12-14 08:00:00,0.97510000,0.97730000,0.97120000,0.97730000,59820.52000000
2020-12-14 09:00:00,0.97710000,0.99070000,0.97620000,0.99060000,136904.52000000
2020-12-14 10:00:00,0.99010000,0.99060000,0.98420000,0.98790000,85852.97000000
2020-12-14 11:00:00,0.98750000,0.98780000,0.96720000,0.97060000,110432.19000000
2020-12-14 12:00:00,0.97070000,0.97480000,0.95980000,0.96850000,195062.06000000
2020-12-14 13:00:00,0.97050000,0.97230000,0.96510000,0.96760000,49118.02000000
2020-12-14 14:00:00,0.96700000,0.98200000,0.96230000,0.97610000,204722.89000000
2020-12-14 15:00:00,0.97760000,0.98470000,0.97130000,0.98320000,88460.16000000
2020-12-14 16:00:00,0.98250000,0.99790000,0.98250000,0.99220000,151599.52000000
2020-12-14 17:00:00,0.99240000,0.99420000,0.98230000,0.98810000,93772.82000000
2020-12-14 18:00:00,0.98750000,0.99020000,0.98630000,0.98980000,14332.36000000
2020-12-14 19:00:00,0.99020000,1.00380000,0.99020000,1.00360000,109178.58000000
2020-12-14 20:00:00,1.00310000,1.00310000,0.99880000,0.99910000,36573.67000000
2020-12-14 21:00:00,1.00000000,1.00360000,0.99530000,1.00270000,56637.11000000
2020-12-14 22:00:00,1.00380000,1.01100000,0.99390000,1.00180000,227173.57000000
2020-12-14 23:00:00,1.00150000,1.00690000,0.99970000,1.00690000,70566.38000000
2020-12-15 00:00:00,1.00670000,1.00670000,0.99110000,0.99330000,92209.36000000
2020-12-15 01:00:00,0.99330000,1.00510000,0.99240000,0.99420000,238191.91000000
2020-12-15 02:00:00,0.99440000,1.00300000,0.99420000,1.00070000,95369.09000000
2020-12-15 03:00:00,1.00130000,1.01120000,0.99900000,1.01010000,133079.66000000
2020-12-15 04:00:00,1.00920000,1.01060000,1.00130000,1.00130000,122848.88000000
2020-12-15 05:00:00,1.00110000,1.00130000,0.98000000,0.98030000,130312.63000000
2020-12-15 06:00:00,0.98010000,0.99720000,0.97590000,0.98090000,353429.30000000
2020-12-15 07:00:00,0.98090000,0.98460000,0.97940000,0.98460000,47881.00000000
2020-12-15 08:00:00,0.98450000,0.98790000,0.98350000,0.98760000,45405.42000000
2020-12-15 09:00:00,0.98730000,0.98980000,0.97870000,0.98370000,240807.32000000
2020-12-15 10:00:00,0.98350000,0.99760000,0.97860000,0.99440000,234533.35000000
2020-12-15 11:00:00,0.99460000,1.00710000,0.98940000,1.00300000,150100.79000000
2020-12-15 12:00:00,1.00350000,1.00670000,0.99700000,1.00580000,112416.75000000
2020-12-15 13:00:00,1.00640000,1.00920000,1.00210000,1.00210000,87772.81000000
2020-12-15 14:00:00,1.00250000,1.00680000,1.00100000,1.00490000,59254.88000000
2020-12-15 15:00:00,1.00530000,1.00790000,0.99700000,0.99810000,82127.43000000
2020-12-15 16:00:00,0.99860000,1.00260000,0.99800000,1.00210000,47761.63000000
2020-12-15 17:00:00,1.00190000,1.00880000,0.99810000,1.00640000,119168.08000000
2020-12-15 18:00:00,1.00690000,1.00990000,1.00540000,1.00580000,43492.34000000
2020-12-15 19:00:00,1.00580000,1.00900000,1.00510000,1.00820000,25704.56000000
2020-12-15 20:00:00,1.00820000,1.01500000,1.00820000,1.01500000,55314.12000000
