datetime,o,h,l,c,v
2020-12-12 01:00:00,2.99230000,3.12660000,2.98570000,3.11680000,210356.19000000
2020-12-12 02:00:00,3.11540000,3.15110000,3.10710000,3.15070000,101781.36000000
2020-12-12 03:00:00,3.14970000,3.17870000,3.12620000,3.17730000,219666.68000000
2020-12-12 04:00:00,3.17760000,3.17810000,3.15410000,3.16600000,67807.95000000
2020-12-12 05:00:00,3.16600000,3.17700000,3.13840000,3.16150000,80643.48000000
2020-12-12 06:00:00,3.16340000,3.17670000,3.14400000,3.14400000,65455.75000000
2020-12-12 07:00:00,3.14410000,3.16820000,3.14410000,3.16750000,60021.04000000
2020-12-12 08:00:00,3.16880000,3.20000000,3.16640000,3.19470000,59876.95000000
2020-12-12 09:00:00,3.19420000,3.20000000,3.17080000,3.18010000,65261.34000000
2020-12-12 10:00:00,3.18000000,3.18290000,3.14800000,3.14820000,73080.63000000
2020-12-12 11:00:00,3.14820000,3.15960000,3.14030000,3.14980000,36955.84000000
2020-12-12 12:00:00,3.14900000,3.19790000,3.14510000,3.18140000,63410.61000000
2020-12-12 13:00:00,3.18390000,3.19310000,3.16000000,3.16420000,34843.38000000
2020-12-12 14:00:00,3.16230000,3.16800000,3.14700000,3.14950000,27999.10000000
2020-12-12 15:00:00,3.15180000,3.15460000,3.10080000,3.11500000,71779.01000000
2020-12-12 16:00:00,3.11400000,3.11870000,3.09390000,3.11490000,45130.69000000
2020-12-12 17:00:00,3.11490000,3.12960000,3.10930000,3.12600000,54529.64000000
2020-12-12 18:00:00,3.12590000,3.13840000,3.10790000,3.13820000,57084.74000000
2020-12-12 19:00:00,3.13860000,3.19000000,3.13720000,3.18380000,45800.96000000
2020-12-12 20:00:00,3.18380000,3.19840000,3.17330000,3.19140000,50893.42000000
2020-12-12 21:00:00,3.19030000,3.22640000,3.18280000,3.20830000,64955.84000000
2020-12-12 22:00:00,3.20830000,3.22810000,3.20720000,3.21910000,29411.61000000
2020-12-12 23:00:00,3.21900000,3.23000000,3.20160000,3.21540000,35666.85000000
2020-12-13 00:00:00,3.21590000,3.21900000,3.18430000,3.18780000,61368.09000000
2020-12-13 01:00:00,3.18780000,3.20390000,3.13540000,3.15120000,61077.41000000
2020-12-13 02:00:00,3.15170000,3.16110000,3.13870000,3.13880000,19674.13000000
2020-12-13 03:00:00,3.14010000,3.14300000,3.13040000,3.14090000,26484.75000000
