datetime,o,h,l,c,v
2020-12-12 01:00:00,1846.53000000,1852.40000000,1844.54000000,1851.81000000,14.18385500
2020-12-12 02:00:00,1851.81000000,1851.93000000,1846.50000000,1851.93000000,1.22546000
2020-12-12 03:00:00,1848.43000000,1851.93000000,1844.56000000,1849.49000000,3.22483200
2020-12-12 04:00:00,1849.46000000,1850.59000000,1847.92000000,1849.06000000,1.63453400
2020-12-12 05:00:00,1849.03000000,1851.92000000,1847.92000000,1851.92000000,2.55687100
2020-12-12 06:00:00,1851.08000000,1851.92000000,1847.93000000,1849.03000000,1.11758700
2020-12-12 07:00:00,1849.71000000,1850.39000000,1847.93000000,1848.82000000,0.41671100
2020-12-12 08:00:00,1850.29000000,1851.86000000,1850.00000000,1851.86000000,0.86034500
2020-12-12 09:00:00,1850.17000000,1851.92000000,1850.00000000,1850.00000000,2.72236000
2020-12-12 10:00:00,1850.03000000,1850.93000000,1845.10000000,1847.72000000,13.84533800
2020-12-12 11:00:00,1847.96000000,1851.50000000,1845.62000000,1847.26000000,2.88821000
2020-12-12 12:00:00,1847.99000000,1853.02000000,1845.69000000,1853.01000000,5.23807300
2020-12-12 13:00:00,1847.93000000,1852.79000000,1845.60000000,1848.68000000,4.62343000
2020-12-12 14:00:00,1848.79000000,1850.07000000,1845.60000000,1845.61000000,7.51323700
2020-12-12 15:00:00,1848.50000000,1848.61000000,1845.24000000,1847.51000000,1.99649300
2020-12-12 16:00:00,1848.23000000,1848.23000000,1845.23000000,1847.63000000,8.55586900
2020-12-12 17:00:00,1847.65000000,1852.33000000,1845.23000000,1845.62000000,7.75388600
2020-12-12 18:00:00,1849.26000000,1850.00000000,1844.94000000,1845.56000000,12.66667500
2020-12-12 19:00:00,1844.94000000,1852.00000000,1842.85000000,1849.05000000,6.36814400
2020-12-12 20:00:00,1850.00000000,1852.00000000,1846.82000000,1849.56000000,1.07700500
2020-12-12 21:00:00,1849.70000000,1852.80000000,1847.98000000,1852.44000000,7.42646100
2020-12-12 22:00:00,1849.94000000,1851.13000000,1845.61000000,1848.40000000,5.20110800
2020-12-12 23:00:00,1850.68000000,1851.84000000,1848.40000000,1851.84000000,2.36337700
2020-12-13 00:00:00,1849.10000000,1852.41000000,1847.92000000,1850.58000000,0.45953200
2020-12-13 01:00:00,1850.63000000,1852.42000000,1848.88000000,1851.84000000,1.22578200
2020-12-13 02:00:00,1850.52000000,1852.38000000,1848.95000000,1850.63000000,3.94303200
2020-12-13 03:00:00,1850.63000000,1851.82000000,1850.36000000,1851.82000000,1.57567400
2020-12-13 04:00:00,1850.00000000,1850.00000000,1850.00000000,1850.00000000,0.01992000
2020-12-13 05:00:00,1850.55000000,1851.94000000,1846.59000000,1851.94000000,1.43398000
2020-12-13 06:00:00,1851.91000000,1851.91000000,1848.91000000,1849.42000000,2.07108300
2020-12-13 07:00:00,1850.73000000,1851.91000000,1845.98000000,1850.90000000,4.10530900
2020-12-13 08:00:00,1850.43000000,1852.79000000,1845.98000000,1852.78000000,13.20445000
2020-12-13 09:00:00,1851.45000000,1852.80000000,1845.58000000,1849.72000000,6.64853100
2020-12-13 10:00:00,1847.37000000,1851.79000000,1846.99000000,1848.11000000,2.17868900
2020-12-13 11:00:00,1848.11000000,1850.38000000,1846.12000000,1846.12000000,6.75054700
2020-12-13 12:00:00,1846.50000000,1850.91000000,1845.62000000,1850.81000000,6.17107200
2020-12-13 13:00:00,1850.70000000,1851.16000000,1845.41000000,1848.55000000,13.96163200
2020-12-13 14:00:00,1848.44000000,1852.52000000,1845.00000000,1852.52000000,17.98266100
2020-12-13 15:00:00,1851.05000000,1852.84000000,1850.75000000,1850.75000000,7.70469300
2020-12-13 16:00:00,1852.62000000,1853.38000000,1850.75000000,1853.37000000,8.47509400
2020-12-13 17:00:00,1852.64000000,1853.91000000,1850.75000000,1850.75000000,5.14490600
2020-12-13 18:00:00,1852.69000000,1853.49000000,1850.76000000,1853.48000000,0.93859200
2020-12-13 19:00:00,1851.81000000,1853.91000000,1851.00000000,1852.06000000,5.84724200
2020-12-13 20:00:00,1851.03000000,1853.90000000,1850.95000000,1851.89000000,0.23480000
2020-12-13 21:00:00,1850.96000000,1853.91000000,1850.75000000,1853.91000000,4.07102600
2020-12-13 22:00:00,1853.91000000,1853.91000000,1850.78000000,1852.26000000,1.19574300
2020-12-13 23:00:00,1851.62000000,1854.13000000,1850.78000000,1851.92000000,8.35098500
2020-12-14 00:00:00,1851.88000000,1851.88000000,1850.17000000,1850.63000000,2.60782300
2020-12-14 01:00:00,1850.64000000,1851.26000000,1850.00000000,1850.48000000,1.44910000
2020-12-14 02:00:00,1849.99000000,1850.88000000,1849.02000000,1849.79000000,1.83065200
2020-12-14 03:00:00,1849.00000000,1851.40000000,1849.00000000,1849.49000000,8.93078500
2020-12-14 04:00:00,1849.46000000,1850.75000000,1849.00000000,1849.50000000,2.07457400
2020-12-14 05:00:00,1849.50000000,1849.66000000,1846.60000000,1846.60000000,12.14764000
2020-12-14 06:00:00,1849.56000000,1849.56000000,1846.20000000,1846.73000000,2.01171000
2020-12-14 07:00:00,1848.00000000,1848.27000000,1845.88000000,1847.05000000,7.11010300
2020-12-14 08:00:00,1845.85000000,1846.65000000,1843.37000000,1845.53000000,3.83774400
2020-12-14 09:00:00,1845.74000000,1845.74000000,1840.00000000,1841.74000000,8.16251700
2020-12-14 10:00:00,1841.65000000,1844.24000000,1840.01000000,1840.01000000,4.76726800
2020-12-14 11:00:00,1842.00000000,1842.00000000,1835.00000000,1838.01000000,11.59885700
2020-12-14 12:00:00,1838.00000000,1843.60000000,1834.93000000,1840.30000000,8.83154800
2020-12-14 13:00:00,1840.30000000,1843.00000000,1836.73000000,1837.35000000,6.55803500
2020-12-14 14:00:00,1837.36000000,1845.44000000,1836.36000000,1845.44000000,3.64114600
2020-12-14 15:00:00,1841.44000000,1846.36000000,1841.11000000,1841.46000000,6.73560300
2020-12-14 16:00:00,1845.38000000,1845.40000000,1836.36000000,1840.38000000,5.34289400
2020-12-14 17:00:00,1840.13000000,1842.60000000,1836.59000000,1837.65000000,10.16532900
2020-12-14 18:00:00,1837.50000000,1842.99000000,1837.18000000,1839.41000000,2.50177200
2020-12-14 19:00:00,1842.14000000,1843.85000000,1835.73000000,1836.34000000,6.74011200
2020-12-14 20:00:00,1836.34000000,1841.83000000,1835.77000000,1840.10000000,5.53448600
2020-12-14 21:00:00,1839.40000000,1841.28000000,1836.02000000,1841.28000000,1.51204800
2020-12-14 22:00:00,1837.12000000,1843.00000000,1836.31000000,1837.13000000,2.23515500
