datetime,o,h,l,c,v
2020-12-12 01:00:00,0.04532900,0.04809800,0.04509700,0.04792800,4490704.00000000
2020-12-12 02:00:00,0.04798300,0.04806600,0.04763500,0.04775800,1014042.00000000
2020-12-12 03:00:00,0.04756200,0.04865700,0.04747500,0.04785800,2832547.00000000
2020-12-12 04:00:00,0.04771100,0.04774100,0.04730500,0.04755000,931384.00000000
2020-12-12 05:00:00,0.04754900,0.04779500,0.04675000,0.04774200,1428034.00000000
2020-12-12 06:00:00,0.04774200,0.04938800,0.04774200,0.04896000,2412183.00000000
2020-12-12 07:00:00,0.04876000,0.04885400,0.04772100,0.04795600,729297.00000000
2020-12-12 08:00:00,0.04777100,0.04975000,0.04776800,0.04873400,2589300.00000000
2020-12-12 09:00:00,0.04871400,0.04992400,0.04831800,0.04915000,2449631.00000000
2020-12-12 10:00:00,0.04915000,0.04950100,0.04864400,0.04945600,889016.00000000
2020-12-12 11:00:00,0.04945600,0.04951000,0.04880700,0.04902000,1306549.00000000
2020-12-12 12:00:00,0.04904200,0.04922600,0.04857100,0.04866300,775453.00000000
2020-12-12 13:00:00,0.04856900,0.04983000,0.04802300,0.04968500,3448606.00000000
2020-12-12 14:00:00,0.04968600,0.05053000,0.04900300,0.04954900,3017744.00000000
2020-12-12 15:00:00,0.04948100,0.05025300,0.04800000,0.04815800,3414330.00000000
2020-12-12 16:00:00,0.04815800,0.04835100,0.04701700,0.04810800,3187065.00000000
2020-12-12 17:00:00,0.04795800,0.04818100,0.04708600,0.04709100,1159431.00000000
2020-12-12 18:00:00,0.04709200,0.04758500,0.04681100,0.04753100,972492.00000000
2020-12-12 19:00:00,0.04748900,0.04850600,0.04731000,0.04803300,1500470.00000000
2020-12-12 20:00:00,0.04807900,0.04825700,0.04758300,0.04774900,1294362.00000000
2020-12-12 21:00:00,0.04774700,0.04827900,0.04662600,0.04755300,3031253.00000000
2020-12-12 22:00:00,0.04742100,0.04786800,0.04712200,0.04730700,1052407.00000000
2020-12-12 23:00:00,0.04732900,0.04830500,0.04728200,0.04799100,1422971.00000000
2020-12-13 00:00:00,0.04799100,0.04822400,0.04750000,0.04762100,1613214.00000000
2020-12-13 01:00:00,0.04750200,0.04781300,0.04700000,0.04700000,830435.00000000
2020-12-13 02:00:00,0.04724500,0.04739400,0.04610000,0.04610000,1682937.00000000
2020-12-13 03:00:00,0.04610000,0.04641600,0.04600000,0.04639700,2375162.00000000
2020-12-13 04:00:00,0.04640600,0.04657300,0.04611300,0.04627100,671987.00000000
2020-12-13 05:00:00,0.04623700,0.04657900,0.04600000,0.04630000,1192835.00000000
2020-12-13 06:00:00,0.04630300,0.04659900,0.04610100,0.04627200,476564.00000000
2020-12-13 07:00:00,0.04613600,0.04720800,0.04613600,0.04693600,1462829.00000000
2020-12-13 08:00:00,0.04699500,0.04750000,0.04685700,0.04739600,964572.00000000
2020-12-13 09:00:00,0.04739700,0.04832400,0.04739600,0.04818600,1100240.00000000
2020-12-13 10:00:00,0.04813900,0.04843700,0.04785700,0.04798900,1015756.00000000
2020-12-13 11:00:00,0.04798600,0.05000000,0.04790100,0.04865500,2527018.00000000
2020-12-13 12:00:00,0.04865400,0.04927900,0.04814100,0.04842400,1842335.00000000
2020-12-13 13:00:00,0.04842400,0.04917100,0.04825700,0.04909900,1175800.00000000
2020-12-13 14:00:00,0.04909700,0.04942900,0.04883000,0.04940000,1248931.00000000
2020-12-13 15:00:00,0.04910200,0.04910200,0.04834500,0.04882100,1025240.00000000
2020-12-13 16:00:00,0.04882100,0.04892900,0.04822700,0.04855700,1198401.00000000
2020-12-13 17:00:00,0.04878300,0.04954200,0.04839500,0.04939900,1842662.00000000
2020-12-13 18:00:00,0.04939400,0.04940000,0.04889100,0.04932600,829275.00000000
2020-12-13 19:00:00,0.04932600,0.04940000,0.04863100,0.04917000,568507.00000000
2020-12-13 20:00:00,0.04916500,0.04924800,0.04873400,0.04902200,951622.00000000
2020-12-13 21:00:00,0.04905400,0.04905500,0.04786000,0.04836900,1512778.00000000
2020-12-13 22:00:00,0.04832900,0.04889800,0.04818500,0.04846300,488460.00000000
2020-12-13 23:00:00,0.04872600,0.04885700,0.04773000,0.04807100,661834.00000000
2020-12-14 00:00:00,0.04812300,0.04850600,0.04802700,0.04830200,582473.00000000
2020-12-14 01:00:00,0.04830500,0.04830500,0.04758000,0.04780000,1011094.00000000
2020-12-14 02:00:00,0.04779900,0.04785400,0.04700000,0.04747400,1393600.00000000
2020-12-14 03:00:00,0.04746600,0.04892000,0.04719000,0.04826000,1449636.00000000
2020-12-14 04:00:00,0.04827400,0.04827400,0.04750500,0.04757200,414085.00000000
2020-12-14 05:00:00,0.04757200,0.04778200,0.04720000,0.04734300,340838.00000000
2020-12-14 06:00:00,0.04740200,0.04740400,0.04715300,0.04721800,668899.00000000
2020-12-14 07:00:00,0.04721800,0.04763500,0.04716400,0.04721900,427118.00000000
