datetime,o,h,l,c,v
2020-12-12 01:00:00,1.43680000,1.51940000,1.43660000,1.51220000,120301.53000000
2020-12-12 02:00:00,1.51500000,1.51680000,1.50310000,1.50530000,36543.99000000
2020-12-12 03:00:00,1.50560000,1.51160000,1.49250000,1.50190000,70859.30000000
2020-12-12 04:00:00,1.50160000,1.50160000,1.48170000,1.48820000,44861.50000000
2020-12-12 05:00:00,1.48730000,1.50450000,1.48030000,1.49720000,36166.95000000
2020-12-12 06:00:00,1.49930000,1.52390000,1.49820000,1.50460000,72973.28000000
2020-12-12 07:00:00,1.50510000,1.51440000,1.48570000,1.49030000,82411.56000000
2020-12-12 08:00:00,1.48900000,1.50770000,1.48900000,1.50510000,37718.51000000
2020-12-12 09:00:00,1.50530000,1.50870000,1.49420000,1.50190000,38538.37000000
2020-12-12 10:00:00,1.50190000,1.51870000,1.50190000,1.51550000,52441.76000000
2020-12-12 11:00:00,1.51550000,1.52330000,1.50330000,1.51690000,66044.97000000
2020-12-12 12:00:00,1.51660000,1.53420000,1.51660000,1.53270000,76867.12000000
2020-12-12 13:00:00,1.53250000,1.53820000,1.52840000,1.53610000,88433.76000000
2020-12-12 14:00:00,1.53320000,1.53550000,1.50360000,1.51090000,61762.63000000
2020-12-12 15:00:00,1.51010000,1.51940000,1.47780000,1.48640000,83797.08000000
2020-12-12 16:00:00,1.48350000,1.48360000,1.46310000,1.47390000,88107.31000000
2020-12-12 17:00:00,1.47580000,1.48980000,1.47210000,1.48110000,47970.66000000
2020-12-12 18:00:00,1.47920000,1.49190000,1.46670000,1.49000000,32282.78000000
2020-12-12 19:00:00,1.49050000,1.50490000,1.48750000,1.50440000,47222.01000000
2020-12-12 20:00:00,1.50500000,1.51650000,1.50250000,1.51200000,60092.16000000
2020-12-12 21:00:00,1.51200000,1.51720000,1.50720000,1.51120000,28002.66000000
2020-12-12 22:00:00,1.51240000,1.51520000,1.50590000,1.50790000,46736.11000000
2020-12-12 23:00:00,1.50790000,1.51150000,1.49500000,1.50000000,57602.63000000
2020-12-13 00:00:00,1.50050000,1.50290000,1.48810000,1.49120000,45902.10000000
2020-12-13 01:00:00,1.49090000,1.49830000,1.47560000,1.48080000,43855.23000000
2020-12-13 02:00:00,1.48030000,1.48300000,1.47480000,1.48010000,18831.41000000
2020-12-13 03:00:00,1.48010000,1.48260000,1.47300000,1.47640000,23506.19000000
2020-12-13 04:00:00,1.47470000,1.47960000,1.47020000,1.47110000,11285.89000000
2020-12-13 05:00:00,1.47210000,1.47350000,1.45780000,1.46620000,49564.72000000
2020-12-13 06:00:00,1.46640000,1.47310000,1.46630000,1.47060000,13625.07000000
2020-12-13 07:00:00,1.47200000,1.48980000,1.47040000,1.48820000,22204.01000000
2020-12-13 08:00:00,1.48910000,1.52180000,1.48800000,1.51830000,64987.79000000
2020-12-13 09:00:00,1.51830000,1.53270000,1.51710000,1.52500000,89152.33000000
2020-12-13 10:00:00,1.52560000,1.53030000,1.51710000,1.52960000,31817.67000000
2020-12-13 11:00:00,1.53030000,1.56080000,1.52940000,1.55440000,107653.67000000
2020-12-13 12:00:00,1.55540000,1.56700000,1.54440000,1.55920000,96050.04000000
2020-12-13 13:00:00,1.55780000,1.70000000,1.55430000,1.61990000,382697.71000000
2020-12-13 14:00:00,1.61990000,1.62700000,1.60140000,1.62000000,112920.68000000
2020-12-13 15:00:00,1.61900000,1.62000000,1.55570000,1.59190000,194933.80000000
2020-12-13 16:00:00,1.59190000,1.59890000,1.56280000,1.58480000,90259.58000000
2020-12-13 17:00:00,1.58480000,1.61550000,1.58480000,1.61100000,106574.57000000
2020-12-13 18:00:00,1.61100000,1.61100000,1.59460000,1.60580000,34898.36000000
2020-12-13 19:00:00,1.60670000,1.60870000,1.59360000,1.59470000,37647.70000000
2020-12-13 20:00:00,1.59280000,1.60000000,1.58480000,1.58590000,48189.21000000
2020-12-13 21:00:00,1.58540000,1.58690000,1.56580000,1.57530000,49254.04000000
2020-12-13 22:00:00,1.57590000,1.58680000,1.57580000,1.58190000,35064.06000000
2020-12-13 23:00:00,1.58190000,1.58290000,1.54290000,1.55780000,63484.88000000
2020-12-14 00:00:00,1.55750000,1.57080000,1.55540000,1.57010000,21075.82000000
2020-12-14 01:00:00,1.56510000,1.56710000,1.54110000,1.55260000,35088.80000000
2020-12-14 02:00:00,1.55160000,1.56650000,1.54110000,1.56520000,25593.49000000
2020-12-14 03:00:00,1.56390000,1.59000000,1.56370000,1.58520000,38465.91000000
2020-12-14 04:00:00,1.58710000,1.60000000,1.58480000,1.59480000,49484.69000000
2020-12-14 05:00:00,1.59460000,1.59810000,1.57450000,1.58330000,26468.39000000
2020-12-14 06:00:00,1.58270000,1.59530000,1.57970000,1.58530000,33163.56000000
2020-12-14 07:00:00,1.58530000,1.59600000,1.58530000,1.59300000,35733.31000000
2020-12-14 08:00:00,1.59300000,1.59450000,1.58010000,1.58730000,43281.36000000
2020-12-14 09:00:00,1.58700000,1.62000000,1.58700000,1.60180000,192966.94000000
2020-12-14 10:00:00,1.60420000,1.62530000,1.60420000,1.61670000,71597.30000000
2020-12-14 11:00:00,1.61600000,1.61870000,1.56160000,1.57450000,97050.71000000
