datetime,o,h,l,c,v
2020-12-12 01:00:00,0.68059000,0.69937000,0.67950000,0.69773000,749125.70000000
2020-12-12 02:00:00,0.69782000,0.69996000,0.69387000,0.69768000,345013.10000000
2020-12-12 03:00:00,0.69768000,0.70000000,0.69759000,0.69837000,198031.60000000
2020-12-12 04:00:00,0.69916000,0.70800000,0.69600000,0.70186000,401479.40000000
2020-12-12 05:00:00,0.70279000,0.70787000,0.70067000,0.70748000,242074.20000000
2020-12-12 06:00:00,0.70757000,0.71046000,0.70504000,0.70566000,179199.30000000
2020-12-12 07:00:00,0.70622000,0.71139000,0.70215000,0.70749000,308048.10000000
2020-12-12 08:00:00,0.70758000,0.70990000,0.70300000,0.70421000,245415.40000000
2020-12-12 09:00:00,0.70525000,0.70678000,0.69650000,0.70169000,216935.20000000
2020-12-12 10:00:00,0.70201000,0.70580000,0.69809000,0.70580000,133059.10000000
2020-12-12 11:00:00,0.70584000,0.71176000,0.70229000,0.71176000,191440.30000000
2020-12-12 12:00:00,0.71197000,0.71704000,0.70905000,0.71412000,298835.50000000
2020-12-12 13:00:00,0.71432000,0.71516000,0.70868000,0.70942000,163268.40000000
2020-12-12 14:00:00,0.70973000,0.71167000,0.70548000,0.70799000,207128.60000000
2020-12-12 15:00:00,0.70824000,0.70933000,0.69829000,0.70224000,329280.00000000
2020-12-12 16:00:00,0.70277000,0.70340000,0.69629000,0.69906000,240195.70000000
2020-12-12 17:00:00,0.69925000,0.70260000,0.69679000,0.70249000,153795.40000000
2020-12-12 18:00:00,0.70235000,0.71042000,0.69774000,0.70769000,413681.00000000
2020-12-12 19:00:00,0.70727000,0.70985000,0.70544000,0.70620000,197987.40000000
2020-12-12 20:00:00,0.70613000,0.70756000,0.70054000,0.70412000,219019.30000000
2020-12-12 21:00:00,0.70468000,0.71099000,0.70244000,0.71010000,88550.10000000
2020-12-12 22:00:00,0.71013000,0.71096000,0.70159000,0.70319000,398379.90000000
2020-12-12 23:00:00,0.70260000,0.70664000,0.69940000,0.70648000,352712.50000000
2020-12-13 00:00:00,0.70631000,0.70631000,0.69148000,0.69225000,636853.80000000
2020-12-13 01:00:00,0.69243000,0.69439000,0.68543000,0.68671000,310405.00000000
2020-12-13 02:00:00,0.68649000,0.69008000,0.68618000,0.68706000,94835.90000000
2020-12-13 03:00:00,0.68685000,0.69089000,0.68221000,0.68915000,329422.60000000
2020-12-13 04:00:00,0.68975000,0.69183000,0.68298000,0.68485000,163177.80000000
2020-12-13 05:00:00,0.68493000,0.69279000,0.68493000,0.68952000,107096.50000000
2020-12-13 06:00:00,0.68981000,0.69522000,0.68410000,0.68744000,377184.40000000
2020-12-13 07:00:00,0.68810000,0.69100000,0.68676000,0.69053000,143526.60000000
2020-12-13 08:00:00,0.69016000,0.69854000,0.68851000,0.69629000,254871.00000000
2020-12-13 09:00:00,0.69735000,0.70093000,0.69555000,0.69653000,308540.90000000
2020-12-13 10:00:00,0.69671000,0.69983000,0.69279000,0.69953000,249594.20000000
2020-12-13 11:00:00,0.69899000,0.70028000,0.69563000,0.69938000,129441.90000000
2020-12-13 12:00:00,0.69982000,0.71236000,0.69660000,0.71074000,327133.30000000
2020-12-13 13:00:00,0.71182000,0.71291000,0.70400000,0.70731000,524249.70000000
2020-12-13 14:00:00,0.70775000,0.71273000,0.70722000,0.71186000,378870.00000000
2020-12-13 15:00:00,0.71138000,0.71878000,0.70589000,0.71714000,283070.00000000
2020-12-13 16:00:00,0.71661000,0.73703000,0.71661000,0.72532000,1491665.80000000
2020-12-13 17:00:00,0.72531000,0.73439000,0.72500000,0.73373000,613747.80000000
2020-12-13 18:00:00,0.73341000,0.73389000,0.72521000,0.72968000,272346.20000000
2020-12-13 19:00:00,0.73000000,0.73458000,0.72581000,0.73333000,156444.60000000
2020-12-13 20:00:00,0.73355000,0.73537000,0.72781000,0.73120000,411842.70000000
2020-12-13 21:00:00,0.73201000,0.73542000,0.72902000,0.73343000,295552.00000000
2020-12-13 22:00:00,0.73313000,0.74230000,0.73093000,0.74002000,450967.50000000
2020-12-13 23:00:00,0.74018000,0.74100000,0.71720000,0.72678000,822557.80000000
2020-12-14 00:00:00,0.72677000,0.73053000,0.72434000,0.72938000,144134.70000000
2020-12-14 01:00:00,0.72940000,0.72959000,0.71627000,0.72197000,525454.50000000
2020-12-14 02:00:00,0.72128000,0.73301000,0.71938000,0.72589000,354109.30000000
2020-12-14 03:00:00,0.72542000,0.73665000,0.72429000,0.73478000,184319.50000000
2020-12-14 04:00:00,0.73472000,0.73983000,0.72901000,0.73166000,393748.10000000
2020-12-14 05:00:00,0.73170000,0.73956000,0.72931000,0.73935000,531014.20000000
2020-12-14 06:00:00,0.73884000,0.73912000,0.72567000,0.72699000,764518.20000000
2020-12-14 07:00:00,0.72758000,0.73092000,0.72166000,0.72597000,593782.70000000
2020-12-14 08:00:00,0.72573000,0.72888000,0.72407000,0.72749000,134176.70000000
2020-12-14 09:00:00,0.72692000,0.73800000,0.72667000,0.73407000,426773.40000000
2020-12-14 10:00:00,0.73407000,0.74203000,0.73000000,0.74195000,573839.80000000
2020-12-14 11:00:00,0.74141000,0.74742000,0.73684000,0.74083000,959977.20000000
2020-12-14 12:00:00,0.74082000,0.74540000,0.73501000,0.73830000,469522.90000000
2020-12-14 13:00:00,0.73825000,0.75000000,0.73400000,0.74787000,758090.40000000
2020-12-14 14:00:00,0.74779000,0.76800000,0.74779000,0.76329000,1839898.30000000
2020-12-14 15:00:00,0.76368000,0.76878000,0.75364000,0.75935000,1119591.30000000
2020-12-14 16:00:00,0.75897000,0.76892000,0.75500000,0.76047000,816142.50000000
2020-12-14 17:00:00,0.76054000,0.77000000,0.75453000,0.75598000,712273.50000000
2020-12-14 18:00:00,0.75600000,0.75921000,0.74806000,0.75295000,745608.00000000
2020-12-14 19:00:00,0.75280000,0.75772000,0.74404000,0.74623000,641284.40000000
2020-12-14 20:00:00,0.74533000,0.74963000,0.74145000,0.74853000,569794.30000000
2020-12-14 21:00:00,0.74852000,0.75444000,0.74260000,0.74928000,452889.30000000
2020-12-14 22:00:00,0.75024000,0.75537000,0.74132000,0.74395000,310694.70000000
2020-12-14 23:00:00,0.74405000,0.75134000,0.73830000,0.74774000,682217.50000000
2020-12-15 00:00:00,0.74777000,0.75333000,0.74200000,0.75209000,377095.90000000
2020-12-15 01:00:00,0.75242000,0.75902000,0.75242000,0.75668000,364209.00000000
2020-12-15 02:00:00,0.75675000,0.76488000,0.75383000,0.76019000,533910.90000000
2020-12-15 03:00:00,0.76028000,0.76514000,0.74922000,0.75850000,680320.80000000
2020-12-15 04:00:00,0.75850000,0.75864000,0.74863000,0.75125000,391901.00000000
2020-12-15 05:00:00,0.75192000,0.75199000,0.73618000,0.73761000,356029.20000000
2020-12-15 06:00:00,0.73862000,0.74421000,0.73588000,0.74211000,440516.80000000
2020-12-15 07:00:00,0.74171000,0.74480000,0.73490000,0.73850000,384339.90000000
2020-12-15 08:00:00,0.73838000,0.74473000,0.73789000,0.73976000,153960.00000000
2020-12-15 09:00:00,0.74058000,0.74115000,0.73650000,0.74017000,170125.10000000
2020-12-15 10:00:00,0.74006000,0.75347000,0.73346000,0.75302000,507975.20000000
2020-12-15 11:00:00,0.75284000,0.75992000,0.74742000,0.75806000,413086.80000000
2020-12-15 12:00:00,0.75886000,0.76770000,0.75652000,0.76407000,556770.40000000
2020-12-15 13:00:00,0.76347000,0.76561000,0.76101000,0.76474000,234041.40000000
2020-12-15 14:00:00,0.76493000,0.77320000,0.75650000,0.75991000,990407.20000000
2020-12-15 15:00:00,0.76000000,0.76355000,0.75644000,0.75837000,243207.70000000
2020-12-15 16:00:00,0.75893000,0.76179000,0.75225000,0.75781000,276374.10000000
2020-12-15 17:00:00,0.75748000,0.76092000,0.75421000,0.76071000,145905.70000000
2020-12-15 18:00:00,0.76041000,0.76433000,0.75939000,0.76046000,158103.90000000
2020-12-15 19:00:00,0.76040000,0.76385000,0.75730000,0.76169000,298292.40000000
2020-12-15 20:00:00,0.76131000,0.76217000,0.75462000,0.76217000,273452.50000000
2020-12-15 21:00:00,0.76193000,0.77374000,0.75979000,0.76992000,524789.00000000
2020-12-15 22:00:00,0.76996000,0.77602000,0.75977000,0.76490000,791185.10000000
2020-12-15 23:00:00,0.76491000,0.76626000,0.75992000,0.76206000,166421.40000000
2020-12-16 00:00:00,0.76226000,0.76556000,0.75698000,0.76353000,214344.60000000
2020-12-16 01:00:00,0.76406000,0.76417000,0.74809000,0.75528000,467486.30000000
2020-12-16 02:00:00,0.75623000,0.75784000,0.74538000,0.75401000,408760.80000000
2020-12-16 03:00:00,0.75370000,0.75444000,0.74907000,0.75164000,109364.90000000
2020-12-16 04:00:00,0.75245000,0.75385000,0.73854000,0.74433000,461707.30000000
2020-12-16 05:00:00,0.74387000,0.75302000,0.74247000,0.74619000,410585.90000000
2020-12-16 06:00:00,0.74608000,0.75111000,0.74541000,0.74918000,135965.90000000
2020-12-16 07:00:00,0.74882000,0.75932000,0.74588000,0.75605000,230545.10000000
2020-12-16 08:00:00,0.75605000,0.75987000,0.75555000,0.75900000,151641.30000000
2020-12-16 09:00:00,0.75936000,0.77844000,0.75800000,0.77691000,1185910.30000000
2020-12-16 10:00:00,0.77668000,0.78789000,0.76590000,0.78268000,872767.90000000
2020-12-16 11:00:00,0.78204000,0.79218000,0.77419000,0.77769000,1009865.90000000
2020-12-16 12:00:00,0.77674000,0.78124000,0.76958000,0.78091000,438402.80000000
2020-12-16 13:00:00,0.78099000,0.84297000,0.77914000,0.82713000,4504971.00000000
2020-12-16 14:00:00,0.82702000,0.84095000,0.81266000,0.82423000,2515933.30000000
2020-12-16 15:00:00,0.82427000,0.85000000,0.82133000,0.84300000,1500499.50000000
2020-12-16 16:00:00,0.84264000,0.84700000,0.82885000,0.84169000,1260153.70000000
2020-12-16 17:00:00,0.84239000,0.85500000,0.82803000,0.83250000,1472317.80000000
2020-12-16 18:00:00,0.83322000,0.83694000,0.81900000,0.82704000,1152183.20000000
2020-12-16 19:00:00,0.82658000,0.83567000,0.81881000,0.82579000,539702.00000000
2020-12-16 20:00:00,0.82578000,0.83399000,0.82463000,0.82566000,425683.40000000
2020-12-16 21:00:00,0.82632000,0.84503000,0.82631000,0.84017000,695361.20000000
2020-12-16 22:00:00,0.84007000,0.84122000,0.82132000,0.82672000,827270.40000000
2020-12-16 23:00:00,0.82834000,0.85500000,0.82000000,0.85349000,855965.00000000
2020-12-17 00:00:00,0.85310000,0.85681000,0.83924000,0.85623000,717564.40000000
2020-12-17 01:00:00,0.85562000,0.89764000,0.85121000,0.88280000,2859391.70000000
2020-12-17 02:00:00,0.88300000,0.90000000,0.87743000,0.89137000,1776265.70000000
2020-12-17 03:00:00,0.89152000,0.89784000,0.87933000,0.88319000,682747.50000000
2020-12-17 04:00:00,0.88379000,0.88924000,0.86743000,0.87485000,913666.20000000
2020-12-17 05:00:00,0.87391000,0.88279000,0.87304000,0.87737000,323990.00000000
2020-12-17 06:00:00,0.87647000,0.88688000,0.87028000,0.87772000,397691.00000000
2020-12-17 07:00:00,0.87772000,0.91265000,0.87448000,0.90184000,1725132.50000000
2020-12-17 08:00:00,0.90173000,0.90612000,0.88818000,0.89199000,1277412.00000000
2020-12-17 09:00:00,0.89255000,0.89445000,0.88200000,0.88572000,802377.70000000
2020-12-17 10:00:00,0.88523000,0.88794000,0.85845000,0.86968000,1614734.90000000
2020-12-17 11:00:00,0.86957000,0.89500000,0.86951000,0.88174000,1175376.60000000
2020-12-17 12:00:00,0.88253000,0.88600000,0.87433000,0.87973000,782529.40000000
2020-12-17 13:00:00,0.87913000,0.89937000,0.87503000,0.88473000,809369.30000000
2020-12-17 14:00:00,0.88537000,0.88751000,0.87263000,0.87438000,477006.80000000
2020-12-17 15:00:00,0.87509000,0.88221000,0.87179000,0.87595000,407574.40000000
2020-12-17 16:00:00,0.87640000,0.88187000,0.87350000,0.88088000,314062.90000000
2020-12-17 17:00:00,0.87996000,0.89222000,0.87702000,0.88237000,814328.00000000
2020-12-17 18:00:00,0.88204000,0.88295000,0.82940000,0.83000000,1347460.70000000
2020-12-17 19:00:00,0.83000000,0.84975000,0.82910000,0.84671000,1515132.00000000
2020-12-17 20:00:00,0.84764000,0.85352000,0.83700000,0.83839000,842059.60000000
2020-12-17 21:00:00,0.83920000,0.84456000,0.83210000,0.84000000,741522.50000000
2020-12-17 22:00:00,0.83966000,0.84000000,0.82266000,0.83821000,752802.30000000
2020-12-17 23:00:00,0.83821000,0.84004000,0.82630000,0.83112000,572471.90000000
2020-12-18 00:00:00,0.83172000,0.83534000,0.80500000,0.81540000,1323987.50000000
2020-12-18 01:00:00,0.81502000,0.81600000,0.79600000,0.80733000,1360696.30000000
2020-12-18 02:00:00,0.80728000,0.82422000,0.80077000,0.81633000,1808015.60000000
2020-12-18 03:00:00,0.81657000,0.83224000,0.81587000,0.82848000,725501.40000000
2020-12-18 04:00:00,0.82848000,0.83156000,0.81734000,0.82037000,877789.30000000
2020-12-18 05:00:00,0.82019000,0.82455000,0.81000000,0.81921000,659282.10000000
2020-12-18 06:00:00,0.81991000,0.82591000,0.81619000,0.82450000,237282.60000000
2020-12-18 07:00:00,0.82384000,0.82723000,0.80996000,0.81079000,519151.80000000
2020-12-18 08:00:00,0.81098000,0.82932000,0.80996000,0.82687000,430586.80000000
2020-12-18 09:00:00,0.82668000,0.85001000,0.82228000,0.84911000,943519.70000000
2020-12-18 10:00:00,0.84966000,0.86667000,0.84113000,0.85660000,1297428.40000000
2020-12-18 11:00:00,0.85641000,0.86167000,0.84548000,0.84913000,555780.30000000
2020-12-18 12:00:00,0.84943000,0.85157000,0.83800000,0.84100000,879333.00000000
2020-12-18 13:00:00,0.84138000,0.84277000,0.82741000,0.84100000,551856.20000000
2020-12-18 14:00:00,0.84082000,0.84707000,0.82407000,0.82480000,569180.90000000
2020-12-18 15:00:00,0.82420000,0.84042000,0.82332000,0.83629000,616958.90000000
2020-12-18 16:00:00,0.83634000,0.84928000,0.82764000,0.84251000,575630.60000000
2020-12-18 17:00:00,0.84235000,0.86338000,0.83545000,0.85880000,657999.40000000
2020-12-18 18:00:00,0.85897000,0.89500000,0.85151000,0.89027000,2066163.10000000
2020-12-18 19:00:00,0.89031000,0.89224000,0.87120000,0.88307000,1225898.00000000
2020-12-18 20:00:00,0.88307000,0.88833000,0.87410000,0.87909000,685143.80000000
2020-12-18 21:00:00,0.87907000,0.89687000,0.87689000,0.89488000,1012572.50000000
2020-12-18 22:00:00,0.89409000,0.89734000,0.87749000,0.88263000,664615.60000000
2020-12-18 23:00:00,0.88399000,0.89330000,0.87597000,0.89147000,609469.50000000
2020-12-19 00:00:00,0.89052000,0.92133000,0.89010000,0.90713000,2159737.70000000
2020-12-19 01:00:00,0.90702000,0.91303000,0.89688000,0.90493000,788143.70000000
2020-12-19 02:00:00,0.90536000,0.93700000,0.90503000,0.92551000,1640348.40000000
2020-12-19 03:00:00,0.92560000,0.93100000,0.91616000,0.92044000,752861.20000000
2020-12-19 04:00:00,0.92044000,0.92655000,0.91363000,0.91800000,711087.10000000
2020-12-19 05:00:00,0.91860000,0.93275000,0.91687000,0.92764000,629068.70000000
2020-12-19 06:00:00,0.92678000,0.93144000,0.91995000,0.92773000,353394.30000000
2020-12-19 07:00:00,0.92729000,0.92781000,0.91110000,0.91499000,475345.30000000
2020-12-19 08:00:00,0.91465000,0.92078000,0.91296000,0.91569000,296119.50000000
2020-12-19 09:00:00,0.91571000,0.92142000,0.91438000,0.91749000,241389.90000000
2020-12-19 10:00:00,0.91757000,0.94500000,0.91692000,0.94041000,1472077.90000000
2020-12-19 11:00:00,0.94042000,0.94204000,0.92686000,0.93115000,551523.30000000
2020-12-19 12:00:00,0.93115000,0.94500000,0.92843000,0.94366000,492246.20000000
2020-12-19 13:00:00,0.94419000,0.94500000,0.93066000,0.93707000,579759.20000000
2020-12-19 14:00:00,0.93705000,0.93818000,0.92264000,0.92597000,565809.80000000
2020-12-19 15:00:00,0.92488000,0.92664000,0.90440000,0.92129000,1281767.50000000
2020-12-19 16:00:00,0.92217000,0.92231000,0.91510000,0.91877000,451434.50000000
2020-12-19 17:00:00,0.91961000,0.92538000,0.90754000,0.91606000,733953.40000000
2020-12-19 18:00:00,0.91600000,0.92315000,0.90923000,0.91221000,490009.90000000
2020-12-19 19:00:00,0.91186000,0.91547000,0.90572000,0.91264000,395257.80000000
2020-12-19 20:00:00,0.91303000,0.91726000,0.90701000,0.91499000,266155.00000000
2020-12-19 21:00:00,0.91452000,0.91569000,0.90234000,0.90515000,309991.90000000
2020-12-19 22:00:00,0.90458000,0.91850000,0.90412000,0.91499000,508650.70000000
2020-12-19 23:00:00,0.91545000,0.91751000,0.91299000,0.91441000,217589.90000000
2020-12-20 00:00:00,0.91474000,0.91577000,0.89387000,0.90017000,817066.60000000
2020-12-20 01:00:00,0.90004000,0.90013000,0.88115000,0.88752000,804670.40000000
2020-12-20 02:00:00,0.88864000,0.89452000,0.88403000,0.88911000,228292.10000000
2020-12-20 03:00:00,0.88945000,0.89492000,0.88666000,0.89213000,170203.70000000
2020-12-20 04:00:00,0.89179000,0.89799000,0.88300000,0.88768000,295815.60000000
2020-12-20 05:00:00,0.88721000,0.89489000,0.87451000,0.89126000,591056.00000000
2020-12-20 06:00:00,0.89195000,0.91271000,0.89152000,0.90828000,464025.60000000
2020-12-20 07:00:00,0.90872000,0.91581000,0.89942000,0.91263000,336457.90000000
2020-12-20 08:00:00,0.91331000,0.91906000,0.90972000,0.91632000,313521.50000000
2020-12-20 09:00:00,0.91637000,0.91800000,0.90654000,0.90959000,349202.60000000
2020-12-20 10:00:00,0.90974000,0.91941000,0.90832000,0.91280000,366853.40000000
2020-12-20 11:00:00,0.91203000,0.91341000,0.90002000,0.90007000,366795.10000000
2020-12-20 12:00:00,0.90093000,0.91192000,0.90070000,0.91035000,255406.70000000
2020-12-20 13:00:00,0.91107000,0.91712000,0.90226000,0.90802000,509707.90000000
2020-12-20 14:00:00,0.90857000,0.91624000,0.90483000,0.91538000,457145.90000000
2020-12-20 15:00:00,0.91587000,0.94245000,0.91501000,0.93937000,1035200.20000000
2020-12-20 16:00:00,0.94047000,0.94944000,0.93410000,0.94637000,1342154.10000000
2020-12-20 17:00:00,0.94696000,0.95100000,0.92609000,0.93196000,1023142.10000000
2020-12-20 18:00:00,0.93295000,0.94046000,0.92989000,0.93218000,474085.70000000
2020-12-20 19:00:00,0.93300000,0.93601000,0.92290000,0.92943000,406603.70000000
2020-12-20 20:00:00,0.93043000,0.93364000,0.92386000,0.92709000,315664.50000000
2020-12-20 21:00:00,0.92709000,0.93626000,0.92207000,0.93090000,518994.00000000
2020-12-20 22:00:00,0.93062000,0.93151000,0.89735000,0.90035000,1043882.80000000
2020-12-20 23:00:00,0.90027000,0.90027000,0.86745000,0.89758000,1451920.40000000
2020-12-21 00:00:00,0.89766000,0.91589000,0.89674000,0.91500000,573859.30000000
2020-12-21 01:00:00,0.91447000,0.92473000,0.89680000,0.92233000,820809.60000000
2020-12-21 02:00:00,0.92245000,0.92539000,0.91588000,0.92361000,423396.70000000
2020-12-21 03:00:00,0.92339000,0.92758000,0.91767000,0.92291000,245694.20000000
2020-12-21 04:00:00,0.92294000,0.92832000,0.91428000,0.91780000,450627.50000000
2020-12-21 05:00:00,0.91773000,0.92908000,0.91010000,0.91763000,582541.10000000
2020-12-21 06:00:00,0.91793000,0.94471000,0.91625000,0.93077000,981396.00000000
2020-12-21 07:00:00,0.93077000,0.93927000,0.92421000,0.93702000,476544.70000000
2020-12-21 08:00:00,0.93704000,0.96130000,0.93305000,0.95844000,2216489.60000000
2020-12-21 09:00:00,0.95880000,0.96750000,0.93947000,0.94138000,1662800.60000000
2020-12-21 10:00:00,0.94219000,0.94858000,0.91861000,0.93174000,1220362.00000000
2020-12-21 11:00:00,0.93108000,0.93162000,0.88560000,0.89451000,2228923.80000000
2020-12-21 12:00:00,0.89439000,0.90905000,0.89001000,0.89053000,695406.80000000
2020-12-21 13:00:00,0.89115000,0.89899000,0.87730000,0.89789000,948173.30000000
2020-12-21 14:00:00,0.89806000,0.90422000,0.89495000,0.90043000,220440.30000000
2020-12-21 15:00:00,0.90043000,0.90043000,0.90043000,0.90043000,0.00000000
2020-12-21 19:00:00,0.91063000,0.91591000,0.89569000,0.91479000,618323.30000000
2020-12-21 20:00:00,0.91483000,0.92307000,0.90137000,0.90618000,871355.60000000
2020-12-21 21:00:00,0.90722000,0.91056000,0.89854000,0.90124000,322371.80000000
2020-12-21 22:00:00,0.90204000,0.92383000,0.89735000,0.91915000,546499.50000000
2020-12-21 23:00:00,0.91972000,0.94954000,0.91609000,0.94399000,1332789.00000000
2020-12-22 00:00:00,0.94521000,0.94914000,0.92600000,0.92725000,963565.40000000
2020-12-22 01:00:00,0.92673000,0.95300000,0.92158000,0.93150000,1269858.20000000
2020-12-22 02:00:00,0.93159000,0.97746000,0.93035000,0.96123000,1987527.40000000
2020-12-22 03:00:00,0.96126000,0.99550000,0.96000000,0.98872000,3033142.70000000
2020-12-22 04:00:00,0.98850000,1.06000000,0.98270000,1.02837000,4799437.90000000
2020-12-22 05:00:00,1.02895000,1.05500000,1.02542000,1.03370000,1689407.80000000
2020-12-22 06:00:00,1.03366000,1.03548000,0.99441000,1.00200000,2083463.00000000
2020-12-22 07:00:00,1.00256000,1.02368000,0.99320000,1.00840000,1175985.70000000
2020-12-22 08:00:00,1.00840000,1.01964000,0.96574000,0.98729000,2668828.00000000
2020-12-22 09:00:00,0.98728000,0.99293000,0.94500000,0.97828000,2573923.50000000
2020-12-22 10:00:00,0.97742000,1.03512000,0.97399000,1.03234000,3341243.60000000
2020-12-22 11:00:00,1.03234000,1.04000000,1.00181000,1.00926000,2054781.60000000
2020-12-22 12:00:00,1.00938000,1.05536000,0.99798000,1.04717000,2405624.40000000
2020-12-22 13:00:00,1.04723000,1.09800000,1.03846000,1.08080000,4011502.00000000
2020-12-22 14:00:00,1.08087000,1.09281000,1.05533000,1.07714000,2494363.40000000
2020-12-22 15:00:00,1.07728000,1.10610000,1.07002000,1.07239000,2238119.60000000
2020-12-22 16:00:00,1.07267000,1.08168000,1.06073000,1.06448000,1214160.70000000
2020-12-22 17:00:00,1.06448000,1.11945000,1.05150000,1.06321000,3274040.10000000
2020-12-22 18:00:00,1.06301000,1.06660000,1.03334000,1.04278000,2889200.90000000
2020-12-22 19:00:00,1.04412000,1.05302000,1.02105000,1.04746000,1468475.90000000
2020-12-22 20:00:00,1.04999000,1.05830000,1.03670000,1.04484000,807146.30000000
2020-12-22 21:00:00,1.04428000,1.09152000,1.04191000,1.07535000,2660195.50000000
2020-12-22 22:00:00,1.07504000,1.07955000,1.04945000,1.05293000,941414.10000000
2020-12-22 23:00:00,1.05334000,1.07935000,1.04775000,1.06952000,564478.10000000
2020-12-23 00:00:00,1.07021000,1.09800000,1.06713000,1.08618000,1584371.50000000
2020-12-23 01:00:00,1.08570000,1.12994000,1.07759000,1.10984000,3008288.00000000
2020-12-23 02:00:00,1.10999000,1.12733000,1.09622000,1.10367000,1882221.40000000
2020-12-23 03:00:00,1.10511000,1.14991000,1.09011000,1.14024000,2202056.70000000
2020-12-23 04:00:00,1.14029000,1.15574000,1.12000000,1.13442000,1898770.00000000
2020-12-23 05:00:00,1.13310000,1.16023000,1.12447000,1.15445000,1926408.90000000
2020-12-23 06:00:00,1.15531000,1.16700000,1.11301000,1.12089000,2362306.00000000
2020-12-23 07:00:00,1.12048000,1.15151000,1.10396000,1.14644000,2429172.40000000
2020-12-23 08:00:00,1.14645000,1.16000000,1.12425000,1.15069000,1426192.40000000
2020-12-23 09:00:00,1.14933000,1.17929000,1.14211000,1.16163000,1774269.80000000
2020-12-23 10:00:00,1.16251000,1.17000000,1.13430000,1.14569000,1771083.00000000
2020-12-23 11:00:00,1.14609000,1.16861000,1.12981000,1.13034000,1018515.70000000
2020-12-23 12:00:00,1.13033000,1.13089000,1.06145000,1.09019000,3232638.80000000
2020-12-23 13:00:00,1.08886000,1.16000000,1.08526000,1.15222000,1441859.50000000
2020-12-23 14:00:00,1.15228000,1.15450000,1.10418000,1.11738000,1671563.80000000
2020-12-23 15:00:00,1.11492000,1.16899000,1.11009000,1.16755000,1219575.80000000
