datetime,o,h,l,c,v
2020-12-12 01:00:00,1.00000000,1.00000000,0.99980000,0.99990000,2789603.06000000
2020-12-12 02:00:00,1.00000000,1.00000000,0.99970000,0.99970000,1526823.53000000
2020-12-12 03:00:00,0.99970000,0.99980000,0.99970000,0.99980000,866871.70000000
2020-12-12 04:00:00,0.99970000,0.99980000,0.99970000,0.99970000,798167.40000000
2020-12-12 05:00:00,0.99970000,0.99980000,0.99970000,0.99970000,408044.89000000
2020-12-12 06:00:00,0.99980000,0.99980000,0.99970000,0.99970000,1041938.63000000
2020-12-12 07:00:00,0.99970000,0.99980000,0.99970000,0.99980000,607365.05000000
2020-12-12 08:00:00,0.99980000,0.99980000,0.99970000,0.99970000,672926.69000000
2020-12-12 09:00:00,0.99970000,1.00000000,0.99970000,0.99980000,1233986.61000000
2020-12-12 10:00:00,0.99980000,0.99990000,0.99980000,0.99990000,660355.46000000
2020-12-12 11:00:00,0.99990000,1.00000000,0.99980000,1.00000000,740710.38000000
2020-12-12 12:00:00,0.99990000,1.00000000,0.99990000,0.99990000,294866.74000000
2020-12-12 13:00:00,1.00000000,1.00000000,0.99980000,0.99990000,590978.34000000
2020-12-12 14:00:00,0.99990000,0.99990000,0.99980000,0.99990000,498228.53000000
2020-12-12 15:00:00,0.99990000,0.99990000,0.99970000,0.99990000,514528.71000000
2020-12-12 16:00:00,0.99980000,0.99990000,0.99960000,0.99970000,798985.87000000
2020-12-12 17:00:00,0.99970000,0.99970000,0.99960000,0.99960000,769635.55000000
2020-12-12 18:00:00,0.99960000,0.99980000,0.99960000,0.99980000,691523.06000000
2020-12-12 19:00:00,0.99980000,1.00000000,0.99960000,0.99960000,1888390.67000000
2020-12-12 20:00:00,0.99970000,0.99970000,0.99960000,0.99970000,1165771.08000000
2020-12-12 21:00:00,0.99970000,0.99970000,0.99960000,0.99960000,1066508.07000000
2020-12-12 22:00:00,0.99960000,0.99970000,0.99960000,0.99960000,883200.29000000
2020-12-12 23:00:00,0.99960000,0.99970000,0.99960000,0.99960000,1092385.23000000
2020-12-13 00:00:00,0.99960000,0.99970000,0.99950000,0.99960000,1957157.08000000
2020-12-13 01:00:00,0.99970000,0.99970000,0.99950000,0.99950000,1105949.45000000
2020-12-13 02:00:00,0.99950000,0.99960000,0.99950000,0.99950000,408338.15000000
2020-12-13 03:00:00,0.99960000,0.99980000,0.99950000,0.99950000,1354247.18000000
2020-12-13 04:00:00,0.99950000,0.99960000,0.99950000,0.99950000,344153.20000000
2020-12-13 05:00:00,0.99950000,0.99960000,0.99950000,0.99950000,1026824.74000000
2020-12-13 06:00:00,0.99960000,0.99960000,0.99940000,0.99950000,2691955.21000000
2020-12-13 07:00:00,0.99950000,0.99960000,0.99940000,0.99950000,1043265.80000000
2020-12-13 08:00:00,0.99950000,1.00010000,0.99940000,0.99980000,4975760.12000000
2020-12-13 09:00:00,0.99970000,1.00010000,0.99970000,0.99990000,2791059.72000000
2020-12-13 10:00:00,0.99990000,1.00000000,0.99980000,0.99980000,1071721.44000000
2020-12-13 11:00:00,0.99990000,1.00030000,0.99980000,1.00000000,1868917.35000000
2020-12-13 12:00:00,1.00000000,1.00020000,0.99990000,0.99990000,1080261.06000000
2020-12-13 13:00:00,1.00000000,1.00000000,0.99960000,0.99980000,990871.48000000
2020-12-13 14:00:00,0.99980000,0.99990000,0.99970000,0.99970000,811827.19000000
2020-12-13 15:00:00,0.99970000,1.00000000,0.99970000,0.99990000,1167673.16000000
2020-12-13 16:00:00,0.99990000,1.00030000,0.99970000,1.00000000,1807432.29000000
2020-12-13 17:00:00,1.00010000,1.00030000,0.99950000,1.00000000,2262161.48000000
