datetime,o,h,l,c,v
2021-09-10 06:00:00,1.00000000,2.00000000,0.99980000,0.99990000,4221009.43000000
2021-09-10 07:00:00,1.00000000,1.00000000,0.99980000,0.99990000,376687.69000000
2021-09-10 08:00:00,0.99980000,1.00100000,0.99980000,1.00020000,148707.44000000
2021-09-10 09:00:00,1.00030000,2.00000000,0.99980000,0.99980000,13401807.44000000
2021-09-10 10:00:00,0.99990000,1.00000000,0.99930000,1.00000000,2274351.53000000
2021-09-10 11:00:00,0.99990000,1.00000000,0.99980000,0.99980000,358749.20000000
2021-09-10 12:00:00,0.99990000,1.00000000,0.99980000,0.99980000,524771.92000000
2021-09-10 13:00:00,0.99990000,1.00000000,0.99980000,0.99980000,434790.28000000
2021-09-10 14:00:00,0.99980000,1.00000000,0.99980000,0.99980000,415942.60000000
2021-09-10 15:00:00,0.99980000,1.00000000,0.99980000,0.99980000,311862.65000000
2021-09-10 16:00:00,0.99990000,1.00000000,0.99980000,1.00000000,371938.83000000
2021-09-10 17:00:00,1.00000000,1.00010000,0.99990000,1.00000000,385484.31000000
2021-09-10 18:00:00,0.99990000,1.00010000,0.99980000,0.99980000,188573.13000000
2021-09-10 19:00:00,0.99980000,1.00010000,0.99980000,0.99980000,348555.28000000
2021-09-10 20:00:00,0.99980000,1.00010000,0.99980000,0.99980000,115430.44000000
2021-09-10 21:00:00,0.99980000,1.00010000,0.99980000,0.99980000,85966.94000000
2021-09-10 22:00:00,0.99980000,1.00010000,0.99980000,1.00010000,66847.81000000
2021-09-10 23:00:00,1.00010000,1.00010000,0.99980000,0.99980000,91713.72000000
2021-09-11 00:00:00,0.99980000,1.00010000,0.99980000,0.99980000,34674.72000000
2021-09-11 01:00:00,0.99980000,1.00010000,0.99980000,1.00000000,261894.90000000
2021-09-11 02:00:00,1.00000000,1.00000000,0.99980000,1.00000000,31688.60000000
2021-09-11 03:00:00,0.99980000,1.00010000,0.99980000,0.99980000,33708.18000000
2021-09-11 04:00:00,0.99980000,1.00010000,0.99980000,0.99980000,16157.31000000
2021-09-11 05:00:00,0.99980000,1.00010000,0.99980000,0.99980000,40680.52000000
2021-09-11 06:00:00,0.99980000,1.00010000,0.99980000,0.99980000,28287.30000000
2021-09-11 07:00:00,0.99980000,1.00010000,0.99980000,0.99980000,82731.48000000
2021-09-11 08:00:00,0.99980000,1.00010000,0.99980000,0.99980000,33208.19000000
2021-09-11 09:00:00,0.99980000,1.00010000,0.99980000,0.99980000,92332.26000000
2021-09-11 10:00:00,0.99990000,1.00000000,0.99980000,0.99980000,46888.01000000
2021-09-11 11:00:00,0.99980000,1.00010000,0.99980000,0.99980000,107082.94000000
2021-09-11 12:00:00,0.99980000,1.00010000,0.99980000,0.99990000,95334.96000000
