datetime,o,h,l,c,v
2020-12-12 01:00:00,0.01559500,0.01627200,0.01555200,0.01623200,70834465.00000000
2020-12-12 02:00:00,0.01622000,0.01628500,0.01607000,0.01613400,24095185.00000000
2020-12-12 03:00:00,0.01613900,0.01618800,0.01606300,0.01616100,16310939.00000000
2020-12-12 04:00:00,0.01616700,0.01618300,0.01608300,0.01610800,14598934.00000000
2020-12-12 05:00:00,0.01611400,0.01621300,0.01608600,0.01617000,18280355.00000000
2020-12-12 06:00:00,0.01617300,0.01620200,0.01606300,0.01606900,33532198.00000000
2020-12-12 07:00:00,0.01607400,0.01617400,0.01603700,0.01610200,23472643.00000000
2020-12-12 08:00:00,0.01611100,0.01612800,0.01600000,0.01606900,22271030.00000000
2020-12-12 09:00:00,0.01607000,0.01614700,0.01603900,0.01613400,21547816.00000000
2020-12-12 10:00:00,0.01613400,0.01636800,0.01612500,0.01629200,48341547.00000000
2020-12-12 11:00:00,0.01629200,0.01638600,0.01625700,0.01636500,29636227.00000000
2020-12-12 12:00:00,0.01636400,0.01664900,0.01634600,0.01656700,59297441.00000000
2020-12-12 13:00:00,0.01657000,0.01658600,0.01638400,0.01641700,49193107.00000000
2020-12-12 14:00:00,0.01642600,0.01653500,0.01635800,0.01651600,29114936.00000000
2020-12-12 15:00:00,0.01651000,0.01655600,0.01625400,0.01631100,51017539.00000000
2020-12-12 16:00:00,0.01631000,0.01635700,0.01618700,0.01628200,29546782.00000000
2020-12-12 17:00:00,0.01629000,0.01637200,0.01623100,0.01628700,19433010.00000000
2020-12-12 18:00:00,0.01628800,0.01636000,0.01616900,0.01631900,13450637.00000000
2020-12-12 19:00:00,0.01632700,0.01648600,0.01631700,0.01644000,42528309.00000000
2020-12-12 20:00:00,0.01644000,0.01664500,0.01643200,0.01658100,47705362.00000000
2020-12-12 21:00:00,0.01658100,0.01667900,0.01653700,0.01660600,28462596.00000000
2020-12-12 22:00:00,0.01662100,0.01669100,0.01650400,0.01666700,39226532.00000000
2020-12-12 23:00:00,0.01666200,0.01671400,0.01660200,0.01667600,24367967.00000000
