datetime,o,h,l,c,v
2020-12-12 01:00:00,63.71000000,65.31000000,63.49000000,65.30000000,9296.25757000
2020-12-12 02:00:00,65.31000000,65.51000000,64.78000000,65.05000000,4535.03403000
2020-12-12 03:00:00,65.05000000,65.85000000,65.02000000,65.66000000,5798.25017000
2020-12-12 04:00:00,65.69000000,65.98000000,65.37000000,65.77000000,5323.05221000
2020-12-12 05:00:00,65.81000000,65.99000000,65.50000000,65.87000000,6917.39871000
2020-12-12 06:00:00,65.90000000,66.06000000,65.49000000,65.51000000,3582.40217000
2020-12-12 07:00:00,65.50000000,65.99000000,65.36000000,65.61000000,3169.77171000
2020-12-12 08:00:00,65.60000000,65.90000000,65.49000000,65.81000000,1983.61383000
2020-12-12 09:00:00,65.79000000,66.01000000,65.20000000,65.33000000,9013.87583000
2020-12-12 10:00:00,65.33000000,65.70000000,65.10000000,65.28000000,4632.07665000
2020-12-12 11:00:00,65.29000000,65.46000000,65.00000000,65.16000000,2646.89691000
2020-12-12 12:00:00,65.13000000,65.87000000,65.13000000,65.83000000,2863.97599000
2020-12-12 13:00:00,65.82000000,65.89000000,65.58000000,65.66000000,2913.33867000
2020-12-12 14:00:00,65.66000000,65.66000000,65.15000000,65.16000000,3056.28728000
2020-12-12 15:00:00,65.17000000,65.56000000,64.61000000,64.94000000,4935.91353000
2020-12-12 16:00:00,64.91000000,65.05000000,64.57000000,65.03000000,2436.74414000
2020-12-12 17:00:00,65.06000000,65.32000000,64.94000000,65.08000000,3329.07571000
2020-12-12 18:00:00,65.09000000,65.46000000,64.74000000,65.28000000,1743.51778000
2020-12-12 19:00:00,65.27000000,66.15000000,65.27000000,66.04000000,5521.48334000
2020-12-12 20:00:00,66.08000000,66.45000000,65.99000000,66.26000000,4704.72559000
2020-12-12 21:00:00,66.31000000,66.59000000,66.09000000,66.52000000,1318.58910000
2020-12-12 22:00:00,66.49000000,66.77000000,66.40000000,66.60000000,3157.13631000
2020-12-12 23:00:00,66.60000000,66.69000000,66.28000000,66.34000000,2740.67239000
2020-12-13 00:00:00,66.33000000,66.34000000,65.85000000,65.95000000,2579.24118000
2020-12-13 01:00:00,66.03000000,66.36000000,65.37000000,65.56000000,2263.68167000
2020-12-13 02:00:00,65.52000000,65.86000000,65.48000000,65.63000000,3375.55223000
2020-12-13 03:00:00,65.63000000,65.79000000,65.20000000,65.65000000,2674.55371000
2020-12-13 04:00:00,65.64000000,65.76000000,65.40000000,65.47000000,1778.40386000
2020-12-13 05:00:00,65.49000000,65.92000000,65.30000000,65.80000000,3065.08882000
2020-12-13 06:00:00,65.79000000,65.97000000,65.69000000,65.83000000,1755.41242000
2020-12-13 07:00:00,65.84000000,66.46000000,65.84000000,66.45000000,2832.58252000
2020-12-13 08:00:00,66.46000000,67.31000000,66.46000000,67.09000000,8637.96664000
2020-12-13 09:00:00,67.12000000,67.35000000,66.79000000,67.19000000,5727.62421000
2020-12-13 10:00:00,67.19000000,67.36000000,66.86000000,67.16000000,6418.14184000
2020-12-13 11:00:00,67.14000000,68.66000000,67.10000000,68.26000000,13906.46705000
2020-12-13 12:00:00,68.27000000,68.44000000,67.58000000,68.02000000,7068.74165000
2020-12-13 13:00:00,68.04000000,68.77000000,67.52000000,68.55000000,13325.16760000
2020-12-13 14:00:00,68.56000000,69.12000000,68.01000000,68.19000000,13914.84880000
2020-12-13 15:00:00,68.19000000,68.30000000,67.79000000,68.12000000,3255.81451000
2020-12-13 16:00:00,68.12000000,68.31000000,67.51000000,67.93000000,4976.56562000
2020-12-13 17:00:00,67.93000000,69.43000000,67.93000000,69.08000000,15045.17514000
2020-12-13 18:00:00,69.08000000,69.26000000,68.57000000,68.83000000,3783.16731000
2020-12-13 19:00:00,68.83000000,68.87000000,68.32000000,68.44000000,2224.97223000
2020-12-13 20:00:00,68.43000000,68.66000000,68.25000000,68.30000000,3533.82927000
2020-12-13 21:00:00,68.30000000,68.58000000,67.86000000,68.58000000,7679.30492000
2020-12-13 22:00:00,68.54000000,69.04000000,68.43000000,68.98000000,9706.10291000
2020-12-13 23:00:00,68.99000000,69.04000000,67.90000000,68.23000000,8899.60870000
2020-12-14 00:00:00,68.26000000,68.36000000,67.90000000,68.25000000,2914.45310000
2020-12-14 01:00:00,68.20000000,68.27000000,67.45000000,67.50000000,3947.43721000
2020-12-14 02:00:00,67.46000000,67.86000000,67.40000000,67.56000000,3385.09861000
2020-12-14 03:00:00,67.54000000,68.31000000,67.31000000,68.31000000,3073.58774000
2020-12-14 04:00:00,68.30000000,68.31000000,67.96000000,68.12000000,2565.35051000
2020-12-14 05:00:00,68.10000000,68.15000000,67.35000000,67.63000000,4453.02862000
2020-12-14 06:00:00,67.63000000,67.63000000,67.25000000,67.38000000,915.24375000
2020-12-14 07:00:00,67.40000000,67.87000000,67.39000000,67.77000000,2732.86795000
2020-12-14 08:00:00,67.77000000,67.77000000,67.31000000,67.47000000,2092.41510000
2020-12-14 09:00:00,67.46000000,67.71000000,67.42000000,67.59000000,2985.85699000
2020-12-14 10:00:00,67.58000000,67.76000000,67.22000000,67.32000000,2805.86318000
2020-12-14 11:00:00,67.32000000,67.55000000,66.44000000,66.57000000,6805.60608000
2020-12-14 12:00:00,66.53000000,66.94000000,66.38000000,66.63000000,7785.18781000
2020-12-14 13:00:00,66.63000000,66.76000000,66.29000000,66.50000000,3382.61787000
